month,ai,llm,gpt,lt1_flags
2019-01,4.0,2.0,0.5,gpt
2019-02,5.0,2.0,0.5,gpt
2019-03,4.0,3.0,0.5,gpt
2019-04,5.0,2.0,0.5,gpt
2019-05,4.0,3.0,0.5,gpt
2019-06,4.0,3.0,0.5,gpt
2019-07,4.0,3.0,0.5,gpt
2019-08,4.0,3.0,0.5,gpt
2019-09,4.0,3.0,0.5,gpt
2019-10,5.0,2.0,0.5,gpt
2019-11,5.0,2.0,0.5,gpt
2019-12,4.0,2.0,0.5,gpt
2020-01,4.0,3.0,0.5,gpt
2020-02,5.0,2.0,0.5,gpt
2020-03,5.0,2.0,0.5,gpt
2020-04,5.0,2.0,0.5,gpt
2020-05,5.0,2.0,0.5,gpt
2020-06,5.0,2.0,0.5,gpt
2020-07,4.0,3.0,0.5,gpt
2020-08,4.0,2.0,0.5,gpt
2020-09,5.0,3.0,0.5,gpt
2020-10,4.0,3.0,0.5,gpt
2020-11,4.0,2.0,0.5,gpt
2020-12,5.0,2.0,0.5,gpt
2021-01,5.0,2.0,0.5,gpt
2021-02,5.0,2.0,0.5,gpt
2021-03,5.0,2.0,0.5,gpt
2021-04,5.0,2.0,0.5,gpt
2021-05,5.0,2.0,0.5,gpt
2021-06,5.0,2.0,0.5,gpt
2021-07,5.0,3.0,0.5,gpt
2021-08,5.0,3.0,0.5,gpt
2021-09,5.0,3.0,0.5,gpt
2021-10,5.0,3.0,0.5,gpt
2021-11,5.0,2.0,0.5,gpt
2021-12,6.0,2.0,0.5,gpt
2022-01,6.0,3.0,0.5,gpt
2022-02,6.0,3.0,0.5,gpt
2022-03,6.0,3.0,0.5,gpt
2022-04,6.0,3.0,0.5,gpt
2022-05,6.0,3.0,0.5,gpt
2022-06,6.0,3.0,0.5,gpt
2022-07,6.0,3.0,0.5,gpt
2022-08,6.0,3.0,0.5,gpt
2022-09,6.0,3.0,0.5,gpt
2022-10,7.0,3.0,0.5,gpt
2022-11,7.0,3.0,0.5,gpt
2022-12,11.0,3.0,6.0,
2023-01,11.0,3.0,16.0,
2023-02,13.0,4.0,25.0,
2023-03,14.0,5.0,32.0,
2023-04,19.0,6.0,34.0,
2023-05,25.0,7.0,32.0,
2023-06,23.0,8.0,26.0,
2023-07,23.0,9.0,17.0,
2023-08,23.0,9.0,18.0,
2023-09,22.0,10.0,23.0,
2023-10,26.0,9.0,24.0,
2023-11,26.0,10.0,26.0,
2023-12,26.0,10.0,23.0,
2024-01,27.0,12.0,24.0,
2024-02,29.0,14.0,29.0,
2024-03,31.0,15.0,31.0,
2024-04,30.0,16.0,34.0,
2024-05,31.0,16.0,42.0,
2024-06,31.0,17.0,41.0,
2024-07,29.0,15.0,32.0,
2024-08,32.0,15.0,38.0,
2024-09,33.0,16.0,45.0,
2024-10,37.0,17.0,53.0,
2024-11,38.0,17.0,56.0,
2024-12,38.0,17.0,52.0,
2025-01,39.0,23.0,55.0,
2025-02,46.0,25.0,62.0,
2025-03,48.0,24.0,68.0,
2025-04,48.0,23.0,86.0,
2025-05,47.0,24.0,84.0,
2025-06,50.0,31.0,78.0,
2025-07,52.0,30.0,76.0,
2025-08,65.0,54.0,78.0,
2025-09,92.0,46.0,87.0,
2025-10,83.0,47.0,95.0,
2025-11,77.0,49.0,86.0,
2025-12,71.0,45.0,79.0,
2026-01,73.0,48.0,79.0,
2026-02,81.0,58.0,79.0,
2026-03,87.0,73.0,83.0,
2026-04,96.0,83.0,87.0,
2026-05,100.0,94.0,87.0,
2026-06,99.0,100.0,88.0,
2026-07,91.0,81.0,80.0,
2026-08,80.0,45.0,80.0,
2026-09,82.0,42.0,100.0,
