batch_code,batch,batch_order,pos,start_month,year_frac,industry,count,total_companies,share_pct,is_partial_batch,segment,rank
W19,Winter 2019,20190,0,2019-01,2019.0,B2B,81,194,41.753,False,pre_w23,1
W19,Winter 2019,20190,0,2019-01,2019.0,Consumer,37,194,19.072,False,pre_w23,2
W19,Winter 2019,20190,0,2019-01,2019.0,Education,7,194,3.608,False,pre_w23,6
W19,Winter 2019,20190,0,2019-01,2019.0,Fintech,22,194,11.34,False,pre_w23,4
W19,Winter 2019,20190,0,2019-01,2019.0,Government,2,194,1.031,False,pre_w23,8
W19,Winter 2019,20190,0,2019-01,2019.0,Healthcare,25,194,12.887,False,pre_w23,3
W19,Winter 2019,20190,0,2019-01,2019.0,Industrials,15,194,7.732,False,pre_w23,5
W19,Winter 2019,20190,0,2019-01,2019.0,Real Estate and Construction,5,194,2.577,False,pre_w23,7
W19,Winter 2019,20190,0,2019-01,2019.0,Unspecified,0,194,0.0,False,pre_w23,
S19,Summer 2019,20192,1,2019-06,2019.4166666666667,B2B,70,176,39.773,False,pre_w23,1
S19,Summer 2019,20192,1,2019-06,2019.4166666666667,Consumer,27,176,15.341,False,pre_w23,2
S19,Summer 2019,20192,1,2019-06,2019.4166666666667,Education,5,176,2.841,False,pre_w23,7
S19,Summer 2019,20192,1,2019-06,2019.4166666666667,Fintech,25,176,14.205,False,pre_w23,3
S19,Summer 2019,20192,1,2019-06,2019.4166666666667,Government,2,176,1.136,False,pre_w23,8
S19,Summer 2019,20192,1,2019-06,2019.4166666666667,Healthcare,24,176,13.636,False,pre_w23,4
S19,Summer 2019,20192,1,2019-06,2019.4166666666667,Industrials,12,176,6.818,False,pre_w23,5
S19,Summer 2019,20192,1,2019-06,2019.4166666666667,Real Estate and Construction,11,176,6.25,False,pre_w23,6
S19,Summer 2019,20192,1,2019-06,2019.4166666666667,Unspecified,0,176,0.0,False,pre_w23,
W20,Winter 2020,20200,2,2020-01,2020.0,B2B,100,228,43.86,False,pre_w23,1
W20,Winter 2020,20200,2,2020-01,2020.0,Consumer,29,228,12.719,False,pre_w23,4
W20,Winter 2020,20200,2,2020-01,2020.0,Education,5,228,2.193,False,pre_w23,7
W20,Winter 2020,20200,2,2020-01,2020.0,Fintech,32,228,14.035,False,pre_w23,3
W20,Winter 2020,20200,2,2020-01,2020.0,Government,0,228,0.0,False,pre_w23,8
W20,Winter 2020,20200,2,2020-01,2020.0,Healthcare,36,228,15.789,False,pre_w23,2
W20,Winter 2020,20200,2,2020-01,2020.0,Industrials,17,228,7.456,False,pre_w23,5
W20,Winter 2020,20200,2,2020-01,2020.0,Real Estate and Construction,9,228,3.947,False,pre_w23,6
W20,Winter 2020,20200,2,2020-01,2020.0,Unspecified,0,228,0.0,False,pre_w23,
S20,Summer 2020,20202,3,2020-06,2020.4166666666667,B2B,107,209,51.196,False,pre_w23,1
S20,Summer 2020,20202,3,2020-06,2020.4166666666667,Consumer,27,209,12.919,False,pre_w23,3
S20,Summer 2020,20202,3,2020-06,2020.4166666666667,Education,4,209,1.914,False,pre_w23,7
S20,Summer 2020,20202,3,2020-06,2020.4166666666667,Fintech,25,209,11.962,False,pre_w23,4
