batch,total_companies,unique_industries,unique_subindustries,unique_tags,tag_assignments,mean_tags_per_company,industry_entropy,industry_entropy_normalised,tag_entropy,tag_entropy_normalised,industry_hhi,tag_hhi,top5_industry_share_pct,top10_tag_share_pct_of_companies,top10_tag_share_pct_of_assignments,rarefied_unique_tags,batch_order,is_partial_batch
Summer 2005,9,3,8,5,5,0.556,0.9369,0.8528,1.6094,1.0,0.4321,0.2,100.0,55.56,100.0,,20052,True
Winter 2006,7,2,6,3,3,0.429,0.6829,0.9852,1.0986,1.0,0.5102,0.33333,100.0,42.86,100.0,,20060,True
Summer 2006,10,2,6,11,11,1.1,0.5004,0.7219,2.3979,1.0,0.68,0.09091,100.0,100.0,90.91,,20062,True
Winter 2007,13,4,8,12,14,1.077,1.157,0.8346,2.441,0.9823,0.3728,0.09184,100.0,92.31,85.71,,20070,True
Summer 2007,19,2,8,6,6,0.316,0.6581,0.9495,1.7918,1.0,0.5346,0.16667,100.0,31.58,100.0,,20072,True
Winter 2008,21,3,9,9,11,0.524,0.8324,0.7577,2.1458,0.9766,0.4739,0.12397,100.0,52.38,100.0,,20080,True
Summer 2008,22,2,12,12,14,0.636,0.6555,0.9457,2.441,0.9823,0.5372,0.09184,100.0,54.55,85.71,,20082,True
Winter 2009,16,3,9,8,8,0.5,0.9471,0.862,2.0794,1.0,0.4297,0.125,100.0,50.0,100.0,,20090,True
Summer 2009,26,5,18,26,31,1.192,1.244,0.7729,3.1657,0.9716,0.3462,0.04891,100.0,57.69,48.39,,20092,True
Winter 2010,27,3,13,11,16,0.593,0.7796,0.7096,2.274,0.9483,0.5089,0.11719,100.0,55.56,93.75,,20100,True
Summer 2010,36,5,16,36,48,1.333,1.0805,0.6713,3.4739,0.9694,0.3997,0.03559,100.0,61.11,45.83,,20102,True
Winter 2011,45,6,22,47,75,1.667,1.2482,0.6966,3.5974,0.9344,0.3669,0.03822,97.78,80.0,48.0,,20110,True
Summer 2011,60,6,22,54,98,1.633,1.3012,0.7262,3.6985,0.9272,0.3506,0.0354,96.67,76.67,46.94,,20112,False
Winter 2012,66,7,29,67,125,1.894,1.4111,0.7252,4.014,0.9547,0.3196,0.02182,93.94,66.67,35.2,,20120,False
Summer 2012,83,6,30,83,145,1.747,1.1947,0.6667,4.146,0.9383,0.3816,0.02212,98.8,65.06,37.24,,20122,False
Winter 2013,46,5,23,55,89,1.935,1.1672,0.7252,3.7963,0.9473,0.3828,0.02866,100.0,82.61,42.7,,20130,True
Summer 2013,52,6,23,53,81,1.558,1.3011,0.7262,3.7974,0.9564,0.3469,0.02759,98.08,63.46,40.74,,20132,False
Winter 2014,74,8,30,82,144,1.946,1.4807,0.7121,4.1144,0.9337,0.3218,0.02421,91.89,72.97,37.5,,20140,False
Summer 2014,78,8,38,89,156,2.0,1.6158,0.777,4.2509,0.947,0.2387,0.01866,96.15,65.38,32.69,,20142,False
Winter 2015,110,8,39,111,240,2.182,1.6731,0.8046,4.4376,0.9423,0.242,0.01583,90.91,63.64,29.17,,20150,False
Summer 2015,104,8,46,90,202,1.942,1.6647,0.8006,4.0891,0.9087,0.2432,0.02823,92.31,77.88,40.1,,20152,False
Winter 2016,122,9,45,120,252,2.066,1.6611,0.756,4.4439,0.9282,0.2534,0.01786,92.62,64.75,31.35,,20160,False
Summer 2016,102,9,45,113,217,2.127,1.7538,0.7982,4.3893,0.9285,0.2203,0.0182,89.22,72.55,34.1,,20162,False
Winter 2017,116,9,49,121,271,2.336,1.7824,0.8112,4.438,0.9254,0.2093,0.01782,90.52,77.59,33.21,,20170,False
