city,batch,count,batch_order,total_companies,share_pct
"A Coruña, Spain",Summer 2021,1,20212,391,0.26
"Aarhus, Denmark",Winter 2021,1,20210,336,0.3
"Abidjan, Ivory Coast",Winter 2021,1,20210,336,0.3
"Abuja, Nigeria",Winter 2019,1,20190,194,0.52
"Abuja, Nigeria",Winter 2020,1,20200,228,0.44
"Accra, Ghana",Summer 2016,1,20162,102,0.98
"Accra, Ghana",Winter 2017,1,20170,116,0.86
"Accra, Ghana",Summer 2021,1,20212,391,0.26
"Accra, Ghana",Winter 2022,1,20220,398,0.25
"Addis Ababa, Ethiopia",Winter 2022,1,20220,398,0.25
"Akron, USA",Summer 2007,1,20072,19,5.26
"Albany, USA",Winter 2017,1,20170,116,0.86
"Alexandria Governorate, Egypt",Winter 2016,1,20160,122,0.82
"Alexandria, USA",Winter 2022,1,20220,398,0.25
"Algeria, ",Winter 2020,1,20200,228,0.44
"Amman, Jordan",Winter 2022,1,20220,398,0.25
"Amsterdam, Netherlands",Summer 2014,1,20142,78,1.28
"Amsterdam, Netherlands",Summer 2016,1,20162,102,0.98
"Amsterdam, Netherlands",Summer 2020,1,20202,209,0.48
"Amsterdam, Netherlands",Summer 2021,2,20212,391,0.51
"Amsterdam, Netherlands",Winter 2022,1,20220,398,0.25
"Amsterdam, Netherlands",Summer 2022,2,20222,234,0.85
"Amsterdam, Netherlands",Winter 2025,1,20250,166,0.6
"Amsterdam, Netherlands",Summer 2025,1,20252,166,0.6
"Amsterdam, Netherlands",Winter 2026,1,20260,199,0.5
"Ankara, Turkey",Fall 2026,1,20263,35,2.86
"Ann Arbor, USA",Winter 2012,1,20120,66,1.52
"Ann Arbor, USA",Winter 2015,1,20150,110,0.91
"Ann Arbor, USA",Summer 2017,2,20172,125,1.6
"Ann Arbor, USA",Winter 2020,1,20200,228,0.44
"Ann Arbor, USA",Winter 2024,1,20240,248,0.4
"Ann Arbor, USA",Spring 2025,1,20251,143,0.7
"Ann Arbor, USA",Summer 2026,1,20262,235,0.43
"Antioquia, Colombia",Winter 2018,1,20180,146,0.68
"Ashburn, USA",Winter 2023,1,20230,274,0.36
"Asheville, USA",Summer 2023,1,20232,220,0.45
"Athens, Greece",Winter 2019,1,20190,194,0.52
"Atherton, USA",Winter 2008,1,20080,21,4.76
"Atlanta, USA",Winter 2008,1,20080,21,4.76
"Atlanta, USA",Winter 2009,1,20090,16,6.25
"Atlanta, USA",Summer 2012,1,20122,83,1.2
"Atlanta, USA",Winter 2013,1,20130,46,2.17
"Atlanta, USA",Summer 2015,3,20152,104,2.88
"Atlanta, USA",Summer 2016,3,20162,102,2.94
"Atlanta, USA",Summer 2017,1,20172,125,0.8
"Atlanta, USA",Summer 2018,1,20182,131,0.76
"Atlanta, USA",Summer 2019,1,20192,176,0.57
"Atlanta, USA",Summer 2020,4,20202,209,1.91
"Atlanta, USA",Winter 2021,2,20210,336,0.6
"Atlanta, USA",Summer 2021,3,20212,391,0.77
"Atlanta, USA",Winter 2022,4,20220,398,1.01
"Atlanta, USA",Summer 2024,1,20242,248,0.4
"Atlanta, USA",Winter 2025,1,20250,166,0.6
"Atlanta, USA",Fall 2025,2,20253,146,1.37
"Auckland, New Zealand",Summer 2017,1,20172,125,0.8
"Auckland, New Zealand",Winter 2019,1,20190,194,0.52
"Auckland, New Zealand",Winter 2022,1,20220,398,0.25
"Austin, USA",Winter 2010,1,20100,27,3.7
"Austin, USA",Summer 2012,2,20122,83,2.41
"Austin, USA",Summer 2013,1,20132,52,1.92
"Austin, USA",Winter 2014,1,20140,74,1.35
"Austin, USA",Winter 2015,2,20150,110,1.82
"Austin, USA",Summer 2015,1,20152,104,0.96
"Austin, USA",Winter 2016,3,20160,122,2.46
"Austin, USA",Summer 2016,2,20162,102,1.96
"Austin, USA",Summer 2017,4,20172,125,3.2
"Austin, USA",Winter 2018,2,20180,146,1.37
"Austin, USA",Summer 2018,2,20182,131,1.53
"Austin, USA",Winter 2019,3,20190,194,1.55
"Austin, USA",Summer 2019,3,20192,176,1.7
"Austin, USA",Winter 2020,3,20200,228,1.32
"Austin, USA",Winter 2021,6,20210,336,1.79
"Austin, USA",Summer 2021,5,20212,391,1.28
"Austin, USA",Winter 2022,2,20220,398,0.5
"Austin, USA",Summer 2022,6,20222,234,2.56
"Austin, USA",Winter 2023,1,20230,274,0.36
"Austin, USA",Summer 2023,1,20232,220,0.45
"Austin, USA",Winter 2024,3,20240,248,1.21
"Austin, USA",Summer 2024,4,20242,248,1.61
"Austin, USA",Winter 2025,1,20250,166,0.6
"Austin, USA",Summer 2025,2,20252,166,1.2
"Austin, USA",Fall 2025,1,20253,146,0.68
"Austin, USA",Winter 2026,1,20260,199,0.5
"Austin, USA",Spring 2026,1,20261,195,0.51
"Austin, USA",Summer 2026,1,20262,235,0.43
"Austria, ",Summer 2014,1,20142,78,1.28
"BY, Germany",Summer 2023,1,20232,220,0.45
"BY, Germany",Fall 2024,1,20243,94,1.06
"BY, Germany",Winter 2025,3,20250,166,1.81
"BY, Germany",Spring 2025,1,20251,143,0.7
"BY, Germany",Summer 2025,1,20252,166,0.6
"BY, Germany",Fall 2025,2,20253,146,1.37
"BY, Germany",Winter 2026,1,20260,199,0.5
"BY, Germany",Spring 2026,1,20261,195,0.51
"Baltimore, USA",Summer 2021,1,20212,391,0.26
"Baltimore, USA",Winter 2023,1,20230,274,0.36
"Baltimore, USA",Fall 2026,1,20263,35,2.86
"Bandung, Indonesia",Winter 2021,1,20210,336,0.3
"Bandung, Indonesia",Summer 2022,1,20222,234,0.43
"Bangkok, Thailand",Winter 2015,1,20150,110,0.91
"Barcelona, Spain",Summer 2020,1,20202,209,0.48
"Barcelona, Spain",Winter 2021,2,20210,336,0.6
"Barcelona, Spain",Summer 2021,2,20212,391,0.51
"Barcelona, Spain",Winter 2022,2,20220,398,0.5
"Barcelona, Spain",Summer 2022,2,20222,234,0.85
"Barranco, Peru",Winter 2021,1,20210,336,0.3
"Barranquilla, Colombia",Winter 2021,1,20210,336,0.3
"Beijing, China",Winter 2015,1,20150,110,0.91
"Beijing, China",Winter 2017,1,20170,116,0.86
"Beijing, China",Winter 2019,1,20190,194,0.52
"Bend, USA",Summer 2020,1,20202,209,0.48
"Bengaluru, India",Summer 2012,1,20122,83,1.2
"Bengaluru, India",Summer 2014,1,20142,78,1.28
"Bengaluru, India",Winter 2015,1,20150,110,0.91
"Bengaluru, India",Summer 2016,2,20162,102,1.96
"Bengaluru, India",Winter 2017,7,20170,116,6.03
"Bengaluru, India",Summer 2017,5,20172,125,4.0
"Bengaluru, India",Winter 2018,1,20180,146,0.68
"Bengaluru, India",Summer 2018,2,20182,131,1.53
"Bengaluru, India",Winter 2019,3,20190,194,1.55
"Bengaluru, India",Summer 2019,7,20192,176,3.98
"Bengaluru, India",Winter 2020,13,20200,228,5.7
"Bengaluru, India",Summer 2020,8,20202,209,3.83
"Bengaluru, India",Winter 2021,17,20210,336,5.06
"Bengaluru, India",Summer 2021,12,20212,391,3.07
"Bengaluru, India",Winter 2022,15,20220,398,3.77
"Bengaluru, India",Summer 2022,10,20222,234,4.27
"Bengaluru, India",Winter 2023,7,20230,274,2.55
"Bengaluru, India",Summer 2023,2,20232,220,0.91
"Bengaluru, India",Winter 2024,4,20240,248,1.61
"Bengaluru, India",Summer 2024,1,20242,248,0.4
"Bengaluru, India",Winter 2025,1,20250,166,0.6
"Bengaluru, India",Fall 2025,2,20253,146,1.37
"Bengaluru, India",Winter 2026,2,20260,199,1.01
"Bengaluru, India",Fall 2026,2,20263,35,5.71
"Bentonville, USA",Summer 2015,1,20152,104,0.96
"Berlin, Germany",Summer 2013,1,20132,52,1.92
"Berlin, Germany",Winter 2018,1,20180,146,0.68
"Berlin, Germany",Summer 2018,1,20182,131,0.76
"Berlin, Germany",Winter 2020,2,20200,228,0.88
"Berlin, Germany",Summer 2020,3,20202,209,1.44
"Berlin, Germany",Winter 2021,2,20210,336,0.6
"Berlin, Germany",Summer 2021,3,20212,391,0.77
"Berlin, Germany",Winter 2022,3,20220,398,0.75
"Berlin, Germany",Summer 2022,3,20222,234,1.28
"Berlin, Germany",Winter 2023,3,20230,274,1.09
"Berlin, Germany",Summer 2023,3,20232,220,1.36
"Berlin, Germany",Winter 2024,1,20240,248,0.4
"Berlin, Germany",Summer 2024,3,20242,248,1.21
"Berlin, Germany",Fall 2024,2,20243,94,2.13
"Berlin, Germany",Winter 2025,1,20250,166,0.6
