macro_region,batch,count,batch_order,total_companies,share_pct
Africa,Winter 2012,1,20120,66,1.52
Africa,Summer 2015,2,20152,104,1.92
Africa,Winter 2016,1,20160,122,0.82
Africa,Summer 2016,2,20162,102,1.96
Africa,Winter 2017,6,20170,116,5.17
Africa,Summer 2017,3,20172,125,2.4
Africa,Summer 2018,3,20182,131,2.29
Africa,Winter 2019,6,20190,194,3.09
Africa,Winter 2020,8,20200,228,3.51
Africa,Summer 2020,1,20202,209,0.48
Africa,Winter 2021,6,20210,336,1.79
Africa,Summer 2021,9,20212,391,2.3
Africa,Winter 2022,20,20220,398,5.03
Africa,Summer 2022,6,20222,234,2.56
Africa,Winter 2023,2,20230,274,0.73
Africa,Summer 2023,3,20232,220,1.36
Africa,Winter 2024,2,20240,248,0.81
America / Canada,Summer 2005,8,20052,9,88.89
America / Canada,Winter 2006,6,20060,7,85.71
America / Canada,Summer 2006,9,20062,10,90.0
America / Canada,Winter 2007,12,20070,13,92.31
America / Canada,Summer 2007,15,20072,19,78.95
America / Canada,Winter 2008,17,20080,21,80.95
America / Canada,Summer 2008,16,20082,22,72.73
America / Canada,Winter 2009,14,20090,16,87.5
America / Canada,Summer 2009,23,20092,26,88.46
America / Canada,Winter 2010,24,20100,27,88.89
America / Canada,Summer 2010,34,20102,36,94.44
America / Canada,Winter 2011,43,20110,45,95.56
America / Canada,Summer 2011,59,20112,60,98.33
America / Canada,Winter 2012,60,20120,66,90.91
America / Canada,Summer 2012,70,20122,83,84.34
America / Canada,Winter 2013,43,20130,46,93.48
America / Canada,Summer 2013,47,20132,52,90.38
America / Canada,Winter 2014,70,20140,74,94.59
America / Canada,Summer 2014,69,20142,78,88.46
America / Canada,Winter 2015,99,20150,110,90.0
America / Canada,Summer 2015,87,20152,104,83.65
America / Canada,Winter 2016,109,20160,122,89.34
America / Canada,Summer 2016,86,20162,102,84.31
America / Canada,Winter 2017,82,20170,116,70.69
America / Canada,Summer 2017,96,20172,125,76.8
America / Canada,Winter 2018,119,20180,146,81.51
America / Canada,Summer 2018,104,20182,131,79.39
America / Canada,Winter 2019,143,20190,194,73.71
America / Canada,Summer 2019,134,20192,176,76.14
America / Canada,Winter 2020,157,20200,228,68.86
America / Canada,Summer 2020,156,20202,209,74.64
America / Canada,Winter 2021,198,20210,336,58.93
America / Canada,Summer 2021,225,20212,391,57.54
America / Canada,Winter 2022,237,20220,398,59.55
America / Canada,Summer 2022,150,20222,234,64.1
America / Canada,Winter 2023,202,20230,274,73.72
America / Canada,Summer 2023,166,20232,220,75.45
America / Canada,Winter 2024,212,20240,248,85.48
America / Canada,Summer 2024,207,20242,248,83.47
America / Canada,Fall 2024,85,20243,94,90.43
America / Canada,Winter 2025,137,20250,166,82.53
America / Canada,Spring 2025,114,20251,143,79.72
America / Canada,Summer 2025,152,20252,166,91.57
America / Canada,Fall 2025,119,20253,146,81.51
America / Canada,Winter 2026,163,20260,199,81.91
America / Canada,Spring 2026,181,20261,195,92.82
America / Canada,Summer 2026,217,20262,235,92.34
America / Canada,Fall 2026,28,20263,35,80.0
America / Canada,Winter 2027,1,20270,1,100.0
Asia,Summer 2019,1,20192,176,0.57
East Asia,Winter 2011,1,20110,45,2.22
East Asia,Summer 2012,1,20122,83,1.2
East Asia,Winter 2013,1,20130,46,2.17
East Asia,Winter 2015,2,20150,110,1.82
East Asia,Summer 2015,2,20152,104,1.92
East Asia,Winter 2016,1,20160,122,0.82
East Asia,Summer 2016,1,20162,102,0.98
East Asia,Winter 2017,3,20170,116,2.59
East Asia,Summer 2018,1,20182,131,0.76
East Asia,Winter 2019,4,20190,194,2.06
East Asia,Winter 2020,1,20200,228,0.44
East Asia,Winter 2021,2,20210,336,0.6
East Asia,Summer 2021,1,20212,391,0.26
East Asia,Winter 2022,2,20220,398,0.5
East Asia,Summer 2022,3,20222,234,1.28
East Asia,Fall 2024,1,20243,94,1.06
East Asia,Winter 2025,1,20250,166,0.6
East Asia,Summer 2025,1,20252,166,0.6
East Asia,Spring 2026,1,20261,195,0.51
Europe,Summer 2005,1,20052,9,11.11
Europe,Summer 2007,2,20072,19,10.53
Europe,Winter 2008,1,20080,21,4.76
Europe,Summer 2008,1,20082,22,4.55
Europe,Summer 2009,1,20092,26,3.85
Europe,Winter 2010,1,20100,27,3.7
Europe,Summer 2010,1,20102,36,2.78
Europe,Winter 2011,2,20110,45,4.44
Europe,Summer 2011,3,20112,60,5.0
Europe,Winter 2012,1,20120,66,1.52
Europe,Summer 2012,2,20122,83,2.41
Europe,Summer 2013,2,20132,52,3.85
Europe,Winter 2014,6,20140,74,8.11
Europe,Summer 2014,8,20142,78,10.26
Europe,Winter 2015,5,20150,110,4.55
Europe,Summer 2015,7,20152,104,6.73
Europe,Winter 2016,4,20160,122,3.28
Europe,Summer 2016,5,20162,102,4.9
Europe,Winter 2017,7,20170,116,6.03
Europe,Summer 2017,11,20172,125,8.8
Europe,Winter 2018,13,20180,146,8.9
Europe,Summer 2018,9,20182,131,6.87
Europe,Winter 2019,15,20190,194,7.73
Europe,Summer 2019,13,20192,176,7.39
Europe,Winter 2020,14,20200,228,6.14
Europe,Summer 2020,23,20202,209,11.0
Europe,Winter 2021,42,20210,336,12.5
Europe,Summer 2021,57,20212,391,14.58
Europe,Winter 2022,41,20220,398,10.3
Europe,Summer 2022,32,20222,234,13.68
Europe,Winter 2023,19,20230,274,6.93
Europe,Summer 2023,28,20232,220,12.73
Europe,Winter 2024,15,20240,248,6.05
Europe,Summer 2024,27,20242,248,10.89
Europe,Fall 2024,6,20243,94,6.38
Europe,Winter 2025,20,20250,166,12.05
Europe,Spring 2025,23,20251,143,16.08
Europe,Summer 2025,8,20252,166,4.82
Europe,Fall 2025,17,20253,146,11.64
Europe,Winter 2026,15,20260,199,7.54
Europe,Spring 2026,11,20261,195,5.64
Europe,Summer 2026,10,20262,235,4.26
Latin America,Summer 2013,2,20132,52,3.85
Latin America,Winter 2015,2,20150,110,1.82
Latin America,Winter 2016,2,20160,122,1.64
Latin America,Summer 2016,2,20162,102,1.96
