batch,total_companies,us_companies,us_share_pct,non_us_companies,non_us_share_pct,no_country_in_regions,remote_any_companies,remote_any_share_pct,fully_remote_companies,partly_remote_companies,unique_countries,multi_country_companies,batch_order,is_partial_batch
Summer 2005,9,8,88.89,1,11.11,0,0,0.0,0,0,2,0,20052,True
Winter 2006,7,6,85.71,1,14.29,1,0,0.0,0,0,1,0,20060,True
Summer 2006,10,9,90.0,1,10.0,1,1,10.0,0,1,1,0,20062,True
Winter 2007,13,12,92.31,1,7.69,1,2,15.38,0,2,1,0,20070,True
Summer 2007,19,15,78.95,4,21.05,3,0,0.0,0,0,2,1,20072,True
Winter 2008,21,16,76.19,5,23.81,4,4,19.05,2,2,3,1,20080,True
Summer 2008,22,16,72.73,6,27.27,6,2,9.09,2,0,2,1,20082,True
Winter 2009,16,14,87.5,2,12.5,2,1,6.25,1,0,1,0,20090,True
Summer 2009,26,23,88.46,3,11.54,2,4,15.38,2,2,2,0,20092,True
Winter 2010,27,24,88.89,3,11.11,2,2,7.41,0,2,2,0,20100,True
Summer 2010,36,34,94.44,2,5.56,1,6,16.67,3,3,2,0,20102,True
Winter 2011,45,42,93.33,3,6.67,2,11,24.44,6,5,5,4,20110,True
Summer 2011,60,57,95.0,3,5.0,0,20,33.33,7,13,6,2,20112,False
Winter 2012,66,59,89.39,7,10.61,4,15,22.73,6,9,5,1,20120,False
Summer 2012,83,69,83.13,14,16.87,9,31,37.35,17,14,5,0,20122,False
Winter 2013,46,42,91.3,4,8.7,1,14,30.43,5,9,4,0,20130,True
Summer 2013,52,46,88.46,6,11.54,2,15,28.85,6,9,6,1,20132,False
Winter 2014,74,65,87.84,9,12.16,2,33,44.59,12,21,8,4,20140,False
Summer 2014,78,63,80.77,15,19.23,3,32,41.03,12,20,9,4,20142,False
Winter 2015,110,95,86.36,15,13.64,1,66,60.0,25,41,13,2,20150,False
Summer 2015,104,85,81.73,19,18.27,2,58,55.77,21,37,17,5,20152,False
Winter 2016,122,106,86.89,16,13.11,3,64,52.46,23,41,14,5,20160,False
Summer 2016,102,81,79.41,21,20.59,1,47,46.08,18,29,14,1,20162,False
Winter 2017,116,78,67.24,38,32.76,6,70,60.34,19,51,16,4,20170,False
Summer 2017,125,93,74.4,32,25.6,2,63,50.4,28,35,16,2,20172,False
Winter 2018,146,110,75.34,36,24.66,5,91,62.33,45,46,14,4,20180,False
Summer 2018,131,100,76.34,31,23.66,1,92,70.23,28,64,22,6,20182,False
Winter 2019,194,139,71.65,55,28.35,6,125,64.43,54,71,29,9,20190,False
Summer 2019,176,126,71.59,50,28.41,2,135,76.7,49,86,20,5,20192,False
Winter 2020,228,149,65.35,79,34.65,2,160,70.18,61,99,26,9,20200,False
Summer 2020,209,146,69.86,63,30.14,1,174,83.25,76,98,22,4,20202,False
Winter 2021,336,188,55.95,148,44.05,7,284,84.52,139,145,41,12,20210,False
Summer 2021,391,212,54.22,179,45.78,5,322,82.35,133,189,43,14,20212,False
Winter 2022,398,224,56.28,174,43.72,4,319,80.15,121,198,43,20,20220,False
Summer 2022,234,145,61.97,89,38.03,3,162,69.23,64,98,34,11,20222,False
Winter 2023,274,198,72.26,76,27.74,19,153,55.84,55,98,23,4,20230,False
Summer 2023,220,162,73.64,58,26.36,18,87,39.55,28,59,18,2,20232,False
Winter 2024,248,208,83.87,40,16.13,14,82,33.06,19,63,10,0,20240,False
Summer 2024,248,205,82.66,43,17.34,8,79,31.85,15,64,10,0,20242,False
Fall 2024,94,84,89.36,10,10.64,1,26,27.66,9,17,7,0,20243,False
Winter 2025,166,133,80.12,33,19.88,3,23,13.86,7,16,17,0,20250,False
Spring 2025,143,113,79.02,30,20.98,6,22,15.38,6,16,7,0,20251,False
Summer 2025,166,151,90.96,15,9.04,3,24,14.46,5,19,9,0,20252,False
Fall 2025,146,119,81.51,27,18.49,8,32,21.92,4,28,9,0,20253,False
Winter 2026,199,160,80.4,39,19.6,16,35,17.59,7,28,12,0,20260,False
Spring 2026,195,181,92.82,14,7.18,2,39,20.0,7,32,7,0,20261,False
Summer 2026,235,215,91.49,20,8.51,1,28,11.91,6,22,14,0,20262,False
Fall 2026,35,27,77.14,8,22.86,3,4,11.43,2,2,5,0,20263,True
Winter 2027,1,1,100.0,0,0.0,0,0,0.0,0,0,1,0,20270,True
