batch,rank,industry,share_pct,count
Summer 2005,1,B2B,55.556,5
Summer 2005,2,Consumer,33.333,3
Summer 2005,3,Fintech,11.111,1
Summer 2005,4,Education,0.0,0
Summer 2005,5,Government,0.0,0
Summer 2005,6,Healthcare,0.0,0
Summer 2005,7,Industrials,0.0,0
Summer 2005,8,Real Estate and Construction,0.0,0
Summer 2005,9,Unspecified,0.0,0
Winter 2006,1,B2B,57.143,4
Winter 2006,2,Consumer,42.857,3
Winter 2006,3,Education,0.0,0
Winter 2006,4,Fintech,0.0,0
Winter 2006,5,Government,0.0,0
Winter 2006,6,Healthcare,0.0,0
Winter 2006,7,Industrials,0.0,0
Winter 2006,8,Real Estate and Construction,0.0,0
Winter 2006,9,Unspecified,0.0,0
Summer 2006,1,Consumer,80.0,8
Summer 2006,2,B2B,20.0,2
Summer 2006,3,Education,0.0,0
Summer 2006,4,Fintech,0.0,0
Summer 2006,5,Government,0.0,0
Summer 2006,6,Healthcare,0.0,0
Summer 2006,7,Industrials,0.0,0
Summer 2006,8,Real Estate and Construction,0.0,0
Summer 2006,9,Unspecified,0.0,0
Winter 2007,1,Consumer,53.846,7
Winter 2007,2,B2B,23.077,3
Winter 2007,3,Industrials,15.385,2
Winter 2007,4,Fintech,7.692,1
Winter 2007,5,Education,0.0,0
Winter 2007,6,Government,0.0,0
Winter 2007,7,Healthcare,0.0,0
Winter 2007,8,Real Estate and Construction,0.0,0
Winter 2007,9,Unspecified,0.0,0
Summer 2007,1,Consumer,63.158,12
Summer 2007,2,B2B,36.842,7
Summer 2007,3,Education,0.0,0
Summer 2007,4,Fintech,0.0,0
Summer 2007,5,Government,0.0,0
Summer 2007,6,Healthcare,0.0,0
Summer 2007,7,Industrials,0.0,0
Summer 2007,8,Real Estate and Construction,0.0,0
Summer 2007,9,Unspecified,0.0,0
Winter 2008,1,B2B,57.143,12
Winter 2008,2,Consumer,38.095,8
Winter 2008,3,Fintech,4.762,1
Winter 2008,4,Education,0.0,0
Winter 2008,5,Government,0.0,0
Winter 2008,6,Healthcare,0.0,0
Winter 2008,7,Industrials,0.0,0
Winter 2008,8,Real Estate and Construction,0.0,0
Winter 2008,9,Unspecified,0.0,0
Summer 2008,1,Consumer,63.636,14
Summer 2008,2,B2B,36.364,8
Summer 2008,3,Education,0.0,0
Summer 2008,4,Fintech,0.0,0
Summer 2008,5,Government,0.0,0
