industry,batch,count,share_pct,batch_code,year,batch_order,total_companies,is_partial_batch
B2B,Summer 2005,5,55.556,S05,2005,20052,9,True
B2B,Winter 2006,4,57.143,W06,2006,20060,7,True
B2B,Summer 2006,2,20.0,S06,2006,20062,10,True
B2B,Winter 2007,3,23.077,W07,2007,20070,13,True
B2B,Summer 2007,7,36.842,S07,2007,20072,19,True
B2B,Winter 2008,12,57.143,W08,2008,20080,21,True
B2B,Summer 2008,8,36.364,S08,2008,20082,22,True
B2B,Winter 2009,5,31.25,W09,2009,20090,16,True
B2B,Summer 2009,9,34.615,S09,2009,20092,26,True
B2B,Winter 2010,17,62.963,W10,2010,20100,27,True
B2B,Summer 2010,16,44.444,S10,2010,20102,36,True
B2B,Winter 2011,23,51.111,W11,2011,20110,45,True
B2B,Summer 2011,30,50.0,S11,2011,20112,60,False
B2B,Winter 2012,30,45.455,W12,2012,20120,66,False
B2B,Summer 2012,43,51.807,S12,2012,20122,83,False
B2B,Winter 2013,25,54.348,W13,2013,20130,46,True
B2B,Summer 2013,26,50.0,S13,2013,20132,52,False
B2B,Winter 2014,37,50.0,W14,2014,20140,74,False
B2B,Summer 2014,27,34.615,S14,2014,20142,78,False
B2B,Winter 2015,44,40.0,W15,2015,20150,110,False
B2B,Summer 2015,41,39.423,S15,2015,20152,104,False
B2B,Winter 2016,52,42.623,W16,2016,20160,122,False
B2B,Summer 2016,31,30.392,S16,2016,20162,102,False
B2B,Winter 2017,41,35.345,W17,2017,20170,116,False
B2B,Summer 2017,27,21.6,S17,2017,20172,125,False
B2B,Winter 2018,55,37.671,W18,2018,20180,146,False
B2B,Summer 2018,45,34.351,S18,2018,20182,131,False
B2B,Winter 2019,81,41.753,W19,2019,20190,194,False
B2B,Summer 2019,70,39.773,S19,2019,20192,176,False
B2B,Winter 2020,100,43.86,W20,2020,20200,228,False
B2B,Summer 2020,107,51.196,S20,2020,20202,209,False
B2B,Winter 2021,162,48.214,W21,2021,20210,336,False
B2B,Summer 2021,181,46.292,S21,2021,20212,391,False
B2B,Winter 2022,179,44.975,W22,2022,20220,398,False
B2B,Summer 2022,121,51.709,S22,2022,20222,234,False
B2B,Winter 2023,184,67.153,W23,2023,20230,274,False
B2B,Summer 2023,152,69.091,S23,2023,20232,220,False
B2B,Winter 2024,156,62.903,W24,2024,20240,248,False
B2B,Summer 2024,160,64.516,S24,2024,20242,248,False
B2B,Fall 2024,57,60.638,F24,2024,20243,94,False
B2B,Winter 2025,104,62.651,W25,2025,20250,166,False
B2B,Spring 2025,97,67.832,X25,2025,20251,143,False
B2B,Summer 2025,112,67.47,S25,2025,20252,166,False
B2B,Fall 2025,89,60.959,F25,2025,20253,146,False
B2B,Winter 2026,126,63.317,W26,2026,20260,199,False
B2B,Spring 2026,114,58.462,X26,2026,20261,195,False
B2B,Summer 2026,122,51.915,S26,2026,20262,235,False
B2B,Fall 2026,18,51.429,F26,2026,20263,35,True
B2B,Winter 2027,1,100.0,W27,2027,20270,1,True
Consumer,Summer 2005,3,33.333,S05,2005,20052,9,True
Consumer,Winter 2006,3,42.857,W06,2006,20060,7,True
Consumer,Summer 2006,8,80.0,S06,2006,20062,10,True
Consumer,Winter 2007,7,53.846,W07,2007,20070,13,True
Consumer,Summer 2007,12,63.158,S07,2007,20072,19,True
Consumer,Winter 2008,8,38.095,W08,2008,20080,21,True
Consumer,Summer 2008,14,63.636,S08,2008,20082,22,True
Consumer,Winter 2009,9,56.25,W09,2009,20090,16,True
Consumer,Summer 2009,12,46.154,S09,2009,20092,26,True
Consumer,Winter 2010,9,33.333,W10,2010,20100,27,True
Consumer,Summer 2010,16,44.444,S10,2010,20102,36,True
Consumer,Winter 2011,14,31.111,W11,2011,20110,45,True
Consumer,Summer 2011,18,30.0,S11,2011,20112,60,False
Consumer,Winter 2012,21,31.818,W12,2012,20120,66,False
Consumer,Summer 2012,27,32.53,S12,2012,20122,83,False
Consumer,Winter 2013,12,26.087,W13,2013,20130,46,True
Consumer,Summer 2013,15,28.846,S13,2013,20132,52,False
Consumer,Winter 2014,18,24.324,W14,2014,20140,74,False
Consumer,Summer 2014,22,28.205,S14,2014,20142,78,False
Consumer,Winter 2015,21,19.091,W15,2015,20150,110,False
Consumer,Summer 2015,25,24.038,S15,2015,20152,104,False
Consumer,Winter 2016,22,18.033,W16,2016,20160,122,False
Consumer,Summer 2016,32,31.373,S16,2016,20162,102,False
Consumer,Winter 2017,22,18.966,W17,2017,20170,116,False
Consumer,Summer 2017,33,26.4,S17,2017,20172,125,False
Consumer,Winter 2018,35,23.973,W18,2018,20180,146,False
Consumer,Summer 2018,18,13.74,S18,2018,20182,131,False
Consumer,Winter 2019,37,19.072,W19,2019,20190,194,False
Consumer,Summer 2019,27,15.341,S19,2019,20192,176,False
Consumer,Winter 2020,29,12.719,W20,2020,20200,228,False
Consumer,Summer 2020,27,12.919,S20,2020,20202,209,False
Consumer,Winter 2021,39,11.607,W21,2021,20210,336,False
Consumer,Summer 2021,39,9.974,S21,2021,20212,391,False
Consumer,Winter 2022,38,9.548,W22,2022,20220,398,False
Consumer,Summer 2022,22,9.402,S22,2022,20222,234,False
Consumer,Winter 2023,21,7.664,W23,2023,20230,274,False
Consumer,Summer 2023,9,4.091,S23,2023,20232,220,False
Consumer,Winter 2024,28,11.29,W24,2024,20240,248,False
Consumer,Summer 2024,19,7.661,S24,2024,20242,248,False
Consumer,Fall 2024,11,11.702,F24,2024,20243,94,False
Consumer,Winter 2025,9,5.422,W25,2025,20250,166,False
Consumer,Spring 2025,7,4.895,X25,2025,20251,143,False
Consumer,Summer 2025,12,7.229,S25,2025,20252,166,False
Consumer,Fall 2025,17,11.644,F25,2025,20253,146,False
Consumer,Winter 2026,8,4.02,W26,2026,20260,199,False
Consumer,Spring 2026,13,6.667,X26,2026,20261,195,False
Consumer,Summer 2026,11,4.681,S26,2026,20262,235,False
Consumer,Fall 2026,5,14.286,F26,2026,20263,35,True
Consumer,Winter 2027,0,0.0,W27,2027,20270,1,True
Education,Summer 2005,0,0.0,S05,2005,20052,9,True
Education,Winter 2006,0,0.0,W06,2006,20060,7,True
Education,Summer 2006,0,0.0,S06,2006,20062,10,True
Education,Winter 2007,0,0.0,W07,2007,20070,13,True
Education,Summer 2007,0,0.0,S07,2007,20072,19,True
Education,Winter 2008,0,0.0,W08,2008,20080,21,True
Education,Summer 2008,0,0.0,S08,2008,20082,22,True
Education,Winter 2009,0,0.0,W09,2009,20090,16,True
Education,Summer 2009,1,3.846,S09,2009,20092,26,True
Education,Winter 2010,0,0.0,W10,2010,20100,27,True
Education,Summer 2010,1,2.778,S10,2010,20102,36,True
Education,Winter 2011,2,4.444,W11,2011,20110,45,True
Education,Summer 2011,3,5.0,S11,2011,20112,60,False
Education,Winter 2012,2,3.03,W12,2012,20120,66,False
