batch,batch_order,companies_in_batch,companies_in_both_snapshots,first_snapshot,latest_snapshot,tags_changed,tags_changed_pct,tags_changed_excluding_AI_ArtificialIntelligence_swaps,tags_changed_excluding_AI_swaps_pct,industry_changed,industry_changed_pct,subindustry_changed,subindustry_changed_pct
Summer 2005,20052,9,8,2024-08-22,2026-09-01,0,,0,,0,,0,
Winter 2006,20060,7,7,2024-08-22,2026-09-01,0,,0,,0,,0,
Summer 2006,20062,10,10,2024-08-22,2026-09-01,0,,0,,0,,0,
Winter 2007,20070,13,13,2024-08-22,2026-09-01,0,,0,,0,,0,
Summer 2007,20072,19,19,2024-08-22,2026-09-01,0,,0,,0,,0,
Winter 2008,20080,21,21,2024-08-22,2026-09-01,0,0.0,0,0.0,0,0.0,0,0.0
Summer 2008,20082,22,22,2024-08-22,2026-09-01,0,0.0,0,0.0,0,0.0,0,0.0
Winter 2009,20090,16,16,2024-08-22,2026-09-01,0,,0,,0,,0,
Summer 2009,20092,26,26,2024-08-22,2026-09-01,1,3.8,1,3.8,1,3.8,1,3.8
Winter 2010,20100,27,27,2024-08-22,2026-09-01,0,0.0,0,0.0,0,0.0,0,0.0
Summer 2010,20102,36,36,2024-08-22,2026-09-01,1,2.8,1,2.8,0,0.0,0,0.0
Winter 2011,20110,45,45,2024-08-22,2026-09-01,1,2.2,1,2.2,0,0.0,1,2.2
Summer 2011,20112,60,60,2024-08-22,2026-09-01,1,1.7,0,0.0,0,0.0,1,1.7
Winter 2012,20120,66,66,2024-08-22,2026-09-01,2,3.0,2,3.0,0,0.0,0,0.0
Summer 2012,20122,83,83,2024-08-22,2026-09-01,2,2.4,2,2.4,1,1.2,2,2.4
Winter 2013,20130,46,46,2024-08-22,2026-09-01,2,4.3,1,2.2,0,0.0,0,0.0
Summer 2013,20132,52,52,2024-08-22,2026-09-01,0,0.0,0,0.0,0,0.0,0,0.0
Winter 2014,20140,74,74,2024-08-22,2026-09-01,4,5.4,3,4.1,1,1.4,2,2.7
Summer 2014,20142,78,78,2024-08-22,2026-09-01,4,5.1,4,5.1,0,0.0,1,1.3
Winter 2015,20150,110,110,2024-08-22,2026-09-01,10,9.1,7,6.4,2,1.8,3,2.7
Summer 2015,20152,104,104,2024-08-22,2026-09-01,4,3.8,3,2.9,0,0.0,3,2.9
Winter 2016,20160,122,122,2024-08-22,2026-09-01,7,5.7,5,4.1,1,0.8,1,0.8
Summer 2016,20162,102,102,2024-08-22,2026-09-01,8,7.8,7,6.9,1,1.0,3,2.9
Winter 2017,20170,116,116,2024-08-22,2026-09-01,8,6.9,5,4.3,1,0.9,8,6.9
Summer 2017,20172,125,125,2024-08-22,2026-09-01,9,7.2,7,5.6,2,1.6,5,4.0
Winter 2018,20180,146,146,2024-08-22,2026-09-01,11,7.5,8,5.5,2,1.4,5,3.4
Summer 2018,20182,131,131,2024-08-22,2026-09-01,13,9.9,8,6.1,2,1.5,8,6.1
Winter 2019,20190,194,194,2024-08-22,2026-09-01,22,11.3,19,9.8,7,3.6,14,7.2
Summer 2019,20192,176,174,2024-08-22,2026-09-01,23,13.2,18,10.3,5,2.9,13,7.5
Winter 2020,20200,228,226,2024-08-22,2026-09-01,31,13.7,24,10.6,2,0.9,16,7.1
Summer 2020,20202,209,207,2024-08-22,2026-09-01,36,17.4,26,12.6,6,2.9,18,8.7
Winter 2021,20210,336,336,2024-08-22,2026-09-01,62,18.5,50,14.9,9,2.7,35,10.4
Summer 2021,20212,391,390,2024-08-22,2026-09-01,85,21.8,70,17.9,11,2.8,39,10.0
Winter 2022,20220,398,397,2024-08-22,2026-09-01,102,25.7,86,21.7,18,4.5,58,14.6
Summer 2022,20222,234,234,2024-08-22,2026-09-01,102,43.6,83,35.5,17,7.3,38,16.2
Winter 2023,20230,274,273,2024-08-22,2026-09-01,108,39.6,85,31.1,15,5.5,60,22.0
Summer 2023,20232,220,215,2024-08-22,2026-09-01,127,59.1,100,46.5,15,7.0,58,27.0
Winter 2024,20240,248,247,2024-08-22,2026-09-01,159,64.4,134,54.3,27,10.9,115,46.6
Summer 2024,20242,248,198,2024-08-22,2026-09-01,163,82.3,143,72.2,28,14.1,76,38.4
Fall 2024,20243,94,0,2024-08-22,2026-09-01,0,,0,,0,,0,
Winter 2025,20250,166,1,2024-08-22,2026-09-01,1,,1,,0,,1,
Spring 2025,20251,143,0,2024-08-22,2026-09-01,0,,0,,0,,0,
Summer 2025,20252,166,1,2024-08-22,2026-09-01,1,,1,,1,,1,
Fall 2025,20253,146,1,2024-08-22,2026-09-01,1,,1,,0,,0,
Winter 2026,20260,199,1,2024-08-22,2026-09-01,1,,1,,0,,0,
Spring 2026,20261,195,0,2024-08-22,2026-09-01,0,,0,,0,,0,
Summer 2026,20262,235,1,2024-08-22,2026-09-01,1,,1,,1,,1,
Fall 2026,20263,35,0,2024-08-22,2026-09-01,0,,0,,0,,0,
Winter 2027,20270,1,0,2024-08-22,2026-09-01,0,,0,,0,,0,
