era,edition_label,edition_order,n_requests,first_seen,last_seen,partners_named
essays,RFS 1,20090,1,20090818173806,20090818173806,0
essays,RFS 2,20090,1,20090917014833,20090917014833,0
essays,RFS 4,20090,1,20091101135021,20091101135021,0
essays,RFS 3,20090,1,20091101135023,20091101135023,0
essays,RFS 5,20090,1,20091203074752,20091203074752,0
essays,RFS 6,20100,1,20100309061916,20100309061916,0
essays,RFS 7,20100,1,20100830194600,20100830194600,0
essays,RFS 8,20110,1,20110714185448,20110714185448,0
essays,RFS 9,20120,1,20120121035139,20120121035139,0
essays,RFS 10,20140,1,20140321122643,20140321122643,0
consolidated,March 2014,20140,11,20140701175550,20140701175550,0
consolidated,July 2014,20142,12,20140802045600,20140903221245,0
consolidated,September 2014,20142,22,20141003045747,20150809071536,0
consolidated,August 2015,20152,24,20150901100100,20160902230944,0
consolidated,September 2016,20162,25,20161003082811,20180305063455,0
consolidated,March 2018,20180,27,20180401145637,20200401232808,0
consolidated,April 2020,20201,21,20200508115524,20220207231405,0
consolidated,undated version first captured 2022-03-02,20220,21,20220302031222,20220601030654,0
consolidated,undated version first captured 2022-07-01,20222,20,20220701115057,20240204003328,0
seasonal,Summer 2024,20242,20,20240302111333,20250102172352,0
seasonal,Winter 2025,20250,9,20250102172352,20250102172352,0
seasonal,Spring 2025,20251,14,20250202012604,20250501031358,0
seasonal,Summer 2025,20252,14,20250601125436,20250704000742,0
seasonal,Fall 2025,20253,6,20250801091449,20260101122607,0
seasonal,Spring 2026,20261,10,20260203133656,20260402165521,0
seasonal,Summer 2026,20262,16,20260501000432,20260708135218,16
seasonal,Fall 2026,20263,13,20260807171507,20260906000000,13
