label_type,label,era,edition_label,edition_order,requests_mentioning,mentions,in_title_any
industry,B2B,seasonal,Summer 2024,20242,2,2,False
industry,B2B,seasonal,Spring 2025,20251,1,4,False
industry,B2B,seasonal,Summer 2025,20252,1,1,False
industry,B2B,seasonal,Fall 2025,20253,1,1,False
industry,Consumer,consolidated,March 2018,20180,2,3,False
industry,Consumer,consolidated,April 2020,20201,1,1,False
industry,Consumer,consolidated,undated version first captured 2022-03-02,20220,1,1,False
industry,Consumer,consolidated,undated version first captured 2022-07-01,20222,1,1,False
industry,Consumer,seasonal,Summer 2024,20242,4,4,False
industry,Consumer,seasonal,Summer 2025,20252,1,1,False
industry,Consumer,seasonal,Fall 2026,20263,2,6,True
industry,Education,essays,RFS 6,20100,1,1,False
industry,Education,consolidated,March 2014,20140,1,3,True
industry,Education,essays,RFS 10,20140,1,3,False
industry,Education,consolidated,July 2014,20142,1,3,True
industry,Education,consolidated,September 2014,20142,1,3,True
industry,Education,consolidated,August 2015,20152,1,3,True
industry,Education,consolidated,September 2016,20162,1,3,True
industry,Education,consolidated,March 2018,20180,2,6,True
industry,Education,consolidated,April 2020,20201,2,6,True
industry,Education,consolidated,undated version first captured 2022-03-02,20220,2,6,True
industry,Education,consolidated,undated version first captured 2022-07-01,20222,2,6,True
industry,Education,seasonal,Summer 2025,20252,2,6,True
industry,Education,seasonal,Fall 2026,20263,1,1,False
industry,Fintech,seasonal,Summer 2024,20242,1,1,False
industry,Fintech,seasonal,Winter 2025,20250,1,3,True
industry,Government,consolidated,March 2014,20140,1,1,False
industry,Government,essays,RFS 10,20140,1,1,False
industry,Government,consolidated,July 2014,20142,1,1,False
industry,Government,consolidated,September 2014,20142,1,3,True
industry,Government,consolidated,August 2015,20152,1,1,False
industry,Government,consolidated,September 2016,20162,1,1,False
industry,Government,consolidated,March 2018,20180,2,3,True
industry,Government,consolidated,April 2020,20201,2,3,True
industry,Government,consolidated,undated version first captured 2022-03-02,20220,2,3,True
industry,Government,consolidated,undated version first captured 2022-07-01,20222,2,3,True
industry,Government,seasonal,Summer 2024,20242,1,1,False
industry,Government,seasonal,Winter 2025,20250,1,8,True
industry,Government,seasonal,Fall 2025,20253,2,9,True
industry,Government,seasonal,Spring 2026,20261,2,10,True
industry,Government,seasonal,Fall 2026,20263,2,2,False
industry,Healthcare,consolidated,March 2014,20140,1,6,True
industry,Healthcare,essays,RFS 10,20140,1,6,False
industry,Healthcare,consolidated,July 2014,20142,1,6,True
industry,Healthcare,consolidated,September 2014,20142,1,6,True
industry,Healthcare,consolidated,August 2015,20152,1,6,True
industry,Healthcare,consolidated,September 2016,20162,2,7,True
industry,Healthcare,consolidated,March 2018,20180,5,10,True
industry,Healthcare,consolidated,April 2020,20201,4,9,True
industry,Healthcare,consolidated,undated version first captured 2022-03-02,20220,4,9,True
industry,Healthcare,consolidated,undated version first captured 2022-07-01,20222,4,9,True
industry,Healthcare,seasonal,Summer 2024,20242,4,7,True
industry,Healthcare,seasonal,Summer 2025,20252,1,5,True
industry,Healthcare,seasonal,Spring 2026,20261,1,1,False
industry,Healthcare,seasonal,Summer 2026,20262,1,1,False
subindustry_child,Agriculture,consolidated,September 2016,20162,1,1,False
subindustry_child,Agriculture,consolidated,March 2018,20180,2,3,True
subindustry_child,Agriculture,consolidated,April 2020,20201,2,3,True
subindustry_child,Agriculture,consolidated,undated version first captured 2022-03-02,20220,2,3,True
subindustry_child,Agriculture,consolidated,undated version first captured 2022-07-01,20222,2,3,True
subindustry_child,Agriculture,seasonal,Summer 2026,20262,1,3,True
subindustry_child,Agriculture,seasonal,Fall 2026,20263,1,1,False
subindustry_child,Climate,consolidated,March 2014,20140,1,1,False
subindustry_child,Climate,essays,RFS 10,20140,1,1,False
subindustry_child,Climate,consolidated,July 2014,20142,1,1,False
subindustry_child,Climate,consolidated,September 2014,20142,1,1,False
subindustry_child,Climate,consolidated,August 2015,20152,1,1,False
subindustry_child,Climate,consolidated,March 2018,20180,1,1,False
subindustry_child,Climate,consolidated,April 2020,20201,1,1,False
subindustry_child,Climate,consolidated,undated version first captured 2022-03-02,20220,1,1,False
subindustry_child,Climate,consolidated,undated version first captured 2022-07-01,20222,1,1,False
subindustry_child,Climate,seasonal,Summer 2024,20242,1,5,True
subindustry_child,Construction,seasonal,Summer 2024,20242,1,1,False
subindustry_child,Construction,seasonal,Spring 2025,20251,1,1,False
subindustry_child,Construction,seasonal,Fall 2026,20263,2,2,False
subindustry_child,Content,essays,RFS 1,20090,1,3,False
subindustry_child,Content,consolidated,March 2014,20140,1,1,False
subindustry_child,Content,essays,RFS 10,20140,1,1,False
subindustry_child,Content,consolidated,July 2014,20142,1,1,False
subindustry_child,Content,consolidated,September 2014,20142,2,4,False
subindustry_child,Content,consolidated,August 2015,20152,2,4,False
subindustry_child,Content,consolidated,September 2016,20162,2,4,False
subindustry_child,Content,seasonal,Summer 2025,20252,1,1,False
subindustry_child,Defense,seasonal,Summer 2024,20242,1,4,True
subindustry_child,Defense,seasonal,Summer 2026,20262,1,4,True
subindustry_child,Defense,seasonal,Fall 2026,20263,1,1,True
subindustry_child,Diagnostics,consolidated,March 2018,20180,2,4,False
subindustry_child,Diagnostics,consolidated,April 2020,20201,2,4,False
subindustry_child,Diagnostics,consolidated,undated version first captured 2022-03-02,20220,2,4,False
subindustry_child,Diagnostics,consolidated,undated version first captured 2022-07-01,20222,1,3,False
subindustry_child,Diagnostics,seasonal,Summer 2026,20262,1,2,False
subindustry_child,Drones,seasonal,Summer 2026,20262,1,4,False
subindustry_child,Drones,seasonal,Fall 2026,20263,1,1,False
subindustry_child,Energy,essays,RFS 9,20120,1,1,False
subindustry_child,Energy,consolidated,March 2014,20140,2,9,True
subindustry_child,Energy,essays,RFS 10,20140,1,9,False
subindustry_child,Energy,consolidated,July 2014,20142,2,9,True
subindustry_child,Energy,consolidated,September 2014,20142,2,9,True
subindustry_child,Energy,consolidated,August 2015,20152,2,9,True
subindustry_child,Energy,consolidated,September 2016,20162,2,9,True
subindustry_child,Energy,consolidated,March 2018,20180,3,10,True
subindustry_child,Energy,consolidated,April 2020,20201,3,10,True
subindustry_child,Energy,consolidated,undated version first captured 2022-03-02,20220,3,10,True
subindustry_child,Energy,consolidated,undated version first captured 2022-07-01,20222,3,10,True
subindustry_child,Energy,seasonal,Summer 2024,20242,1,1,False
subindustry_child,Energy,seasonal,Winter 2025,20250,1,1,False
subindustry_child,Energy,seasonal,Spring 2026,20261,1,5,False
subindustry_child,Energy,seasonal,Fall 2026,20263,1,1,False
subindustry_child,Gaming,seasonal,Summer 2024,20242,1,1,False
subindustry_child,Gaming,seasonal,Fall 2025,20253,1,1,False
subindustry_child,Human Resources,consolidated,July 2014,20142,1,1,False
subindustry_child,Human Resources,consolidated,September 2014,20142,1,1,False
subindustry_child,Human Resources,consolidated,August 2015,20152,1,1,False
subindustry_child,Human Resources,consolidated,September 2016,20162,1,1,False
subindustry_child,Human Resources,consolidated,March 2018,20180,1,1,False
subindustry_child,Human Resources,consolidated,April 2020,20201,1,1,False
subindustry_child,Human Resources,consolidated,undated version first captured 2022-03-02,20220,1,1,False
subindustry_child,Human Resources,consolidated,undated version first captured 2022-07-01,20222,1,1,False
subindustry_child,Infrastructure,essays,RFS 4,20090,1,5,False
subindustry_child,Infrastructure,consolidated,March 2014,20140,1,2,True
subindustry_child,Infrastructure,essays,RFS 10,20140,1,2,False
subindustry_child,Infrastructure,consolidated,July 2014,20142,1,2,True
subindustry_child,Infrastructure,consolidated,September 2014,20142,3,4,True
subindustry_child,Infrastructure,consolidated,August 2015,20152,3,7,True
subindustry_child,Infrastructure,consolidated,September 2016,20162,1,1,False
subindustry_child,Infrastructure,consolidated,March 2018,20180,2,2,False
