era,edition_label,title,edition_order,first_seen_snapshot,last_seen_snapshot,n_snapshots,partner,body_text,n_body_versions,source_url,body_chars
essays,RFS 1,The Future of Journalism,20090,20090818173806,20090818173806,1,,"YCRFS 1: The Future of Journalism RFS 1: The Future of Journalism Newspapers and magazines are in trouble. We think they will mostly die, because we think we know what will replace them, and it is too far from their current model for them to reach it in time. And yet people still need at least some of what they do. You can't have aggregators without content. So what will the content site of the future look like? And how will you make money from it? These questions turn out to be very closely related. Just as they were for print media, initially. The reason newspapers and magazines are dying is that what they do is no longer related to how they make money from it. In fact, most journalists probably don't even realize that the definition of journalism they take for granted was not something that sprang fully-formed from the head of Zeus, but is rather a direct though somewhat atrophied consequence of a very successful 20th century business model. What would a content site look like if you started from how to make money—as print media once did—instead of taking a particular form of journalism as a given and treating how to make money from it as an afterthought? (The good news is, we think the writing will actually end up being better.) Groups applying to work on this idea should include at least one person who can write well and rapidly about any topic, one or more programmers who are good at statistics, data mining, and making sites scale, and someone who's reasonably competent at graphic design. These functions can of course be combined, and in fact it's even better if they are. Ex-Googlers would be particularly well suited to this project. Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20090818173806/http://ycombinator.com/rfs1.html,1748
essays,RFS 2,New Paths Through Product Space,20090,20090917014833,20090917014833,1,,"YCRFS 2: New Paths Through Product Space RFS 2: New Paths Through Product Space Online stores group products by who sells them. Not because that's the optimal way to group products for consumers; it's just a cultural artifact left over from the time when the only way to present a collection of things for sale was a retail store or print catalog. There's no reason catalogs (in the sense of lists) have to be made by the vendor. In fact, it would be surprising if, as technology allowed specialization to increase, the companies that were best at mundane things like answering questions, taking orders, packing and shipping them, and taking returns, were also the best at selecting products and presenting them for sale. If you envision the collections of products sold by individual merchants as a block of imaginary catalogs stored on a shelf, it's obvious that there are an infinite number of paths you could take through that block, not just the vertical slices representing the catalogs. It's very unlikely the vertical slices are optimal. What would be best paths through product space? Who has an interest in creating them, and what could you build to help them? The founders of this startup should include one or more solid programmers who are not above mucking about with a lot of tedious, site-specific code, someone who is very good at graphic design, and someone willing and able to talk to vendors and manufacturers and convince them to do deals with you. As always, it's good if these functions can be combined. Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20090917014833/http://ycombinator.com/rfs2.html,1607
essays,RFS 4,New Ways to Use Live Video,20090,20091101135021,20091101135021,1,,"YCRFS 4: New Ways to Use Live Video RFS 4: New Ways to Use Live Video TV is gradually being replaced. The new ways people spend the time they used to spend watching TV fall on a continuum, from things quite unlike TV (Facebook) to TV repackaged for computer screens (Hulu). Many of the most promising options remain to be discovered. Live video seems a particularly promising area, especially now that the Justin.TV API enables startups to use their infrastructure for free. Most people know Justin.TV as a site with a lot of traffic (they're roughly tied with Hulu in monthly uniques), but their infrastructure may be even more impressive. Live video is a harder problem than recorded, because the options for caching are so limited. Plus JTV had to build everything on comparatively little money, which forced them to create a live video infrastructure of unparalleled efficiency. With the release of the JTV API, they've opened up this infrastructure to everyone. It's the perfect platform for startups experimenting with live video, because (a) it's free, and (b) they give you direct access to the video stream, not just a player. Which means startups can now treat moving bits as a solved problem, and focus instead on new ways to use live video. Justin.TV has agreed that any startup we fund that wants to use the JTV API will get direct access to the JTV founders and the engineers working on JTV's infrastructure. Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20091101135021/http://ycombinator.com/rfs4.html,1503
essays,RFS 3,Things Built on Twitter,20090,20091101135023,20091101135023,1,,"YCRFS 3: Things Built on Twitter RFS 3: Things Built on Twitter Twitter is important because it's a new protocol. Fundamentally it's a messaging protocol where you don't specify the recipients. It's really more of a discovery than an invention; that square was always there in the periodic table of protocols, but no one had quite hit it squarely. Successful new protocols are rare. There are only a handful of commonly used ones: TCP/IP (the Internet), SMTP (email), HTTP (the web), and so on. So any new protocol is a big deal. Each one of those protocols has spawned many successful companies. Twitter will too. We want to fund those companies. And the people at Twitter also want to encourage people to build stuff on top of it. So together we came up with a plan: anyone YC funds to do a startup based on Twitter will get priority access to the Twitter stream, and to people at Twitter. Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20091101135023/http://ycombinator.com/rfs3.html,972
essays,RFS 5,Development on Handhelds,20090,20091203074752,20091203074752,1,,"YCRFS 5: Development on Handhelds RFS 5: Development on Handhelds There seems a reasonable chance that handheld devices will displace laptops as development machines in the same way that laptops displaced desktops. What would it take? Maybe you could do it mostly with existing hardware. Maybe you'd have to make significant innovations in input and display devices. The real test is whether you can create an acceptable development environment on something small enough that you'd be willing to use it as a phone. Whatever the solution turned out to be, the result would end up being useful to more than just developers. The way to start might be to try to force yourself to use a handheld device as your exclusive development machine, and see where the pinch points turn out to be. Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20091203074752/http://ycombinator.com/rfs5.html,864
essays,RFS 6,iPad Applications,20100,20100309061916,20100309061916,1,,"YCRFS 6: iPad Applications RFS 6: iPad Applications Most people think the important thing about the iPad is its form factor: that it's fundamentally a tablet computer. We think Apple has bigger ambitions. We think the iPad is meant to be a Windows killer. Or more precisely, a Windows transcender. We think Apple foresees a future in which the iPad is the default way people do what they now do with computers (and some other new things). Programmers may never want a computer they don't control, but ordinary people just want something cheap that works. And that's how the iPad will seem to them. Many will never make a conscious decision to switch. They'll get an iPad as well, then find they use their Windows machine less and less. When it dies they won't replace it. Will this future happen? It could. And if it does it will bring big changes. There will need to be iPad alternatives for all the things people now do on PCs. That could mean more than just replacing all the desktop software, because there may be things PC users now do with web apps that might be better done with native iPad apps. Plus like any new platform the iPad will allow new types of applications that don't have any present day analogues. And no one knows now what most of them will be. Only people who become iPad developers will even think of these ideas, just as only microcomputer developers were in a position to think of the spreadsheet. Education and games may be areas where there are a lot of new ideas. One particularly interesting subproblem is how to introduce iPads into big companies. This will probably have to be done by stealth initially, as happened with microcomputers. They'll have to be introduced as something individuals use, and which doesn't really count as a computer and thus can't be vetoed by the IT department. Don't worry about this; it's just a little tablet computer. See also: RFS 5: Development on Handhelds Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20100309061916/http://ycombinator.com/rfs6.html,2004
essays,RFS 7,Applications of Facebook Instant Personalization,20100,20100830194600,20100830194600,1,,"YCRFS 7: Applications of Facebook Instant Personalization RFS 7: Applications of Facebook Instant Personalization Instant Personalization is a new service from Facebook that's like a more fluid version of Facebook Connect. When you're logged into Facebook and you visit a site using it, the site will have access to the public parts of your profile. The vision seems to be that eventually most of the sites you visit will be automatically personalized for you. Facebook began by testing Instant Personalization with a handful of popular existing sites. But the interesting question for us is: what new things could be built using it that couldn't even have existed before? What new things could you do if you already knew users and their friends the moment they arrived? One obvious advantage is that it will decrease the friction of trying something new. That will make it easier to launch dramatically novel things. The problem with dramatic innovations is that users often don't understand what you've made till they try it. Now you'll just be able to show them. Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20100830194600/http://ycombinator.com/rfs7.html,1146
essays,RFS 8,Ephemeralization Apps,20110,20110714185448,20110714185448,1,,"YCRFS 8: Ephemeralization Apps RFS 8: Ephemeralization Apps Apps running on tablets are going to replace a surprising amount of existing technology. This is already clear in the cases of cameras, GPSes, and so on. The surprising thing will be how far this pattern spreads. The word ""replace"" should not be taken too literally. In fact, some of the most ingenious things that get built on tablets will be those that ""replace"" something in an unexpected sense. So the question to ask is not ""what can we replace with an app running on a tablet?"" but a more general one: ""what can we save people from having to do with an app running on a tablet?"" For the next several years that will be a recipe for new startups. The tablet app need not necessarily be the thing that makes all the money. It need only be what gets the startup a foothold with users. (Note: This RFS is effectively a heuristic for generating ideas for RFS 6 .) Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20110714185448/http://ycombinator.com/rfs8.html,1005
essays,RFS 9,Kill Hollywood,20120,20120121035139,20120121035139,1,,"YCRFS 9: Kill Hollywood RFS 9: Kill Hollywood Hollywood appears to have peaked. If it were an ordinary industry (film cameras, say, or typewriters), it could look forward to a couple decades of peaceful decline. But this is not an ordinary industry. The people who run it are so mean and so politically connected that they could do a lot of damage to civil liberties and the world economy on the way down. It would therefore be a good thing if competitors hastened their demise. That's one reason we want to fund startups that will compete with movies and TV, but not the main reason. The main reason we want to fund such startups is not to protect the world from more SOPAs, but because SOPA brought it to our attention that Hollywood is dying. They must be dying if they're resorting to such tactics. If movies and TV were growing rapidly, that growth would take up all their attention. When a striker is fouled in the penalty area, he doesn't stop as long as he still has control of the ball; it's only when he's beaten that he turns to appeal to the ref. SOPA shows Hollywood is beaten. And yet the audiences to be captured from movies and TV are still huge. There is a lot of potential energy to be liberated there. How do you kill the movie and TV industries? Or more precisely (since at this level, technological progress is probably predetermined) what is going to kill them? Mostly not what they like to believe is killing them, filesharing. What's going to kill movies and TV is what's already killing them: better ways to entertain people. So the best way to approach this problem is to ask yourself: what are people going to do for fun in 20 years instead of what they do now? There will be several answers, ranging from new ways to produce and distribute shows, through new media (e.g. games) that look a lot like shows but are more interactive, to things (e.g. social sites and apps) that have little in common with movies and TV except competing with them for finite audience attention. Some of the best ideas may initially look like they're serving the movie and TV industries. Microsoft seemed like a technology supplier to IBM before eating their lunch, and Google did the same thing to Yahoo. It would be great if what people did instead of watching shows was exercise more and spend more time with their friends and families. Maybe they will. All other things being equal, we'd prefer to hear about ideas like that. But all other things are decidedly not equal. Whatever people are going to do for fun in 20 years is probably predetermined. Winning is more a matter of discovering it than making it happen. In this respect at least, you can't push history off its course. You can, however, accelerate it. What's the most entertaining thing you can build? Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20120121035139/http://ycombinator.com/rfs9.html,2855
essays,RFS 10,Breakthrough Technologies,20140,20140321122643,20140321122643,1,,"YCRFS 10: Breakthrough Technologies RFS 10: Breakthrough Technologies We'd like for Y Combinator to fund more breakthrough technology companies - companies that solve an important problem, have a very long time horizon, and are based on an underlying technological or scientific breakthrough. Not many people try to start these companies, so starting a company that will require a huge amount of time and money is an automatic competitive advantage. SpaceX and Tesla are great examples of what is possible. It used to be the case that governments funded a lot of development of breakthrough technologies. The bad news is that they have mostly stopped; the good news is that the leverage of technology is such that now small startups can do what used to take the resources of nations. [ 1 ] We think the YC model works well for these companies. We invest with infinite time horizon and are not afraid of risky-looking companies. [ 2 ] We understand software, which will be central to many of these companies. We are good at getting companies to focus on solving real problems for real customers, and not just developing technology for its own sake. And our model helps companies figure out a right-sized initial project achievable with a small amount of time and money - great companies get built with a series of small wins that compound over time, and early momentum is critical. A common failure mode of many ambitious companies is to bite off an initial project that is far too big and expensive. Finally, we know a lot about raising money, which will be a big part of the challenge for many of these companies as they mature. Here is a list (we'll add to it over time) of some areas we're particularly interested in, but more generally, we'll pay attention to any area where technology can make the world much better. Energy. There is a remarkable correlation between the cost of energy and quality of life. Throughout history, when the cost of energy has come down a lot (for example, with the steam engine) the quality of life goes up a lot. Cheap energy would do a huge amount to reduce poverty. New energy sources could also help the environment, the economy, reduce war, ensure a stable future, make food and water more abundant, and much more. We believe economics will dominate - new sources must be cheaper than old ones, without subsidies, and be able to scale to global demand. Nuclear energy can hit the bid, and possibly so can renewables. But pricing is the first order question. In addition to generation, we're also interested in energy storage and transmission. 10x better batteries would enable great new things, as would the ability to easily move energy around. A.I. Relative to the potential impact , it doesn't seem like enough smart people are working on this. A lot of smart people talk about AI with a combination of awe and fear, both for good reasons. But it feels like it could be one of the dividing lines in the history of technology, where before and after look totally different. Robotics. Robots will be a major way we get things done in the physical world. Our definition is pretty broad - for example, we count a self-driving car as a robot. Robots are how we'll likely explore space and maybe even the human body. Biotech. It's still early, but it seems like we're finally making real progress hacking biology. There are so many directions this can go - fighting disease, slowing aging, merging humans and computers, downloading memories, genetic programming, etc. We are certain that this is going to be a surprising, powerful and controversial field over the next several decades - it feels a little bit like microcomputers in the 1970s. Healthcare. Healthcare in the United States is badly broken. We are getting close to spending 20% of our GDP on healthcare; this is unsustainable. We're interested in ways to make healthcare better for less money, not in companies that are able to exploit the system by overcharging. We're especially interested in preventative healthcare, as this is probably the highest-leverage way to improve health. Sensors and data are interesting in lots of different areas, but especially for healthcare. Food and Water. At some point, we are going to have problems with food and water availability. Technology can almost certainly improve this. Great innovations are possible - we will need another advancement on the scale of what Norman Borlaug did. Education. If we can fix education, we can eventually do everything else on this list. The first attempts to use technology to fix education have focused on using the Internet to distribute traditional content to a wider audience. This is good, but the Internet is a fundamentally different medium and capable of much more. Solutions that combine the mass scale of technology with one-on-one in-person interaction are particularly interesting to us. This may not require a ""breakthrough"" technologyin the classical sense, but at a minimum it will require very new ways of doing things. Internet Infrastructure. We can't imagine life without the Internet. We need to be sure it keeps working - this includes everything from security to free and open communication to infrastructure. The Internet is a transformative power, and we're particularly interested in applications that transform the big underpinnings of society (bitcoin is a great example!). The Internet lets people around the world coordinate action - there are almost certainly important businesses to be built around this concept. Of particular interest to us are ways to use the Internet to fix government - for example, crowdfunding social services. An important trend is the API-ification of everything. As more and more businesses are accessible with a web API, the Internet becomes more and more powerful. Levers. We're interested in technology that multiplies the efforts and productivity of individuals. Robots are a great example, but this also includes areas like new programming languages, powered exoskeletons, augmented reality, etc. Science. Science seems broken. The current funding models are broken and favor political skill over scientific genius. We need new business models for basic research. There are a lot of areas where scientific developments can have huge commercial applications - materials, neuroscience, climate engineering, and cheaper/better ways to get to space, just to name a few - and we'd love to figure out a way for it to happen. Bell Labs worked a long time ago but would probably not work in today's world. Transportation and Housing. About half of all energy is used on transportation, and people spend a huge amount of time unhappily commuting. Face-to-face interaction is still really important; people still need to move around. And housing continues to get more expensive, partially due to difficulties in transportation. We're interested in better ways for people to live somewhere nice, work together, and have easier commutes. As a side note, you shouldn't start a company just because it's on this list. Our hope is that someone already working on a company in one of these areas that might not have otherwise applied to YC will now consider it. The great majority of the startups we fund will continue to be the sort of Internet and mobile companies we've funded in the past, so if that's what you wanted to do before this post, keep doing it. Traditional-looking startups like Google and Facebook are obviously as important as any company one could imagine, and clearly are breakthrough technologies. [1] To be clear, we are not interested in funding patent trolls. We only want to fund businesses that actually solve problems and create value. [2] Related to long time horizons, if a company needs to raise a billion dollars of funding over the course of its life, that doesn't scare us - in fact, that's a plus. Apply | What We Do | Blog | People | Jobs | Quotes | FAQ | Contact | Lib | Legal",1,https://web.archive.org/web/20140321122643/http://ycombinator.com/rfs10.html,7931
