title,n_editions,first_edition,last_edition,first_seen,last_seen
A.I.,9,March 2014,undated version first captured 2022-07-01,20140701175550,20240204003328
Education,9,March 2014,undated version first captured 2022-07-01,20140701175550,20240204003328
Energy,9,March 2014,undated version first captured 2022-07-01,20140701175550,20240204003328
Healthcare,9,March 2014,undated version first captured 2022-07-01,20140701175550,20240204003328
One Million Jobs,8,July 2014,undated version first captured 2022-07-01,20140802045600,20240204003328
Diversity,7,September 2014,undated version first captured 2022-07-01,20141003045747,20240204003328
Enterprise Software,7,September 2014,undated version first captured 2022-07-01,20141003045747,20240204003328
Financial Services,7,September 2014,undated version first captured 2022-07-01,20141003045747,20240204003328
VR and AR,7,September 2014,undated version first captured 2022-07-01,20141003045747,20240204003328
Robotics,6,March 2014,March 2018,20140701175550,20200401232808
Transportation & Housing,6,March 2014,March 2018,20140701175550,20200401232808
Biotech,5,March 2014,September 2016,20140701175550,20180305063455
Underserved Communities and Social Services,5,September 2016,undated version first captured 2022-07-01,20161003082811,20240204003328
Future of Work:,5,September 2016,undated version first captured 2022-07-01,20170316103204,20240204003328
Internet Infrastructure,4,March 2014,August 2015,20140701175550,20160902230944
Science,4,March 2014,August 2015,20140701175550,20160902230944
Programming Tools,4,September 2014,March 2018,20141003045747,20200401232808
Bio,4,March 2018,undated version first captured 2022-07-01,20180401145637,20240204003328
Brick and Mortar 2.0,4,March 2018,undated version first captured 2022-07-01,20180401145637,20240204003328
Carbon Removal Technologies,4,March 2018,undated version first captured 2022-07-01,20180401145637,20240204003328
Cellular Agriculture and Clean Meat,4,March 2018,undated version first captured 2022-07-01,20180401145637,20240204003328
Improving Memory,4,March 2018,undated version first captured 2022-07-01,20180401145637,20240204003328
Longevity and Anti-aging,4,March 2018,undated version first captured 2022-07-01,20180401145637,20240204003328
Supporting Creators,4,March 2018,undated version first captured 2022-07-01,20180401145637,20240204003328
Government 2.0,4,March 2018,undated version first captured 2022-07-01,20190609211657,20240204003328
Food & Water,3,March 2014,September 2014,20140701175550,20150809071536
Hollywood 2.0,3,September 2014,September 2016,20141003045747,20180305063455
Human Augmentation,3,September 2014,September 2016,20141003045747,20180305063455
Pharmaceuticals,3,September 2014,September 2016,20141003045747,20180305063455
Computer Security,3,August 2015,March 2018,20150901100100,20200401232808
Response to COVID-19,3,March 2018,undated version first captured 2022-03-02,20200401232808,20220601030654
Transportation and Housing,3,April 2020,undated version first captured 2022-07-01,20200508115524,20240204003328
Levers,2,March 2014,July 2014,20140701175550,20140903221245
Global Health Non-profits,2,August 2015,September 2016,20150901100100,20180305063455
New space companies,2,Summer 2024,Winter 2025,20240302111333,20250102172352
Developing Countries,1,September 2014,September 2014,20141003045747,20150809071536
Government,1,September 2014,September 2014,20141003045747,20150809071536
Telecommunications,1,September 2014,September 2014,20141003045747,20150809071536
Global Infrastructure,1,August 2015,August 2015,20150901100100,20160902230944
Nanotech,1,August 2015,August 2015,20150901100100,20160902230944
Underserved Communities,1,August 2015,August 2015,20150901100100,20160902230944
Cities of the Future,1,August 2015,August 2015,20160304012107,20160902230944
Food and Farming:,1,September 2016,September 2016,20161003082811,20180305063455
Mass Media:,1,September 2016,September 2016,20161003082811,20180305063455
Improving Democracy:,1,September 2016,September 2016,20170316103204,20180305063455
News:,1,September 2016,September 2016,20170316103204,20180305063455
Water:,1,September 2016,September 2016,20170316103204,20180305063455
Cleaner Commodities,1,March 2018,March 2018,20180401145637,20200401232808
Safeguards Against Fake Video,1,March 2018,March 2018,20180401145637,20200401232808
Voice Apps,1,March 2018,March 2018,20180401145637,20200401232808
A way to end cancer,1,Summer 2024,Summer 2024,20240302111333,20250102172352
AI to build enterprise software,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Applying machine learning to robotics,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Better enterprise glue,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Bring manufacturing back to America,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Climate tech,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Commercial open source companies,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Developer tools inspired by existing internal tools,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Eliminating middlemen in healthcare,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Explainable AI,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Foundation models for biological systems,1,Summer 2024,Summer 2024,20240302111333,20250102172352
LLMs for manual back office processes in legacy enterprises,1,Summer 2024,Summer 2024,20240302111333,20250102172352
New Enterprise Resource Planning software,1,Summer 2024,Summer 2024,20240302111333,20250102172352
New defense technology,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Small fine-tuned models as an alternative to giant generic ones,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Spatial computing,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Stablecoin finance,1,Summer 2024,Summer 2024,20240302111333,20250102172352
The Managed Service Organization model for healthcare,1,Summer 2024,Summer 2024,20240302111333,20250102172352
Using machine learning to simulate the physical world,1,Summer 2024,Summer 2024,20240302111333,20250102172352
AI-aided engineering tools,1,Winter 2025,Winter 2025,20250102172352,20250102172352
Fintech 2.0,1,Winter 2025,Winter 2025,20250102172352,20250102172352
Government software,1,Winter 2025,Winter 2025,20250102172352,20250102172352
LLMs for chip design,1,Winter 2025,Winter 2025,20250102172352,20250102172352
Manufacture in the USA,1,Winter 2025,Winter 2025,20250102172352,20250102172352
One million jobs 2.0,1,Winter 2025,Winter 2025,20250102172352,20250102172352
Public safety technology,1,Winter 2025,Winter 2025,20250102172352,20250102172352
Stablecoins 2.0,1,Winter 2025,Winter 2025,20250102172352,20250102172352
A Secure AI App Store,1,Spring 2025,Spring 2025,20250202012604,20250501031358
AI Coding Agents for Hardware-Optimized Code,1,Spring 2025,Spring 2025,20250202012604,20250501031358
AI Commercial Open Source Software (AICOSS),1,Spring 2025,Spring 2025,20250202012604,20250501031358
AI Personal Staff for Everyone,1,Spring 2025,Spring 2025,20250202012604,20250501031358
B2A: Software Where the Customers Will All Be Agents,1,Spring 2025,Spring 2025,20250202012604,20250501031358
Browser & Computer Automation,1,Spring 2025,Spring 2025,20250202012604,20250501031358
Compliance and Audit,1,Spring 2025,Spring 2025,20250202012604,20250501031358
Datacenters,1,Spring 2025,Spring 2025,20250202012604,20250501031358
