subindustry,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
B2B,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,0,1,0,2,4,2,0,3,4,4,11,9,11,20,43,35,28,45,40,48,46,14,35,30,34,30,46,37,41,6,0
B2B -> Analytics,1,0,0,0,0,0,1,0,1,1,1,1,3,1,3,3,0,1,1,1,1,2,0,1,1,2,1,3,3,6,6,5,12,11,3,9,6,8,3,0,3,3,6,1,3,2,5,0,0
"B2B -> Engineering, Product and Design",0,0,0,0,4,3,1,0,2,6,3,3,2,8,9,2,7,7,3,7,5,10,5,3,5,13,12,17,18,18,16,32,29,27,19,45,32,41,41,16,24,24,25,22,18,17,14,5,0
B2B -> Finance and Accounting,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,2,4,1,2,4,0,1,3,2,3,0,3,3,13,15,7,9,13,6,2,7,2,5,4,2,5,5,2,6,0,0
B2B -> Human Resources,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,0,2,0,5,2,1,3,0,4,5,2,3,3,3,4,14,9,4,1,1,1,3,0,1,0,1,1,0,0,0,1,0
B2B -> Infrastructure,1,1,0,1,0,3,1,1,1,1,2,3,9,4,3,5,2,2,4,4,3,4,1,4,1,2,2,3,10,11,14,13,8,18,15,16,11,13,11,6,8,9,14,7,23,18,25,4,0
B2B -> Legal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,3,1,2,0,0,1,2,2,2,1,3,5,3,5,2,4,4,2,2,6,2,1,1,0
B2B -> Marketing,0,2,0,1,1,1,2,2,2,3,3,3,6,4,4,1,3,4,4,8,2,5,2,3,1,4,2,2,4,3,7,8,12,13,7,5,4,3,4,2,1,1,3,7,1,8,1,0,0
B2B -> Office Management,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,3,0,1,2,0,5,1,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
B2B -> Operations,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,1,0,0,1,0,1,2,1,1,3,9,1,6,8,19,3,9,6,14,6,9,9,4,3,2,3,3,6,8,6,0,1
B2B -> Productivity,1,0,2,1,2,3,1,2,0,0,5,5,4,6,7,3,3,3,2,5,1,6,3,6,3,5,5,7,3,9,11,12,9,11,10,5,10,7,10,3,7,4,7,2,6,8,4,1,0
B2B -> Recruiting and Talent,0,0,0,0,0,2,1,0,0,0,0,0,1,2,2,1,1,0,0,2,6,2,0,2,5,4,1,7,5,4,2,6,2,2,2,0,2,1,0,1,5,0,0,0,1,3,1,0,0
B2B -> Retail,0,0,0,0,0,0,1,0,2,4,1,5,0,1,1,5,4,4,2,6,3,5,5,3,3,3,3,3,4,10,9,9,5,5,1,3,5,1,5,1,0,2,1,1,0,1,1,0,0
B2B -> Sales,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,3,3,0,1,4,2,3,1,1,1,5,1,5,7,5,8,8,11,11,11,8,3,4,5,2,5,4,2,2,2,0,0
B2B -> Security,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,4,1,2,3,5,0,3,4,3,5,4,9,10,2,8,6,5,4,1,2,8,3,3,6,3,7,0,0
B2B -> Supply Chain and Logistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,3,3,2,2,2,1,2,3,9,3,9,4,10,9,12,3,5,7,6,8,1,1,4,6,1,3,3,8,0,0
Consumer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2,4,2,3,0,5,2,3,1,7,18,15,8,12,5,16,11,7,5,5,9,10,3,7,6,1,0
Consumer -> Apparel and Cosmetics,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,3,2,2,2,1,3,4,3,0,2,2,2,1,5,2,1,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Consumer -> Consumer Electronics,0,0,0,0,0,0,0,0,2,0,1,1,1,0,2,0,4,4,1,2,1,5,3,1,1,0,0,0,1,1,1,1,0,2,0,0,0,2,0,1,1,1,0,1,2,2,0,2,0
Consumer -> Content,1,1,2,2,4,2,5,1,2,3,1,1,2,4,7,0,1,0,2,2,3,0,2,2,2,6,0,4,4,3,5,4,3,8,1,4,1,7,3,1,1,0,2,3,0,1,2,0,0
Consumer -> Food and Beverage,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,1,2,1,4,2,3,2,1,3,3,6,6,9,1,4,7,9,10,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Consumer -> Gaming,0,0,2,0,1,4,2,2,0,2,3,2,2,2,1,0,0,0,1,0,1,2,1,0,4,4,2,4,2,4,1,1,2,1,4,1,0,0,2,0,0,1,0,2,3,2,2,0,0
Consumer -> Home and Personal,0,1,1,1,2,0,3,0,2,2,4,4,5,5,6,4,4,4,4,7,8,4,10,6,3,3,1,5,5,4,2,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumer -> Job and Career Services,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Consumer -> Social,2,1,2,4,4,2,3,4,3,1,6,2,4,4,3,0,1,3,2,4,1,3,4,3,9,5,3,4,3,4,6,2,1,3,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0
