subindustry,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
B2B,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,1.515,3.614,0.0,1.923,1.351,0.0,0.909,0.0,1.639,3.922,1.724,0.0,2.055,3.053,2.062,6.25,3.947,5.263,5.952,10.997,8.794,11.966,16.423,18.182,19.355,18.548,14.894,21.084,20.979,20.482,20.548,23.116,18.974,17.447,17.143,0.0
B2B -> Analytics,11.111,0.0,0.0,0.0,0.0,0.0,4.545,0.0,3.846,3.704,2.778,2.222,5.0,1.515,3.614,6.522,0.0,1.351,1.282,0.909,0.962,1.639,0.0,0.862,0.8,1.37,0.763,1.546,1.705,2.632,2.871,1.488,3.069,2.764,1.282,3.285,2.727,3.226,1.21,0.0,1.807,2.098,3.614,0.685,1.508,1.026,2.128,0.0,0.0
"B2B -> Engineering, Product and Design",0.0,0.0,0.0,0.0,21.053,14.286,4.545,0.0,7.692,22.222,8.333,6.667,3.333,12.121,10.843,4.348,13.462,9.459,3.846,6.364,4.808,8.197,4.902,2.586,4.0,8.904,9.16,8.763,10.227,7.895,7.656,9.524,7.417,6.784,8.12,16.423,14.545,16.532,16.532,17.021,14.458,16.783,15.06,15.068,9.045,8.718,5.957,14.286,0.0
B2B -> Finance and Accounting,0.0,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,0.0,0.0,0.0,0.0,2.174,0.0,5.405,2.564,3.636,0.962,1.639,3.922,0.0,0.8,2.055,1.527,1.546,0.0,1.316,1.435,3.869,3.836,1.759,3.846,4.745,2.727,0.806,2.823,2.128,3.012,2.797,1.205,3.425,2.513,1.026,2.553,0.0,0.0
B2B -> Human Resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,0.0,3.03,2.41,4.348,1.923,0.0,2.564,0.0,4.808,1.639,0.98,2.586,0.0,2.74,3.817,1.031,1.705,1.316,1.435,1.19,3.581,2.261,1.709,0.365,0.455,0.403,1.21,0.0,0.602,0.0,0.602,0.685,0.0,0.0,0.0,2.857,0.0
B2B -> Infrastructure,11.111,14.286,0.0,7.692,0.0,14.286,4.545,6.25,3.846,3.704,5.556,6.667,15.0,6.061,3.614,10.87,3.846,2.703,5.128,3.636,2.885,3.279,0.98,3.448,0.8,1.37,1.527,1.546,5.682,4.825,6.699,3.869,2.046,4.523,6.41,5.839,5.0,5.242,4.435,6.383,4.819,6.294,8.434,4.795,11.558,9.231,10.638,11.429,0.0
B2B -> Legal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,3.846,0.0,0.0,0.0,2.885,0.0,0.0,0.0,0.0,2.055,0.763,1.031,0.0,0.0,0.478,0.595,0.512,0.503,0.427,1.095,2.273,1.21,2.016,2.128,2.41,2.797,1.205,1.37,3.015,1.026,0.426,2.857,0.0
B2B -> Marketing,0.0,28.571,0.0,7.692,5.263,4.762,9.091,12.5,7.692,11.111,8.333,6.667,10.0,6.061,4.819,2.174,5.769,5.405,5.128,7.273,1.923,4.098,1.961,2.586,0.8,2.74,1.527,1.031,2.273,1.316,3.349,2.381,3.069,3.266,2.991,1.825,1.818,1.21,1.613,2.128,0.602,0.699,1.807,4.795,0.503,4.103,0.426,0.0,0.0
B2B -> Office Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444,0.0,0.0,0.0,0.0,0.0,6.757,3.846,0.0,0.962,1.639,0.0,4.31,0.8,0.0,0.0,1.031,0.0,0.439,0.0,0.0,0.256,0.0,0.0,0.365,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2B -> Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.704,0.0,0.0,0.0,1.515,4.819,2.174,0.0,1.351,0.0,0.0,0.962,0.0,0.98,1.724,0.8,0.685,2.29,4.639,0.568,2.632,3.828,5.655,0.767,2.261,2.564,5.109,2.727,3.629,3.629,4.255,1.807,1.399,1.807,2.055,3.015,4.103,2.553,0.0,100.0
