subindustry,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
B2B,1,0,0,0,0,0,1,4,1,1,1,6,2,7,15,20,63,63,85,108,129,130,0
B2B -> Analytics,1,0,0,1,1,2,4,4,3,2,2,2,2,3,6,12,17,14,15,11,13,10,0
"B2B -> Engineering, Product and Design",0,0,4,4,2,9,5,17,9,10,12,15,8,25,35,34,61,46,77,98,95,54,0
B2B -> Finance and Accounting,0,1,0,0,0,1,0,0,1,6,5,6,1,5,3,6,28,16,19,11,16,13,0
B2B -> Human Resources,0,0,0,0,1,0,0,4,3,2,5,3,3,9,5,6,18,13,2,4,3,1,0
B2B -> Infrastructure,1,1,1,4,2,3,12,7,7,6,7,5,5,4,13,25,21,33,27,30,38,70,0
B2B -> Legal,0,0,0,0,0,0,1,0,2,0,3,0,0,4,2,1,4,3,8,10,12,10,0
B2B -> Marketing,0,2,2,3,4,6,9,8,4,8,10,7,4,6,6,10,20,20,9,9,12,10,0
B2B -> Office Management,0,0,0,0,0,0,2,0,0,8,1,2,6,0,2,1,1,0,1,1,0,0,0
B2B -> Operations,0,0,0,0,0,1,0,5,1,1,1,1,3,4,10,14,22,15,20,22,11,20,1
B2B -> Productivity,1,2,3,4,2,5,9,13,6,5,6,9,9,10,10,20,21,21,15,20,20,19,0
B2B -> Recruiting and Talent,0,0,0,3,0,0,1,4,2,0,8,2,7,5,12,6,8,4,2,2,5,5,0
B2B -> Retail,0,0,0,1,2,5,5,2,9,6,9,10,6,6,7,19,14,6,8,7,4,2,0
B2B -> Sales,0,0,0,0,0,1,3,3,0,6,1,6,4,2,6,12,13,19,22,15,16,6,0
B2B -> Security,1,0,0,0,0,0,1,0,0,0,8,5,5,5,7,8,13,12,14,10,16,16,0
B2B -> Supply Chain and Logistics,0,0,0,0,0,0,0,2,3,3,6,4,3,5,12,13,19,15,12,15,12,14,0
Consumer,0,0,0,0,0,1,0,2,0,2,0,2,6,3,7,4,25,23,17,34,29,17,0
Consumer -> Apparel and Cosmetics,0,1,0,0,0,0,2,3,5,4,4,7,2,4,6,3,4,3,1,0,1,0,0
Consumer -> Consumer Electronics,0,0,0,0,2,1,2,2,4,5,3,8,2,0,1,2,1,2,0,3,3,6,0
Consumer -> Content,1,3,6,7,3,4,3,11,1,2,5,2,4,6,8,8,7,9,5,11,6,3,0
Consumer -> Food and Beverage,0,0,0,0,1,0,3,3,3,5,5,3,6,12,10,11,19,10,2,0,0,1,0
Consumer -> Gaming,0,2,1,6,2,5,4,3,0,1,1,3,4,6,6,5,3,5,1,2,3,7,0
Consumer -> Home and Personal,0,2,3,3,2,6,9,11,8,8,15,14,9,4,10,6,10,1,2,0,0,0,0
Consumer -> Job and Career Services,0,0,0,0,1,0,1,0,0,1,1,0,3,0,2,3,3,1,0,1,0,2,0
Consumer -> Social,2,3,8,5,7,7,6,7,1,5,5,7,12,8,7,10,3,3,0,3,2,0,0
Consumer -> Transportation Services,0,0,0,0,1,0,2,3,1,3,2,3,3,2,2,2,1,1,0,1,0,0,0
"Consumer -> Travel, Leisure and Tourism",0,0,1,1,2,1,0,2,2,4,4,2,1,3,4,1,1,1,2,3,0,1,0
Consumer -> Virtual and Augmented Reality,0,0,0,0,0,0,0,1,2,0,1,3,3,5,1,1,1,1,0,0,1,0,0
Education,0,0,0,0,1,1,5,7,2,2,3,6,8,8,12,9,28,9,6,5,10,1,0
Fintech,0,0,0,0,1,0,0,0,1,0,3,0,2,3,6,6,26,61,23,13,9,17,0
Fintech -> Asset Management,0,0,0,0,0,0,1,1,1,4,2,2,3,3,2,1,10,9,3,5,0,8,0
Fintech -> Banking and Exchange,0,0,0,0,0,0,0,1,3,4,4,3,3,5,6,13,13,6,2,2,4,4,0
Fintech -> Consumer Finance,1,0,1,0,0,2,5,2,1,1,3,2,3,4,10,10,15,9,6,2,7,6,0
Fintech -> Credit and Lending,0,0,0,0,0,0,0,1,0,2,1,5,4,2,9,9,18,12,4,2,2,3,0
Fintech -> Insurance,0,0,0,0,0,0,0,0,0,0,0,2,6,2,5,3,7,11,2,6,10,15,0
Fintech -> Payments,0,0,0,1,1,0,1,3,0,3,5,3,5,6,9,15,25,25,8,6,4,5,0
Government,0,0,0,0,0,0,0,0,0,1,3,2,5,3,4,3,2,1,1,6,9,4,0
Healthcare,0,0,0,0,0,0,0,0,1,3,0,2,1,1,1,6,14,11,9,21,15,22,0
Healthcare -> Consumer Health and Wellness,0,0,0,0,0,0,0,1,3,2,9,6,7,8,9,17,24,11,6,5,5,5,0
Healthcare -> Diagnostics,0,0,0,0,0,0,0,0,0,1,5,6,8,5,5,7,10,4,3,2,0,1,0
Healthcare -> Drug Discovery and Delivery,0,0,0,0,0,0,0,0,0,0,4,1,2,5,2,11,9,3,9,2,3,8,0
Healthcare -> Healthcare IT,0,0,0,0,0,0,4,3,2,4,5,6,9,12,7,6,16,13,15,18,15,6,0
Healthcare -> Healthcare Services,0,0,0,0,0,0,1,2,4,1,3,4,5,11,6,4,6,9,5,2,3,8,0
Healthcare -> Industrial Bio,0,0,0,0,0,0,0,0,0,1,2,2,1,7,4,6,3,2,1,2,1,1,0
Healthcare -> Medical Devices,0,0,0,0,0,0,0,0,0,0,3,3,2,4,5,5,11,7,2,1,0,1,0
Healthcare -> Therapeutics,0,0,0,0,0,0,0,0,0,0,0,0,2,12,10,6,12,8,1,8,3,2,0
Industrials,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,4,5,7,21,0
