subindustry,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
B2B,11.111,0.0,0.0,0.0,0.0,0.0,0.952,2.685,1.02,0.658,0.467,2.679,0.83,2.527,4.054,4.577,8.666,9.968,17.206,18.305,20.773,19.578,0.0
B2B -> Analytics,11.111,0.0,0.0,2.326,2.381,3.175,3.81,2.685,3.061,1.316,0.935,0.893,0.83,1.083,1.622,2.746,2.338,2.215,3.036,1.864,2.093,1.506,0.0
"B2B -> Engineering, Product and Design",0.0,0.0,12.5,9.302,4.762,14.286,4.762,11.409,9.184,6.579,5.607,6.696,3.32,9.025,9.459,7.78,8.391,7.278,15.587,16.61,15.298,8.133,0.0
B2B -> Finance and Accounting,0.0,5.882,0.0,0.0,0.0,1.587,0.0,0.0,1.02,3.947,2.336,2.679,0.415,1.805,0.811,1.373,3.851,2.532,3.846,1.864,2.576,1.958,0.0
B2B -> Human Resources,0.0,0.0,0.0,0.0,2.381,0.0,0.0,2.685,3.061,1.316,2.336,1.339,1.245,3.249,1.351,1.373,2.476,2.057,0.405,0.678,0.483,0.151,0.0
B2B -> Infrastructure,11.111,5.882,3.125,9.302,4.762,4.762,11.429,4.698,7.143,3.947,3.271,2.232,2.075,1.444,3.514,5.721,2.889,5.222,5.466,5.085,6.119,10.542,0.0
B2B -> Legal,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.0,2.041,0.0,1.402,0.0,0.0,1.444,0.541,0.229,0.55,0.475,1.619,1.695,1.932,1.506,0.0
B2B -> Marketing,0.0,11.765,6.25,6.977,9.524,9.524,8.571,5.369,4.082,5.263,4.673,3.125,1.66,2.166,1.622,2.288,2.751,3.165,1.822,1.525,1.932,1.506,0.0
B2B -> Office Management,0.0,0.0,0.0,0.0,0.0,0.0,1.905,0.0,0.0,5.263,0.467,0.893,2.49,0.0,0.541,0.229,0.138,0.0,0.202,0.169,0.0,0.0,0.0
B2B -> Operations,0.0,0.0,0.0,0.0,0.0,1.587,0.0,3.356,1.02,0.658,0.467,0.446,1.245,1.444,2.703,3.204,3.026,2.373,4.049,3.729,1.771,3.012,100.0
B2B -> Productivity,11.111,11.765,9.375,9.302,4.762,7.937,8.571,8.725,6.122,3.289,2.804,4.018,3.734,3.61,2.703,4.577,2.889,3.323,3.036,3.39,3.221,2.861,0.0
B2B -> Recruiting and Talent,0.0,0.0,0.0,6.977,0.0,0.0,0.952,2.685,2.041,0.0,3.738,0.893,2.905,1.805,3.243,1.373,1.1,0.633,0.405,0.339,0.805,0.753,0.0
B2B -> Retail,0.0,0.0,0.0,2.326,4.762,7.937,4.762,1.342,9.184,3.947,4.206,4.464,2.49,2.166,1.892,4.348,1.926,0.949,1.619,1.186,0.644,0.301,0.0
B2B -> Sales,0.0,0.0,0.0,0.0,0.0,1.587,2.857,2.013,0.0,3.947,0.467,2.679,1.66,0.722,1.622,2.746,1.788,3.006,4.453,2.542,2.576,0.904,0.0
B2B -> Security,11.111,0.0,0.0,0.0,0.0,0.0,0.952,0.0,0.0,0.0,3.738,2.232,2.075,1.805,1.892,1.831,1.788,1.899,2.834,1.695,2.576,2.41,0.0
B2B -> Supply Chain and Logistics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342,3.061,1.974,2.804,1.786,1.245,1.805,3.243,2.975,2.613,2.373,2.429,2.542,1.932,2.108,0.0
Consumer,0.0,0.0,0.0,0.0,0.0,1.587,0.0,1.342,0.0,1.316,0.0,0.893,2.49,1.083,1.892,0.915,3.439,3.639,3.441,5.763,4.67,2.56,0.0
Consumer -> Apparel and Cosmetics,0.0,5.882,0.0,0.0,0.0,0.0,1.905,2.013,5.102,2.632,1.869,3.125,0.83,1.444,1.622,0.686,0.55,0.475,0.202,0.0,0.161,0.0,0.0
Consumer -> Consumer Electronics,0.0,0.0,0.0,0.0,4.762,1.587,1.905,1.342,4.082,3.289,1.402,3.571,0.83,0.0,0.27,0.458,0.138,0.316,0.0,0.508,0.483,0.904,0.0
Consumer -> Content,11.111,17.647,18.75,16.279,7.143,6.349,2.857,7.383,1.02,1.316,2.336,0.893,1.66,2.166,2.162,1.831,0.963,1.424,1.012,1.864,0.966,0.452,0.0
Consumer -> Food and Beverage,0.0,0.0,0.0,0.0,2.381,0.0,2.857,2.013,3.061,3.289,2.336,1.339,2.49,4.332,2.703,2.517,2.613,1.582,0.405,0.0,0.0,0.151,0.0
Consumer -> Gaming,0.0,11.765,3.125,13.953,4.762,7.937,3.81,2.013,0.0,0.658,0.467,1.339,1.66,2.166,1.622,1.144,0.413,0.791,0.202,0.339,0.483,1.054,0.0
