batch,rank,subindustry,share_pct,count
Summer 2005,1,Consumer -> Social,22.222,2
Summer 2005,2,B2B -> Analytics,11.111,1
Summer 2005,3,B2B,11.111,1
Summer 2005,4,B2B -> Productivity,11.111,1
Summer 2005,5,Consumer -> Content,11.111,1
Summer 2005,6,B2B -> Security,11.111,1
Summer 2005,7,B2B -> Infrastructure,11.111,1
Summer 2005,8,Fintech -> Consumer Finance,11.111,1
Summer 2005,9,B2B -> Legal,0.0,0
Summer 2005,10,B2B -> Human Resources,0.0,0
Summer 2005,11,"B2B -> Engineering, Product and Design",0.0,0
Summer 2005,12,B2B -> Operations,0.0,0
Summer 2005,13,B2B -> Office Management,0.0,0
Summer 2005,14,B2B -> Marketing,0.0,0
Summer 2005,15,B2B -> Recruiting and Talent,0.0,0
Summer 2005,16,B2B -> Supply Chain and Logistics,0.0,0
Summer 2005,17,Consumer,0.0,0
Summer 2005,18,B2B -> Retail,0.0,0
Summer 2005,19,B2B -> Sales,0.0,0
Summer 2005,20,Consumer -> Consumer Electronics,0.0,0
Winter 2006,1,B2B -> Marketing,28.571,2
Winter 2006,2,B2B -> Finance and Accounting,14.286,1
Winter 2006,3,B2B -> Infrastructure,14.286,1
Winter 2006,4,Consumer -> Social,14.286,1
Winter 2006,5,Consumer -> Content,14.286,1
Winter 2006,6,Consumer -> Home and Personal,14.286,1
Winter 2006,7,"B2B -> Engineering, Product and Design",0.0,0
Winter 2006,8,B2B -> Legal,0.0,0
Winter 2006,9,B2B -> Analytics,0.0,0
Winter 2006,10,B2B,0.0,0
Winter 2006,11,B2B -> Human Resources,0.0,0
Winter 2006,12,B2B -> Productivity,0.0,0
Winter 2006,13,B2B -> Operations,0.0,0
Winter 2006,14,B2B -> Office Management,0.0,0
Winter 2006,15,B2B -> Recruiting and Talent,0.0,0
Winter 2006,16,B2B -> Supply Chain and Logistics,0.0,0
Winter 2006,17,B2B -> Retail,0.0,0
Winter 2006,18,B2B -> Sales,0.0,0
Winter 2006,19,B2B -> Security,0.0,0
Winter 2006,20,Consumer -> Consumer Electronics,0.0,0
Summer 2006,1,B2B -> Productivity,20.0,2
Summer 2006,2,Consumer -> Social,20.0,2
Summer 2006,3,Consumer -> Gaming,20.0,2
Summer 2006,4,Consumer -> Content,20.0,2
Summer 2006,5,Consumer -> Apparel and Cosmetics,10.0,1
Summer 2006,6,Consumer -> Home and Personal,10.0,1
Summer 2006,7,B2B -> Infrastructure,0.0,0
Summer 2006,8,"B2B -> Engineering, Product and Design",0.0,0
Summer 2006,9,B2B -> Finance and Accounting,0.0,0
Summer 2006,10,B2B -> Analytics,0.0,0
Summer 2006,11,B2B,0.0,0
Summer 2006,12,B2B -> Operations,0.0,0
Summer 2006,13,B2B -> Office Management,0.0,0
Summer 2006,14,B2B -> Marketing,0.0,0
Summer 2006,15,B2B -> Legal,0.0,0
Summer 2006,16,B2B -> Human Resources,0.0,0
Summer 2006,17,B2B -> Recruiting and Talent,0.0,0
Summer 2006,18,B2B -> Sales,0.0,0
Summer 2006,19,B2B -> Retail,0.0,0
Summer 2006,20,Consumer -> Consumer Electronics,0.0,0
Winter 2007,1,Consumer -> Social,30.769,4
Winter 2007,2,Consumer -> Content,15.385,2
Winter 2007,3,Industrials -> Manufacturing and Robotics,15.385,2
Winter 2007,4,B2B -> Marketing,7.692,1
Winter 2007,5,Consumer -> Home and Personal,7.692,1
Winter 2007,6,B2B -> Infrastructure,7.692,1
Winter 2007,7,B2B -> Productivity,7.692,1
Winter 2007,8,Fintech -> Consumer Finance,7.692,1
Winter 2007,9,B2B -> Analytics,0.0,0
Winter 2007,10,B2B -> Legal,0.0,0
Winter 2007,11,"B2B -> Engineering, Product and Design",0.0,0
Winter 2007,12,B2B -> Operations,0.0,0
Winter 2007,13,B2B -> Office Management,0.0,0
Winter 2007,14,B2B -> Human Resources,0.0,0
Winter 2007,15,B2B -> Recruiting and Talent,0.0,0
Winter 2007,16,B2B -> Supply Chain and Logistics,0.0,0
Winter 2007,17,B2B -> Retail,0.0,0
Winter 2007,18,B2B -> Sales,0.0,0
Winter 2007,19,B2B -> Security,0.0,0
Winter 2007,20,Consumer -> Consumer Electronics,0.0,0
Summer 2007,1,"B2B -> Engineering, Product and Design",21.053,4
Summer 2007,2,Consumer -> Content,21.053,4
Summer 2007,3,Consumer -> Social,21.053,4
Summer 2007,4,B2B -> Productivity,10.526,2
Summer 2007,5,Consumer -> Home and Personal,10.526,2
Summer 2007,6,Consumer -> Gaming,5.263,1
Summer 2007,7,"Consumer -> Travel, Leisure and Tourism",5.263,1
Summer 2007,8,B2B -> Marketing,5.263,1
Summer 2007,9,B2B -> Analytics,0.0,0
Summer 2007,10,B2B -> Finance and Accounting,0.0,0
Summer 2007,11,B2B,0.0,0
Summer 2007,12,B2B -> Operations,0.0,0
Summer 2007,13,B2B -> Office Management,0.0,0
Summer 2007,14,B2B -> Infrastructure,0.0,0
Summer 2007,15,B2B -> Legal,0.0,0
Summer 2007,16,B2B -> Human Resources,0.0,0
Summer 2007,17,B2B -> Recruiting and Talent,0.0,0
Summer 2007,18,B2B -> Sales,0.0,0
Summer 2007,19,B2B -> Retail,0.0,0
Summer 2007,20,Consumer -> Consumer Electronics,0.0,0
Winter 2008,1,Consumer -> Gaming,19.048,4
Winter 2008,2,B2B -> Productivity,14.286,3
Winter 2008,3,"B2B -> Engineering, Product and Design",14.286,3
Winter 2008,4,B2B -> Infrastructure,14.286,3
Winter 2008,5,Consumer -> Social,9.524,2
Winter 2008,6,B2B -> Recruiting and Talent,9.524,2
Winter 2008,7,Consumer -> Content,9.524,2
Winter 2008,8,B2B -> Marketing,4.762,1
Winter 2008,9,Fintech -> Payments,4.762,1
Winter 2008,10,B2B -> Analytics,0.0,0
Winter 2008,11,B2B,0.0,0
Winter 2008,12,B2B -> Operations,0.0,0
Winter 2008,13,B2B -> Office Management,0.0,0
Winter 2008,14,B2B -> Human Resources,0.0,0
Winter 2008,15,B2B -> Legal,0.0,0
Winter 2008,16,B2B -> Supply Chain and Logistics,0.0,0
Winter 2008,17,B2B -> Retail,0.0,0
Winter 2008,18,B2B -> Sales,0.0,0
Winter 2008,19,B2B -> Security,0.0,0
Winter 2008,20,Consumer -> Consumer Electronics,0.0,0
Summer 2008,1,Consumer -> Content,22.727,5
Summer 2008,2,Consumer -> Home and Personal,13.636,3
Summer 2008,3,Consumer -> Social,13.636,3
Summer 2008,4,Consumer -> Gaming,9.091,2
Summer 2008,5,B2B -> Marketing,9.091,2
Summer 2008,6,B2B -> Retail,4.545,1
Summer 2008,7,B2B -> Recruiting and Talent,4.545,1
Summer 2008,8,B2B -> Productivity,4.545,1
Summer 2008,9,B2B -> Infrastructure,4.545,1
Summer 2008,10,"B2B -> Engineering, Product and Design",4.545,1
Summer 2008,11,B2B -> Analytics,4.545,1
Summer 2008,12,"Consumer -> Travel, Leisure and Tourism",4.545,1
Summer 2008,13,B2B -> Office Management,0.0,0
Summer 2008,14,B2B -> Operations,0.0,0
Summer 2008,15,B2B -> Legal,0.0,0
Summer 2008,16,B2B -> Finance and Accounting,0.0,0
Summer 2008,17,B2B,0.0,0
Summer 2008,18,B2B -> Human Resources,0.0,0
Summer 2008,19,B2B -> Sales,0.0,0
Summer 2008,20,Consumer -> Consumer Electronics,0.0,0
Winter 2009,1,Consumer -> Social,25.0,4
Winter 2009,2,B2B -> Marketing,12.5,2
Winter 2009,3,B2B -> Productivity,12.5,2
Winter 2009,4,Consumer -> Gaming,12.5,2
Winter 2009,5,Real Estate and Construction -> Housing and Real Estate,12.5,2
Winter 2009,6,Consumer -> Food and Beverage,6.25,1
Winter 2009,7,Consumer -> Content,6.25,1
Winter 2009,8,B2B -> Infrastructure,6.25,1
Winter 2009,9,"Consumer -> Travel, Leisure and Tourism",6.25,1
Winter 2009,10,B2B,0.0,0
Winter 2009,11,"B2B -> Engineering, Product and Design",0.0,0
Winter 2009,12,B2B -> Operations,0.0,0
Winter 2009,13,B2B -> Office Management,0.0,0
Winter 2009,14,B2B -> Human Resources,0.0,0
Winter 2009,15,B2B -> Legal,0.0,0
Winter 2009,16,B2B -> Finance and Accounting,0.0,0
Winter 2009,17,B2B -> Recruiting and Talent,0.0,0
Winter 2009,18,B2B -> Sales,0.0,0
Winter 2009,19,B2B -> Retail,0.0,0
Winter 2009,20,Consumer -> Consumer Electronics,0.0,0
Summer 2009,1,Consumer -> Social,11.538,3
Summer 2009,2,B2B -> Marketing,7.692,2
Summer 2009,3,"B2B -> Engineering, Product and Design",7.692,2
Summer 2009,4,Consumer -> Consumer Electronics,7.692,2
Summer 2009,5,Consumer -> Content,7.692,2
Summer 2009,6,B2B -> Retail,7.692,2
Summer 2009,7,Consumer -> Home and Personal,7.692,2
Summer 2009,8,B2B -> Infrastructure,3.846,1
Summer 2009,9,B2B -> Human Resources,3.846,1
Summer 2009,10,Consumer -> Job and Career Services,3.846,1
Summer 2009,11,B2B -> Analytics,3.846,1
Summer 2009,12,"Consumer -> Travel, Leisure and Tourism",3.846,1
Summer 2009,13,Consumer -> Transportation Services,3.846,1
Summer 2009,14,Fintech,3.846,1
Summer 2009,15,Real Estate and Construction -> Housing and Real Estate,3.846,1
Summer 2009,16,Real Estate and Construction,3.846,1
Summer 2009,17,Fintech -> Payments,3.846,1
Summer 2009,18,Education,3.846,1
Summer 2009,19,B2B -> Productivity,0.0,0
Summer 2009,20,Consumer -> Apparel and Cosmetics,0.0,0
Winter 2010,1,"B2B -> Engineering, Product and Design",22.222,6
Winter 2010,2,B2B -> Retail,14.815,4
Winter 2010,3,B2B -> Marketing,11.111,3
Winter 2010,4,Consumer -> Content,11.111,3
Winter 2010,5,Consumer -> Gaming,7.407,2
Winter 2010,6,Consumer -> Home and Personal,7.407,2
Winter 2010,7,Consumer -> Social,3.704,1
Winter 2010,8,B2B -> Operations,3.704,1
Winter 2010,9,B2B -> Infrastructure,3.704,1
Winter 2010,10,B2B -> Sales,3.704,1
Winter 2010,11,B2B -> Analytics,3.704,1
Winter 2010,12,Consumer,3.704,1
Winter 2010,13,Real Estate and Construction -> Housing and Real Estate,3.704,1
Winter 2010,14,B2B -> Productivity,0.0,0
Winter 2010,15,B2B -> Office Management,0.0,0
Winter 2010,16,B2B -> Finance and Accounting,0.0,0
Winter 2010,17,B2B,0.0,0
Winter 2010,18,B2B -> Human Resources,0.0,0
Winter 2010,19,B2B -> Legal,0.0,0
Winter 2010,20,Consumer -> Consumer Electronics,0.0,0
Summer 2010,1,Consumer -> Social,16.667,6
Summer 2010,2,B2B -> Productivity,13.889,5
Summer 2010,3,Consumer -> Home and Personal,11.111,4
Summer 2010,4,B2B -> Marketing,8.333,3
Summer 2010,5,Consumer -> Gaming,8.333,3
Summer 2010,6,"B2B -> Engineering, Product and Design",8.333,3
Summer 2010,7,B2B -> Infrastructure,5.556,2
Summer 2010,8,Fintech -> Consumer Finance,5.556,2
Summer 2010,9,B2B -> Retail,2.778,1
Summer 2010,10,B2B -> Finance and Accounting,2.778,1
Summer 2010,11,B2B -> Analytics,2.778,1
Summer 2010,12,"Consumer -> Travel, Leisure and Tourism",2.778,1
Summer 2010,13,Consumer -> Consumer Electronics,2.778,1
Summer 2010,14,Education,2.778,1
Summer 2010,15,Consumer -> Content,2.778,1
Summer 2010,16,Real Estate and Construction -> Housing and Real Estate,2.778,1
Summer 2010,17,B2B,0.0,0
Summer 2010,18,B2B -> Operations,0.0,0
Summer 2010,19,B2B -> Legal,0.0,0
Summer 2010,20,Consumer -> Apparel and Cosmetics,0.0,0
Winter 2011,1,B2B -> Productivity,11.111,5
Winter 2011,2,B2B -> Retail,11.111,5
Winter 2011,3,Consumer -> Home and Personal,8.889,4
Winter 2011,4,B2B -> Marketing,6.667,3
Winter 2011,5,"B2B -> Engineering, Product and Design",6.667,3
Winter 2011,6,B2B -> Infrastructure,6.667,3
Winter 2011,7,B2B -> Office Management,4.444,2
Winter 2011,8,Consumer -> Apparel and Cosmetics,4.444,2
Winter 2011,9,Consumer -> Gaming,4.444,2
Winter 2011,10,Consumer -> Social,4.444,2
Winter 2011,11,Education,4.444,2
Winter 2011,12,Healthcare -> Healthcare IT,4.444,2
Winter 2011,13,Consumer -> Job and Career Services,2.222,1
Winter 2011,14,Consumer -> Content,2.222,1
Winter 2011,15,B2B -> Sales,2.222,1
Winter 2011,16,Consumer -> Food and Beverage,2.222,1
Winter 2011,17,Fintech -> Consumer Finance,2.222,1
Winter 2011,18,Consumer -> Consumer Electronics,2.222,1
Winter 2011,19,B2B -> Analytics,2.222,1
Winter 2011,20,Fintech -> Asset Management,2.222,1
Summer 2011,1,B2B -> Infrastructure,15.0,9
Summer 2011,2,B2B -> Marketing,10.0,6
Summer 2011,3,Consumer -> Home and Personal,8.333,5
Summer 2011,4,Consumer -> Social,6.667,4
Summer 2011,5,B2B -> Productivity,6.667,4
Summer 2011,6,Fintech -> Consumer Finance,6.667,4
Summer 2011,7,B2B -> Analytics,5.0,3
Summer 2011,8,Education,5.0,3
Summer 2011,9,B2B -> Sales,3.333,2
Summer 2011,10,Consumer -> Food and Beverage,3.333,2
Summer 2011,11,"B2B -> Engineering, Product and Design",3.333,2
Summer 2011,12,Consumer -> Transportation Services,3.333,2
Summer 2011,13,Healthcare -> Healthcare IT,3.333,2
Summer 2011,14,Consumer -> Gaming,3.333,2
Summer 2011,15,Consumer -> Content,3.333,2
Summer 2011,16,Real Estate and Construction -> Housing and Real Estate,3.333,2
Summer 2011,17,B2B -> Security,1.667,1
Summer 2011,18,Consumer -> Consumer Electronics,1.667,1
Summer 2011,19,B2B -> Recruiting and Talent,1.667,1
Summer 2011,20,B2B -> Legal,1.667,1
Winter 2012,1,"B2B -> Engineering, Product and Design",12.121,8
Winter 2012,2,B2B -> Productivity,9.091,6
Winter 2012,3,Consumer -> Home and Personal,7.576,5
Winter 2012,4,B2B -> Marketing,6.061,4
Winter 2012,5,Consumer -> Social,6.061,4
Winter 2012,6,Consumer -> Content,6.061,4
Winter 2012,7,B2B -> Infrastructure,6.061,4
Winter 2012,8,Fintech -> Payments,4.545,3
Winter 2012,9,B2B -> Recruiting and Talent,3.03,2
Winter 2012,10,Consumer -> Apparel and Cosmetics,3.03,2
Winter 2012,11,B2B -> Human Resources,3.03,2
Winter 2012,12,Consumer -> Transportation Services,3.03,2
Winter 2012,13,Real Estate and Construction -> Housing and Real Estate,3.03,2
Winter 2012,14,Education,3.03,2
Winter 2012,15,Consumer -> Gaming,3.03,2
Winter 2012,16,B2B,1.515,1
Winter 2012,17,B2B -> Analytics,1.515,1
Winter 2012,18,Consumer -> Food and Beverage,1.515,1
Winter 2012,19,B2B -> Operations,1.515,1
Winter 2012,20,Consumer -> Virtual and Augmented Reality,1.515,1
Summer 2012,1,"B2B -> Engineering, Product and Design",10.843,9
Summer 2012,2,B2B -> Productivity,8.434,7
Summer 2012,3,Consumer -> Content,8.434,7
