subindustry,total_companies,batches_excluded_from_stats,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
B2B,637,,Summer 2005,Fall 2026,33,Winter 2026,46,23.116,2005,1,11.111,11.111,Summer 2026,41,17.447,40,40.0,6.336,19.846,9.078,False,False,1.591,18.21,5.607,0.883,Emerging,1,2,1
B2B -> Infrastructure,322,,Summer 2005,Fall 2026,46,Summer 2011,9,15.0,2005,1,11.111,11.111,Summer 2026,25,10.638,24,24.0,-0.473,10.476,5.075,False,False,10.53,9.934,4.807,0.602,Spiky,2,2,0
Industrials -> Manufacturing and Robotics,146,,Winter 2007,Fall 2026,30,Summer 2026,24,10.213,2005,0,0.0,0.0,Summer 2026,24,10.213,24,24.0,10.213,6.632,2.321,True,False,0.757,8.44,1.521,1.004,Emerging,3,9,6
Industrials,44,,Winter 2012,Summer 2026,15,Summer 2026,14,5.957,2005,0,0.0,0.0,Summer 2026,14,5.957,14,14.0,5.957,3.162,0.624,True,False,0.757,3.235,0.0,1.886,Emerging,4,9,5
"B2B -> Engineering, Product and Design",620,,Summer 2007,Fall 2026,43,Fall 2024,16,17.021,2005,0,0.0,0.0,Summer 2026,14,5.957,14,14.0,5.957,7.907,9.839,True,True,7.727,7.338,8.974,0.436,Low-volume / mixed,4,9,5
Healthcare,107,,Winter 2013,Summer 2026,25,Fall 2024,6,6.383,2005,0,0.0,0.0,Summer 2026,12,5.106,12,12.0,5.106,3.394,1.599,True,False,0.0,3.835,1.484,0.971,Emerging,6,9,3
Industrials -> Defense,25,,Summer 2016,Summer 2026,9,Summer 2026,9,3.83,2005,0,0.0,0.0,Summer 2026,9,3.83,9,9.0,3.83,2.637,0.376,True,False,0.0,3.454,0.0,2.295,Emerging,7,9,2
B2B -> Supply Chain and Logistics,138,,Summer 2012,Summer 2026,33,Winter 2019,9,4.639,2005,0,0.0,0.0,Summer 2026,8,3.404,8,8.0,3.404,2.15,2.155,True,False,0.0,2.471,2.126,0.516,Emerging,8,9,1
B2B -> Security,121,,Summer 2005,Summer 2026,29,Spring 2025,8,5.594,2005,1,11.111,11.111,Summer 2026,7,2.979,6,6.0,-8.132,2.511,1.88,False,False,0.834,2.259,1.765,0.697,Spiky,9,2,-7
B2B -> Operations,152,,Winter 2010,Winter 2027,32,Winter 2021,19,5.655,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,3.224,2.18,True,True,0.757,3.328,1.931,0.737,Emerging,10,9,-1
