subindustry,batch,count,share_pct,batch_code,year,batch_order,total_companies,is_partial_batch
B2B,Summer 2005,1,11.111,S05,2005,20052,9,True
B2B,Winter 2006,0,0.0,W06,2006,20060,7,True
B2B,Summer 2006,0,0.0,S06,2006,20062,10,True
B2B,Winter 2007,0,0.0,W07,2007,20070,13,True
B2B,Summer 2007,0,0.0,S07,2007,20072,19,True
B2B,Winter 2008,0,0.0,W08,2008,20080,21,True
B2B,Summer 2008,0,0.0,S08,2008,20082,22,True
B2B,Winter 2009,0,0.0,W09,2009,20090,16,True
B2B,Summer 2009,0,0.0,S09,2009,20092,26,True
B2B,Winter 2010,0,0.0,W10,2010,20100,27,True
B2B,Summer 2010,0,0.0,S10,2010,20102,36,True
B2B,Winter 2011,0,0.0,W11,2011,20110,45,True
B2B,Summer 2011,1,1.667,S11,2011,20112,60,False
B2B,Winter 2012,1,1.515,W12,2012,20120,66,False
B2B,Summer 2012,3,3.614,S12,2012,20122,83,False
B2B,Winter 2013,0,0.0,W13,2013,20130,46,True
B2B,Summer 2013,1,1.923,S13,2013,20132,52,False
B2B,Winter 2014,1,1.351,W14,2014,20140,74,False
B2B,Summer 2014,0,0.0,S14,2014,20142,78,False
B2B,Winter 2015,1,0.909,W15,2015,20150,110,False
B2B,Summer 2015,0,0.0,S15,2015,20152,104,False
B2B,Winter 2016,2,1.639,W16,2016,20160,122,False
B2B,Summer 2016,4,3.922,S16,2016,20162,102,False
B2B,Winter 2017,2,1.724,W17,2017,20170,116,False
B2B,Summer 2017,0,0.0,S17,2017,20172,125,False
B2B,Winter 2018,3,2.055,W18,2018,20180,146,False
B2B,Summer 2018,4,3.053,S18,2018,20182,131,False
B2B,Winter 2019,4,2.062,W19,2019,20190,194,False
B2B,Summer 2019,11,6.25,S19,2019,20192,176,False
B2B,Winter 2020,9,3.947,W20,2020,20200,228,False
B2B,Summer 2020,11,5.263,S20,2020,20202,209,False
B2B,Winter 2021,20,5.952,W21,2021,20210,336,False
B2B,Summer 2021,43,10.997,S21,2021,20212,391,False
B2B,Winter 2022,35,8.794,W22,2022,20220,398,False
B2B,Summer 2022,28,11.966,S22,2022,20222,234,False
B2B,Winter 2023,45,16.423,W23,2023,20230,274,False
B2B,Summer 2023,40,18.182,S23,2023,20232,220,False
B2B,Winter 2024,48,19.355,W24,2024,20240,248,False
B2B,Summer 2024,46,18.548,S24,2024,20242,248,False
B2B,Fall 2024,14,14.894,F24,2024,20243,94,False
B2B,Winter 2025,35,21.084,W25,2025,20250,166,False
B2B,Spring 2025,30,20.979,X25,2025,20251,143,False
B2B,Summer 2025,34,20.482,S25,2025,20252,166,False
B2B,Fall 2025,30,20.548,F25,2025,20253,146,False
B2B,Winter 2026,46,23.116,W26,2026,20260,199,False
B2B,Spring 2026,37,18.974,X26,2026,20261,195,False
B2B,Summer 2026,41,17.447,S26,2026,20262,235,False
B2B,Fall 2026,6,17.143,F26,2026,20263,35,True
B2B,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Analytics,Summer 2005,1,11.111,S05,2005,20052,9,True
B2B -> Analytics,Winter 2006,0,0.0,W06,2006,20060,7,True
B2B -> Analytics,Summer 2006,0,0.0,S06,2006,20062,10,True
B2B -> Analytics,Winter 2007,0,0.0,W07,2007,20070,13,True
B2B -> Analytics,Summer 2007,0,0.0,S07,2007,20072,19,True
B2B -> Analytics,Winter 2008,0,0.0,W08,2008,20080,21,True
B2B -> Analytics,Summer 2008,1,4.545,S08,2008,20082,22,True
B2B -> Analytics,Winter 2009,0,0.0,W09,2009,20090,16,True
B2B -> Analytics,Summer 2009,1,3.846,S09,2009,20092,26,True
B2B -> Analytics,Winter 2010,1,3.704,W10,2010,20100,27,True
B2B -> Analytics,Summer 2010,1,2.778,S10,2010,20102,36,True
B2B -> Analytics,Winter 2011,1,2.222,W11,2011,20110,45,True
