tag,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
3D Printed Foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3D Printing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,1.923,1.351,0.0,0.0,0.0,0.82,0.0,1.724,0.0,1.37,0.0,0.0,0.0,0.0,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699,0.602,0.0,0.0,0.0,0.0,2.857,0.0
AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,1.515,1.205,2.174,0.0,2.703,0.0,5.455,1.923,4.918,2.941,3.448,4.8,5.479,8.397,6.701,6.25,9.211,7.177,8.333,9.719,13.568,20.513,22.993,27.727,31.452,34.677,36.17,25.301,31.469,25.904,32.192,7.538,6.667,31.489,25.714,0.0
AI Assistant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.0,0.909,0.0,0.82,0.98,0.0,1.6,0.685,1.527,0.0,1.136,2.632,0.478,1.488,2.302,2.764,3.846,6.204,5.909,8.065,6.452,5.319,3.614,3.497,4.217,6.164,0.503,2.051,2.128,2.857,0.0
AI-Enhanced Learning,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.82,0.0,0.0,0.0,0.685,1.527,0.515,0.568,0.0,0.478,0.595,1.279,1.005,0.427,2.19,1.364,0.806,1.21,1.064,2.41,0.699,0.602,1.37,0.0,0.0,0.851,2.857,0.0
AI-powered Drug Discovery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.82,0.0,0.0,0.0,2.055,0.763,1.031,0.568,1.316,0.957,0.298,1.79,0.251,0.427,0.73,0.455,0.403,0.806,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.851,0.0,0.0
AIOps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.962,0.0,0.0,0.862,0.0,0.0,0.0,0.515,0.568,0.0,0.0,0.595,0.767,1.256,0.855,1.825,2.727,0.403,4.032,1.064,1.807,2.797,1.807,0.685,1.005,0.0,2.553,8.571,0.0
API,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.704,0.0,6.667,0.0,1.515,1.205,0.0,1.923,1.351,1.282,0.909,0.0,1.639,2.941,2.586,1.6,0.685,3.817,2.577,0.568,2.632,2.392,2.381,1.79,4.271,5.983,5.109,4.545,2.419,1.613,3.191,3.012,0.699,1.205,1.37,1.005,0.513,1.277,0.0,0.0
APIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.0,0.595,0.256,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.699,0.0,0.685,0.0,0.513,0.426,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.98,0.0,0.0,0.685,0.0,0.0,0.568,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
