tag,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
3D Printed Foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3D Printing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,2.174,1.449,0.0,0.0,0.0,0.893,0.0,1.739,0.0,1.418,0.0,0.0,0.0,0.0,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.855,0.0,0.0,0.0,0.0,2.941,0.0
AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.639,1.316,2.174,0.0,2.899,0.0,5.825,2.151,5.357,3.093,3.478,4.959,5.674,8.661,6.915,6.395,9.502,7.389,8.537,9.948,13.882,21.429,26.36,32.62,38.049,42.574,45.946,32.812,40.909,36.752,39.831,31.25,26.0,31.897,26.471,0.0
AI Assistant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.0,0.0,0.971,0.0,0.893,1.031,0.0,1.653,0.709,1.575,0.0,1.163,2.715,0.493,1.524,2.356,2.828,4.018,7.113,6.952,9.756,7.921,6.757,4.688,4.545,5.983,7.627,2.083,8.0,2.155,2.941,0.0
AI-Enhanced Learning,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.0,0.893,0.0,0.0,0.0,0.709,1.575,0.532,0.581,0.0,0.493,0.61,1.309,1.028,0.446,2.51,1.604,0.976,1.485,1.351,3.125,0.909,0.855,1.695,0.0,0.0,0.862,2.941,0.0
AI-powered Drug Discovery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.0,0.893,0.0,0.0,0.0,2.128,0.787,1.064,0.581,1.357,0.985,0.305,1.832,0.257,0.446,0.837,0.535,0.488,0.99,0.0,0.0,0.0,1.709,0.0,0.0,0.0,0.862,0.0,0.0
AIOps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,1.075,0.0,0.0,0.87,0.0,0.0,0.0,0.532,0.581,0.0,0.0,0.61,0.785,1.285,0.893,2.092,3.209,0.488,4.95,1.351,2.344,3.636,2.564,0.847,4.167,0.0,2.586,8.824,0.0
API,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7.895,0.0,1.639,1.316,0.0,2.174,1.449,1.316,0.971,0.0,1.786,3.093,2.609,1.653,0.709,3.937,2.66,0.581,2.715,2.463,2.439,1.832,4.37,6.25,5.858,5.348,2.927,1.98,4.054,3.906,0.909,1.709,1.695,4.167,2.0,1.293,0.0,0.0
APIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.0,0.61,0.262,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.909,0.0,0.847,0.0,2.0,0.431,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,1.031,0.0,0.0,0.709,0.0,0.0,0.581,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Advanced Materials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.449,1.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.862,2.941,0.0
Advertising,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,3.226,2.632,6.0,0.0,6.579,0.0,2.174,2.899,1.316,2.913,0.0,0.0,1.031,0.0,0.826,0.0,1.575,0.0,0.581,0.905,0.0,0.0,0.524,1.028,0.446,1.255,1.07,0.488,0.0,1.351,0.0,0.909,0.0,4.237,2.083,4.0,0.0,0.0,0.0
Aerospace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,1.031,0.0,0.0,0.0,0.0,0.532,0.581,0.452,0.0,0.61,0.785,0.257,1.339,0.418,1.07,1.463,2.475,4.054,0.781,2.727,0.0,3.39,0.0,4.0,2.155,2.941,0.0
Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.639,0.0,0.0,0.0,2.899,1.316,0.971,1.075,0.893,0.0,1.739,3.306,1.418,0.787,0.532,0.0,0.905,0.493,0.305,0.262,0.514,0.446,0.0,0.535,0.488,0.99,0.0,0.0,0.0,1.709,0.0,2.083,0.0,0.862,0.0,0.0
Air Taxis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.0,0.0,0.0,0.826,0.0,0.0,1.064,0.0,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Airplanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.826,0.0,0.787,0.532,0.0,0.452,0.0,0.305,0.262,0.257,0.893,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Battery Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Fuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Analytics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,12.903,5.263,6.0,6.557,6.579,13.043,4.348,4.348,6.579,3.883,1.075,4.464,0.0,1.739,0.826,2.837,2.362,1.596,2.907,2.262,2.463,2.744,3.141,4.37,4.911,6.276,5.348,3.902,4.95,1.351,3.906,3.636,1.709,4.237,2.083,0.0,1.293,0.0,0.0
Anti-Aging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826,0.0,2.362,0.0,0.0,0.0,0.0,0.61,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.0,1.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,1.695,0.0,0.0,0.431,0.0,0.0
Art Trading Platforms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,6.667,0.0,0.0,0.0,0.0,0.0,1.316,2.174,2.174,2.899,3.947,7.767,2.151,7.143,11.34,12.174,10.744,9.22,9.449,8.511,7.558,9.502,6.404,12.195,12.304,14.396,18.75,24.686,40.107,45.366,41.089,33.784,39.844,35.455,47.863,33.898,45.833,32.0,37.5,38.235,0.0
Assistive Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031,0.0,0.826,0.709,1.575,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Reality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.174,1.449,1.316,0.971,1.075,0.0,0.0,0.87,1.653,2.128,1.575,1.064,0.581,0.0,0.493,0.305,0.262,0.0,0.446,0.0,0.0,0.0,0.495,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auto Commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0.452,0.0,0.0,0.262,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.279,1.316,0.0,2.174,0.0,2.632,0.0,0.0,0.0,1.031,0.0,1.653,0.0,1.575,0.0,0.581,0.905,0.493,1.22,0.262,0.257,1.339,3.347,3.743,5.366,3.96,5.405,3.125,4.545,2.564,3.39,6.25,4.0,4.741,2.941,0.0
