tag,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
3D Printed Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3D Printing,0,0,0,0,0,0,0,1,1,1,0,1,2,2,0,1,0,0,0,0,2,1,0
AI,0,0,0,0,0,0,1,2,1,2,8,9,10,19,24,36,66,102,124,198,177,111,0
AI Assistant,0,0,0,0,0,0,0,1,0,0,1,2,2,3,2,7,14,20,30,41,27,11,0
AI-Enhanced Learning,0,1,0,0,0,0,0,0,0,0,1,1,0,3,2,1,7,5,9,6,8,3,0
AI-powered Drug Discovery,0,0,0,0,0,1,0,0,0,0,1,1,0,4,3,5,8,2,3,3,2,2,0
AIOps,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,5,7,11,12,11,11,0
API,0,0,0,0,0,1,3,2,1,2,1,5,5,6,6,11,15,31,24,13,10,6,0
APIs,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,1,2,2,0
AR,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,1,0
Advanced Materials,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,3,0
Advertising,0,0,0,0,1,1,4,5,1,3,3,1,1,2,1,2,2,5,5,2,6,3,0
Aerospace,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,5,4,3,11,8,8,0
Agriculture,0,0,0,0,0,0,0,1,0,3,2,1,6,3,1,3,2,3,1,3,2,3,0
Air Taxis,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0
Airlines,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
Airplanes,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,3,1,0,0,0,0
Alternative Battery Tech,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Alternative Fuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Analytics,0,0,0,0,1,4,5,9,8,8,5,5,3,7,8,10,21,28,25,19,16,4,0
Anti-Aging,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0
Apparel,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0
Art Trading Platforms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Artificial Intelligence,0,0,0,1,1,0,0,1,2,5,10,19,27,25,29,34,87,98,134,201,186,138,0
