tag,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
3D Printed Foods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3D Printing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,1.02,0.658,0.0,0.446,0.83,0.722,0.0,0.229,0.0,0.0,0.0,0.0,0.322,0.151,0.0
AI,0.0,0.0,0.0,0.0,0.0,0.0,0.952,1.342,1.02,1.316,3.738,4.018,4.149,6.859,6.486,8.238,9.078,16.139,25.101,33.559,28.502,16.717,0.0
AI Assistant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.0,0.0,0.467,0.893,0.83,1.083,0.541,1.602,1.926,3.165,6.073,6.949,4.348,1.657,0.0
AI-Enhanced Learning,0.0,5.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.446,0.0,1.083,0.541,0.229,0.963,0.791,1.822,1.017,1.288,0.452,0.0
AI-powered Drug Discovery,0.0,0.0,0.0,0.0,0.0,1.587,0.0,0.0,0.0,0.0,0.467,0.446,0.0,1.444,0.811,1.144,1.1,0.316,0.607,0.508,0.322,0.301,0.0
AIOps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.467,0.0,0.415,0.0,0.541,0.0,0.688,1.108,2.227,2.034,1.771,1.657,0.0
API,0.0,0.0,0.0,0.0,0.0,1.587,2.857,1.342,1.02,1.316,0.467,2.232,2.075,2.166,1.622,2.517,2.063,4.905,4.858,2.203,1.61,0.904,0.0
APIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.0,0.0,0.0,0.229,0.413,0.0,0.0,0.169,0.322,0.301,0.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,0.0,0.361,0.27,0.0,0.138,0.0,0.0,0.0,0.161,0.151,0.0
Advanced Materials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316,0.0,0.0,0.0,0.0,0.541,0.0,0.0,0.0,0.0,0.0,0.161,0.452,0.0
