tag_a,tag_b,cooccurrence_2021-2022,cooccurrence_2023-2024,cooccurrence_2025-present,jaccard_2021-2022,jaccard_2023-2024,jaccard_2025-present,lift_2021-2022,lift_2023-2024,lift_2025-present,lift_change,relationship
AI,AI Assistant,16.0,23.0,12.0,0.086,0.0622,0.0382,3.807,1.091,1.41,-2.3970000000000002,weakening
AI,AI-Enhanced Learning,,5.0,,,0.0151,,,1.122,,,stable
AI,AIOps,,13.0,6.0,,0.0392,0.0197,,1.903,1.218,,newly emerging
AI,API,7.0,8.0,,0.0338,0.0228,,1.231,0.728,,,disappeared
AI,Analytics,12.0,16.0,11.0,0.0585,0.0457,0.037,1.981,1.224,2.456,0.47499999999999987,stable
AI,Artificial Intelligence,32.0,68.0,38.0,0.0997,0.1154,0.0662,1.399,0.683,0.524,-0.875,weakening
AI,Automation,,10.0,8.0,,0.0286,0.0256,,0.886,1.082,,newly emerging
AI,B2B,61.0,99.0,87.0,0.1276,0.1934,0.2127,1.33,1.153,1.868,0.538,strengthening
AI,Big Data,,,6.0,,,0.0205,,,2.679,,newly emerging
AI,Biotech,,,7.0,,,0.023,,,1.359,,newly emerging
AI,Compliance,5.0,11.0,5.0,0.0272,0.0328,0.0166,1.926,1.543,1.24,-0.6859999999999999,weakening
AI,Construction,,6.0,,,0.0182,,,1.554,,,stable
AI,Consumer,11.0,31.0,17.0,0.0456,0.0876,0.053,1.059,1.657,1.518,0.4590000000000001,stable
AI,Conversational AI,,10.0,7.0,,0.0304,0.0235,,1.98,1.839,,newly emerging
AI,Customer Support,,6.0,,,0.0181,,,1.262,,,stable
AI,Cybersecurity,,,8.0,,,0.0268,,,1.985,,newly emerging
AI,Data Engineering,,11.0,7.0,,0.033,0.0233,,1.683,1.645,,newly emerging
AI,Data Labeling,,,5.0,,,0.017,,,2.03,,newly emerging
AI,Data Science,,5.0,,,0.0151,,,1.202,,,stable
AI,Design Tools,,8.0,,,0.0245,,,2.244,,,stable
AI,Developer Tools,19.0,58.0,29.0,0.0693,0.1362,0.0775,1.23,1.205,1.126,-0.10400000000000009,stable
AI,Digital Health,,8.0,,,0.0237,,,1.171,,,stable
AI,E-commerce,,6.0,,,0.0178,,,0.962,,,stable
AI,Education,,7.0,,,0.0213,,,1.813,,,stable
AI,Enterprise,8.0,10.0,11.0,0.0426,0.0287,0.0372,2.311,0.935,2.585,0.274,stable
AI,Enterprise Software,7.0,13.0,15.0,0.038,0.0369,0.047,2.462,1.018,1.456,-1.0060000000000002,weakening
AI,Finance,,14.0,8.0,,0.0407,0.0261,,1.309,1.323,,newly emerging
AI,Fintech,13.0,22.0,23.0,0.0296,0.0553,0.073,0.37,0.756,2.054,1.6839999999999997,strengthening
AI,Generative AI,25.0,52.0,16.0,0.1269,0.1307,0.0505,3.745,1.368,1.588,-2.157,weakening
AI,HR Tech,,6.0,,,0.0182,,,1.443,,,stable
AI,Hard Tech,,5.0,13.0,,0.0149,0.0396,,0.935,1.095,,newly emerging
AI,Hardware,,,11.0,,,0.0332,,,0.91,,newly emerging
AI,Health Tech,,16.0,5.0,,0.0465,0.0164,,1.417,1.015,,newly emerging
AI,Healthcare,,16.0,13.0,,0.0437,0.0425,,0.898,1.873,,newly emerging
AI,Industrial,,,5.0,,,0.0164,,,1.015,,newly emerging
AI,Infrastructure,,20.0,27.0,,0.0583,0.0823,,1.642,1.799,,newly emerging
AI,Insurance,,5.0,6.0,,0.015,0.0199,,1.052,1.41,,newly emerging
AI,LegalTech,,5.0,,,0.0151,,,1.122,,,stable
AI,Logistics,,8.0,5.0,,0.0237,0.0164,,1.171,1.063,,newly emerging
AI,Machine Learning,11.0,19.0,13.0,0.0495,0.0546,0.0417,1.369,1.421,1.569,0.19999999999999996,stable
AI,Manufacturing,,,9.0,,,0.0281,,,0.98,,newly emerging
AI,Marketing,8.0,11.0,7.0,0.0432,0.0322,0.0233,2.589,1.195,1.563,-1.026,weakening
AI,Marketplace,,,5.0,,,0.0168,,,1.595,,newly emerging
AI,Media,,5.0,,,0.0153,,,1.683,,,stable
AI,No-code,6.0,,,0.0345,,,4.045,,,,disappeared
AI,Open Source,,16.0,14.0,,0.0448,0.0459,,1.056,2.017,,newly emerging
AI,Operations,,7.0,,,0.0211,,,1.473,,,stable
AI,Productivity,9.0,17.0,8.0,0.0439,0.049,0.0261,1.583,1.363,1.323,-0.26,stable
AI,Proptech,5.0,,,0.0251,,,1.124,,,,disappeared
AI,Real Estate,,5.0,,,0.0151,,,1.122,,,stable
AI,Reinforcement Learning,,,9.0,,,0.0288,,,1.182,,newly emerging
AI,Robotics,,5.0,23.0,,0.015,0.0693,,0.99,1.533,,newly emerging
AI,SaaS,50.0,67.0,43.0,0.0988,0.1423,0.1229,1.042,1.044,1.829,0.7869999999999999,strengthening
AI,Sales,10.0,17.0,11.0,0.051,0.0496,0.0367,2.129,1.506,2.136,0.007000000000000117,stable
AI,Sales Enablement,7.0,,,0.04,,,4.045,,,,disappeared
AI,Search,,6.0,,,0.0184,,,2.02,,,stable
