tag,rank_earliest_year,rank_latest,rank_change,earliest_year_share_pct,latest_share_pct,pp_change,earliest_year_count,latest_count,latest_full_batch,major_mover
Artificial Intelligence,6,1,5,0.0,37.021,37.021,0,87,Summer 2026,True
AI,6,2,4,0.0,31.489,31.489,0,74,Summer 2026,True
B2B,6,3,3,0.0,22.553,22.553,0,53,Summer 2026,True
Robotics,6,4,2,0.0,11.915,11.915,0,28,Summer 2026,True
Hard Tech,6,5,1,0.0,10.638,10.638,0,25,Summer 2026,True
SaaS,6,6,0,0.0,10.213,10.213,0,24,Summer 2026,True
Developer Tools,6,7,-1,0.0,9.787,9.787,0,23,Summer 2026,True
Hardware,6,8,-2,0.0,8.511,8.511,0,20,Summer 2026,True
Infrastructure,6,9,-3,0.0,8.085,8.085,0,19,Summer 2026,True
Manufacturing,6,10,-4,0.0,6.809,6.809,0,16,Summer 2026,True
Fintech,6,11,-5,0.0,5.957,5.957,0,14,Summer 2026,True
Reinforcement Learning,6,11,-5,0.0,5.957,5.957,0,14,Summer 2026,True
Enterprise Software,6,11,-5,0.0,5.957,5.957,0,14,Summer 2026,True
Machine Learning,6,14,-8,0.0,5.106,5.106,0,12,Summer 2026,True
Healthcare,6,15,-9,0.0,4.681,4.681,0,11,Summer 2026,True
Automation,6,15,-9,0.0,4.681,4.681,0,11,Summer 2026,True
Workflow Automation,6,15,-9,0.0,4.681,4.681,0,11,Summer 2026,True
Finance,6,15,-9,0.0,4.681,4.681,0,11,Summer 2026,True
Generative AI,6,19,-13,0.0,4.255,4.255,0,10,Summer 2026,True
Industrial,6,20,-14,0.0,3.83,3.83,0,9,Summer 2026,True
Biotech,6,20,-14,0.0,3.83,3.83,0,9,Summer 2026,True
Energy,6,20,-14,0.0,3.83,3.83,0,9,Summer 2026,True
Defense,6,23,-17,0.0,3.404,3.404,0,8,Summer 2026,True
Open Source,6,23,-17,0.0,3.404,3.404,0,8,Summer 2026,True
Construction,6,23,-17,0.0,3.404,3.404,0,8,Summer 2026,True
Data Engineering,6,23,-17,0.0,3.404,3.404,0,8,Summer 2026,True
Investing,6,23,-17,0.0,3.404,3.404,0,8,Summer 2026,True
Supply Chain,6,23,-17,0.0,3.404,3.404,0,8,Summer 2026,True
Semiconductors,6,29,-23,0.0,2.979,2.979,0,7,Summer 2026,True
Logistics,6,29,-23,0.0,2.979,2.979,0,7,Summer 2026,True
Cybersecurity,6,31,-25,0.0,2.553,2.553,0,6,Summer 2026,True
AIOps,6,31,-25,0.0,2.553,2.553,0,6,Summer 2026,True
Marketplace,6,31,-25,0.0,2.553,2.553,0,6,Summer 2026,True
Enterprise,6,31,-25,0.0,2.553,2.553,0,6,Summer 2026,True
Insurance,6,31,-25,0.0,2.553,2.553,0,6,Summer 2026,True
Security,6,31,-25,0.0,2.553,2.553,0,6,Summer 2026,True
Consumer,6,31,-25,0.0,2.553,2.553,0,6,Summer 2026,True
Drones,6,38,-32,0.0,2.128,2.128,0,5,Summer 2026,True
Aerospace,6,38,-32,0.0,2.128,2.128,0,5,Summer 2026,True
Deep Learning,6,38,-32,0.0,2.128,2.128,0,5,Summer 2026,True
Health Tech,6,38,-32,0.0,2.128,2.128,0,5,Summer 2026,True
AI Assistant,6,38,-32,0.0,2.128,2.128,0,5,Summer 2026,True
Real Estate,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
Health & Wellness,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
Data Labeling,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
Trading,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
Robotic Process Automation,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
Gaming,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
GovTech,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
Computer Vision,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
Sales,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
Cloud Computing,6,43,-37,0.0,1.702,1.702,0,4,Summer 2026,True
Data Science,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
LegalTech,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
Productivity,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
Personalization,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
Swarm Robotics,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
Market Research,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
Big Data,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
API,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
Analytics,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
Home Services,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
Crypto / Web3,6,53,-47,0.0,1.277,1.277,0,3,Summer 2026,True
AI-Enhanced Learning,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
AI-powered Drug Discovery,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Oncology,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Consumer Health Services,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Conversational AI,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Stocks,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Agriculture,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Advanced Materials,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
ML,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Sustainability,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Procurement,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Recruiting,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Renewable Energy,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
ClimateTech,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Consumer Finance,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Monitoring,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Restaurant Tech,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Creator Economy,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Synthetic Biology,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
Marketing,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
E-commerce,6,64,-58,0.0,0.851,0.851,0,2,Summer 2026,True
