batch,rank,tag,share_pct,count
Summer 2005,1,Social Network,11.111,1
Summer 2005,2,Social Media,11.111,1
Summer 2005,3,Social,11.111,1
Summer 2005,4,Calendar,11.111,1
Summer 2005,5,Community,11.111,1
Summer 2005,6,Nanotechnology,0.0,0
Summer 2005,7,Nanosensors,0.0,0
Summer 2005,8,Nanomedicine,0.0,0
Summer 2005,9,NLP,0.0,0
Summer 2005,10,NFT,0.0,0
Summer 2005,11,Music,0.0,0
Summer 2005,12,Monitoring,0.0,0
Summer 2005,13,Mobility,0.0,0
Summer 2005,14,Mining,0.0,0
Summer 2005,15,Media,0.0,0
Summer 2005,16,Microfluidics,0.0,0
Summer 2005,17,Metaverse,0.0,0
Summer 2005,18,Messaging,0.0,0
Summer 2005,19,Mental Health Tech,0.0,0
Summer 2005,20,Mental Health,0.0,0
Winter 2006,1,SaaS,14.286,1
Winter 2006,2,Media,14.286,1
Winter 2006,3,Productivity,14.286,1
Winter 2006,4,Marketing,0.0,0
Winter 2006,5,Nanosensors,0.0,0
Winter 2006,6,Nanomedicine,0.0,0
Winter 2006,7,NLP,0.0,0
Winter 2006,8,NFT,0.0,0
Winter 2006,9,Music,0.0,0
Winter 2006,10,Monitoring,0.0,0
Winter 2006,11,Mobility,0.0,0
Winter 2006,12,Microinsurance,0.0,0
Winter 2006,13,Microfluidics,0.0,0
Winter 2006,14,Metaverse,0.0,0
Winter 2006,15,Messaging,0.0,0
Winter 2006,16,Mental Health Tech,0.0,0
Winter 2006,17,Mental Health,0.0,0
Winter 2006,18,Medical Robotics,0.0,0
Winter 2006,19,Medical Devices,0.0,0
Winter 2006,20,Marketplace,0.0,0
Summer 2006,1,Edtech,10.0,1
Summer 2006,2,Marketplace,10.0,1
Summer 2006,3,Social Network,10.0,1
Summer 2006,4,Market Research,10.0,1
Summer 2006,5,Social,10.0,1
Summer 2006,6,E-Commerce,10.0,1
Summer 2006,7,Music,10.0,1
Summer 2006,8,Collaboration,10.0,1
Summer 2006,9,Gaming,10.0,1
Summer 2006,10,Remote Work,10.0,1
Summer 2006,11,AI-Enhanced Learning,10.0,1
Summer 2006,12,NFT,0.0,0
Summer 2006,13,Pediatrics,0.0,0
Summer 2006,14,Monitoring,0.0,0
Summer 2006,15,Mobility,0.0,0
Summer 2006,16,Mining,0.0,0
Summer 2006,17,Microinsurance,0.0,0
Summer 2006,18,Microfluidics,0.0,0
Summer 2006,19,Metaverse,0.0,0
Summer 2006,20,Personalization,0.0,0
Winter 2007,1,Messaging,15.385,2
Winter 2007,2,Community,15.385,2
Winter 2007,3,Electronics,7.692,1
Winter 2007,4,Video,7.692,1
Winter 2007,5,Social Network,7.692,1
Winter 2007,6,Social Media,7.692,1
Winter 2007,7,Documents,7.692,1
Winter 2007,8,Fintech,7.692,1
Winter 2007,9,SaaS,7.692,1
Winter 2007,10,Gaming,7.692,1
Winter 2007,11,B2B,7.692,1
Winter 2007,12,Productivity,7.692,1
Winter 2007,13,Music,0.0,0
Winter 2007,14,Monitoring,0.0,0
Winter 2007,15,Mobility,0.0,0
Winter 2007,16,Mining,0.0,0
Winter 2007,17,Pediatrics,0.0,0
Winter 2007,18,Microinsurance,0.0,0
Winter 2007,19,Microfluidics,0.0,0
Winter 2007,20,Metaverse,0.0,0
Summer 2007,1,Media,5.263,1
Summer 2007,2,Investing,5.263,1
Summer 2007,3,Music,5.263,1
Summer 2007,4,Community,5.263,1
Summer 2007,5,Marketing,5.263,1
Summer 2007,6,Stocks,5.263,1
Summer 2007,7,Medical Devices,0.0,0
Summer 2007,8,Nanotechnology,0.0,0
Summer 2007,9,Nanosensors,0.0,0
Summer 2007,10,Nanomedicine,0.0,0
Summer 2007,11,NLP,0.0,0
Summer 2007,12,NFT,0.0,0
Summer 2007,13,Medical Robotics,0.0,0
Summer 2007,14,Monitoring,0.0,0
Summer 2007,15,Mobility,0.0,0
Summer 2007,16,Mining,0.0,0
Summer 2007,17,Microinsurance,0.0,0
Summer 2007,18,Microfluidics,0.0,0
Summer 2007,19,Metaverse,0.0,0
Summer 2007,20,Messaging,0.0,0
Winter 2008,1,Social,9.524,2
Winter 2008,2,Gaming,9.524,2
Winter 2008,3,Media,4.762,1
Winter 2008,4,Video,4.762,1
Winter 2008,5,Music,4.762,1
Winter 2008,6,Developer Tools,4.762,1
Winter 2008,7,DevOps,4.762,1
Winter 2008,8,Payments,4.762,1
Winter 2008,9,SaaS,4.762,1
Winter 2008,10,NFT,0.0,0
Winter 2008,11,Personalization,0.0,0
Winter 2008,12,Plant-based Meat,0.0,0
Winter 2008,13,Monitoring,0.0,0
Winter 2008,14,Mobility,0.0,0
Winter 2008,15,Mining,0.0,0
Winter 2008,16,Microinsurance,0.0,0
Winter 2008,17,Microfluidics,0.0,0
Winter 2008,18,Messaging,0.0,0
Winter 2008,19,Mental Health Tech,0.0,0
Winter 2008,20,Mental Health,0.0,0
Summer 2008,1,Social,9.091,2
Summer 2008,2,SaaS,9.091,2
Summer 2008,3,Media,4.545,1
Summer 2008,4,Marketplace,4.545,1
Summer 2008,5,Email,4.545,1
Summer 2008,6,E-Commerce,4.545,1
Summer 2008,7,ML,4.545,1
Summer 2008,8,Music,4.545,1
Summer 2008,9,Climate,4.545,1
Summer 2008,10,Data Engineering,4.545,1
Summer 2008,11,Proptech,4.545,1
Summer 2008,12,Artificial Intelligence,4.545,1
Summer 2008,13,NFT,0.0,0
Summer 2008,14,Pediatrics,0.0,0
Summer 2008,15,Monitoring,0.0,0
Summer 2008,16,Mobility,0.0,0
Summer 2008,17,Mining,0.0,0
Summer 2008,18,Microinsurance,0.0,0
Summer 2008,19,Microfluidics,0.0,0
Summer 2008,20,Personalization,0.0,0
Winter 2009,1,Sustainability,6.25,1
Winter 2009,2,Music,6.25,1
Winter 2009,3,Airlines,6.25,1
Winter 2009,4,Email,6.25,1
Winter 2009,5,Advertising,6.25,1
Winter 2009,6,Travel,6.25,1
Winter 2009,7,Marketplace,6.25,1
Winter 2009,8,Productivity,6.25,1
Winter 2009,9,Nanotechnology,0.0,0
Winter 2009,10,Nanosensors,0.0,0
Winter 2009,11,Nanomedicine,0.0,0
Winter 2009,12,NLP,0.0,0
Winter 2009,13,NFT,0.0,0
Winter 2009,14,Monitoring,0.0,0
Winter 2009,15,Mobility,0.0,0
Winter 2009,16,Microinsurance,0.0,0
Winter 2009,17,Microfluidics,0.0,0
Winter 2009,18,Metaverse,0.0,0
Winter 2009,19,Messaging,0.0,0
Winter 2009,20,Medical Devices,0.0,0
Summer 2009,1,Marketplace,15.385,4
Summer 2009,2,Fintech,7.692,2
Summer 2009,3,Recommendation System,7.692,2
Summer 2009,4,Construction,3.846,1
Summer 2009,5,Video,3.846,1
Summer 2009,6,Artificial Intelligence,3.846,1
Summer 2009,7,Cloud Computing,3.846,1
Summer 2009,8,SaaS,3.846,1
Summer 2009,9,IoT,3.846,1
Summer 2009,10,Analytics,3.846,1
Summer 2009,11,Social,3.846,1
Summer 2009,12,Automotive,3.846,1
Summer 2009,13,Developer Tools,3.846,1
Summer 2009,14,Open Source,3.846,1
Summer 2009,15,B2B,3.846,1
Summer 2009,16,Banking as a Service,3.846,1
Summer 2009,17,Crypto / Web3,3.846,1
Summer 2009,18,Sales,3.846,1
Summer 2009,19,Real Estate,3.846,1
Summer 2009,20,Databases,3.846,1
Winter 2010,1,Marketing,11.111,3
Winter 2010,2,Video,11.111,3
Winter 2010,3,Media,7.407,2
Winter 2010,4,Data Visualization,3.704,1
Winter 2010,5,Documents,3.704,1
Winter 2010,6,SMB,3.704,1
Winter 2010,7,Real Estate,3.704,1
Winter 2010,8,Design,3.704,1
Winter 2010,9,Marketplace,3.704,1
Winter 2010,10,API,3.704,1
Winter 2010,11,SaaS,3.704,1
Winter 2010,12,Nanosensors,0.0,0
Winter 2010,13,Monitoring,0.0,0
Winter 2010,14,Nanomedicine,0.0,0
Winter 2010,15,NLP,0.0,0
Winter 2010,16,NFT,0.0,0
Winter 2010,17,Music,0.0,0
Winter 2010,18,Mobility,0.0,0
Winter 2010,19,Mining,0.0,0
Winter 2010,20,Microinsurance,0.0,0
Summer 2010,1,Analytics,11.111,4
Summer 2010,2,Productivity,8.333,3
Summer 2010,3,Marketplace,8.333,3
Summer 2010,4,Social,5.556,2
Summer 2010,5,Fintech,5.556,2
Summer 2010,6,Email,5.556,2
Summer 2010,7,DevOps,5.556,2
Summer 2010,8,Community,5.556,2
Summer 2010,9,Restaurant Tech,2.778,1
Summer 2010,10,Gaming,2.778,1
Summer 2010,11,Media,2.778,1
Summer 2010,12,Computer Vision,2.778,1
Summer 2010,13,Security,2.778,1
Summer 2010,14,Marketing,2.778,1
Summer 2010,15,Food Service Robots & Machines,2.778,1
Summer 2010,16,Food & Beverage,2.778,1
Summer 2010,17,Collaboration,2.778,1
Summer 2010,18,Social Network,2.778,1
Summer 2010,19,FinOps,2.778,1
Summer 2010,20,Design Tools,2.778,1
Winter 2011,1,Marketplace,17.778,8
Winter 2011,2,SaaS,15.556,7
Winter 2011,3,E-Commerce,8.889,4
Winter 2011,4,Payments,6.667,3
Winter 2011,5,API,6.667,3
Winter 2011,6,Messaging,6.667,3
Winter 2011,7,Fintech,4.444,2
Winter 2011,8,Education,4.444,2
Winter 2011,9,Productivity,4.444,2
Winter 2011,10,Analytics,4.444,2
Winter 2011,11,Gaming,4.444,2
Winter 2011,12,Retail,4.444,2
Winter 2011,13,Enterprise,2.222,1
Winter 2011,14,Cashierless Checkout,2.222,1
Winter 2011,15,Entertainment,2.222,1
Winter 2011,16,Cloud Computing,2.222,1
Winter 2011,17,Community,2.222,1
Winter 2011,18,Marketing,2.222,1
Winter 2011,19,Retail Tech,2.222,1
Winter 2011,20,Food Tech,2.222,1
Summer 2011,1,SaaS,18.333,11
Summer 2011,2,Developer Tools,10.0,6
Summer 2011,3,B2B,10.0,6
Summer 2011,4,Education,6.667,4
Summer 2011,5,Marketplace,6.667,4
Summer 2011,6,Video,6.667,4
Summer 2011,7,Advertising,5.0,3
Summer 2011,8,Fintech,5.0,3
Summer 2011,9,Analytics,5.0,3
Summer 2011,10,Open Source,3.333,2
Summer 2011,11,Productivity,3.333,2
Summer 2011,12,Real Estate,3.333,2
Summer 2011,13,Documents,3.333,2
Summer 2011,14,Collaboration,3.333,2
Summer 2011,15,Marketing,3.333,2
Summer 2011,16,Machine Learning,3.333,2
Summer 2011,17,Databases,3.333,2
Summer 2011,18,Sales,3.333,2
Summer 2011,19,Location-based,1.667,1
Summer 2011,20,DevOps,1.667,1
Winter 2012,1,SaaS,9.091,6
Winter 2012,2,Fintech,7.576,5
Winter 2012,3,Messaging,7.576,5
Winter 2012,4,Marketplace,7.576,5
Winter 2012,5,Social,7.576,5
Winter 2012,6,B2B,7.576,5
Winter 2012,7,Analytics,6.061,4
Winter 2012,8,Collaboration,4.545,3
Winter 2012,9,Gaming,4.545,3
Winter 2012,10,Marketing,4.545,3
Winter 2012,11,Security,4.545,3
Winter 2012,12,Productivity,4.545,3
Winter 2012,13,Enterprise,4.545,3
Winter 2012,14,Developer Tools,4.545,3
Winter 2012,15,Video,3.03,2
Winter 2012,16,Media,3.03,2
Winter 2012,17,E-Commerce,3.03,2
Winter 2012,18,Travel,3.03,2
Winter 2012,19,Education,3.03,2
Winter 2012,20,HR Tech,3.03,2
Summer 2012,1,SaaS,13.253,11
Summer 2012,2,Video,7.229,6
Summer 2012,3,B2B,7.229,6
Summer 2012,4,Analytics,6.024,5
Summer 2012,5,Education,6.024,5
Summer 2012,6,Developer Tools,6.024,5
Summer 2012,7,Advertising,6.024,5
Summer 2012,8,Social,4.819,4
Summer 2012,9,E-commerce,4.819,4
