tag,total_companies,batches_excluded_from_stats,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Artificial Intelligence,998,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2008,Fall 2026,36,Winter 2024,93,37.5,2005,0,0.0,0.0,Summer 2026,87,37.021,87,87.0,37.021,32.718,14.784,True,False,0.0,32.209,10.592,0.804,Emerging,1,6,5
AI,890,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2011,Fall 2026,34,Fall 2024,34,36.17,2005,0,0.0,0.0,Summer 2026,74,31.489,74,74.0,31.489,29.862,13.291,True,False,1.591,31.84,7.755,0.91,Emerging,2,6,4
B2B,1124,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2007,Winter 2027,40,Summer 2022,89,38.034,2005,0,0.0,0.0,Summer 2026,53,22.553,53,53.0,22.553,22.364,16.345,True,False,8.788,23.605,16.05,0.568,Emerging,3,6,3
Robotics,142,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Fall 2026,30,Summer 2026,28,11.915,2005,0,0.0,0.0,Summer 2026,28,11.915,28,28.0,11.915,7.03,2.259,True,False,0.757,9.04,1.814,1.027,Emerging,4,6,2
Hard Tech,132,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Fall 2026,31,Summer 2026,25,10.638,2005,0,0.0,0.0,Summer 2026,25,10.638,25,25.0,10.638,4.861,1.882,True,False,0.757,6.689,1.317,1.044,Emerging,5,6,1
SaaS,1097,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2006,Fall 2026,43,Summer 2020,69,33.014,2005,0,0.0,0.0,Summer 2026,24,10.213,24,24.0,10.213,9.329,16.774,True,True,13.712,8.873,15.847,0.446,Low-volume / mixed,6,6,0
Developer Tools,548,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2008,Fall 2026,39,Fall 2024,18,19.149,2005,0,0.0,0.0,Summer 2026,23,9.787,23,23.0,9.787,11.077,8.638,True,False,7.272,9.688,9.066,0.512,Low-volume / mixed,7,6,-1
Hardware,160,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Fall 2026,36,Summer 2026,20,8.511,2005,0,0.0,0.0,Summer 2026,20,8.511,20,20.0,8.511,5.183,2.75,True,False,1.515,5.968,2.571,0.696,Emerging,8,6,-2
Infrastructure,132,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2017,Fall 2026,20,Summer 2026,19,8.085,2005,0,0.0,0.0,Summer 2026,19,8.085,19,19.0,8.085,6.301,1.795,True,False,0.0,6.44,0.815,1.307,Emerging,9,6,-3
Manufacturing,99,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Fall 2026,30,Summer 2026,16,6.809,2005,0,0.0,0.0,Summer 2026,16,6.809,16,16.0,6.809,3.986,1.601,True,False,0.757,4.774,1.171,0.995,Emerging,10,6,-4
