batch,batch_code,year,season,batch_order,total_companies,is_partial_batch,status_acquired,status_active,status_inactive,hiring_companies,nonprofit_companies,top_companies,median_team_size,mean_team_size,missing_team_size_pct,zero_tag_companies,missing_industry_companies,missing_description_companies,us_companies,us_share_pct,remote_companies,remote_share_pct,zero_tag_pct,low_tag_coverage
Winter 2021,W21,2021,Winter,20210,336,False,42,230,64,79,2,2,12.0,48.83,0.6,8,0,29,188,55.95,284,84.52,2.4,False
Summer 2021,S21,2021,Summer,20212,391,False,38,289,64,87,1,0,10.0,25.11,2.3,9,0,21,212,54.22,322,82.35,2.3,False
Winter 2022,W22,2022,Winter,20220,398,False,37,313,48,84,2,0,10.0,22.3,1.51,9,0,6,224,56.28,319,80.15,2.3,False
Summer 2022,S22,2022,Summer,20222,234,False,13,187,34,65,0,0,7.0,14.19,0.85,10,0,6,145,61.97,162,69.23,4.3,False
Winter 2023,W23,2023,Winter,20230,274,False,34,202,38,81,0,0,5.0,12.38,2.19,35,0,8,198,72.26,153,55.84,12.8,False
Summer 2023,S23,2023,Summer,20232,220,False,18,180,22,90,0,0,5.0,10.71,0.91,33,0,10,162,73.64,87,39.55,15.0,False
Winter 2024,W24,2024,Winter,20240,248,False,12,213,23,91,0,0,5.0,9.56,2.82,43,0,13,208,83.87,82,33.06,17.3,False
Summer 2024,S24,2024,Summer,20242,248,False,6,234,8,102,0,0,4.0,7.83,2.02,46,0,9,205,82.66,79,31.85,18.5,False
Fall 2024,F24,2024,Fall,20243,94,False,1,90,3,39,0,0,3.0,5.33,0.0,20,0,5,84,89.36,26,27.66,21.3,False
Winter 2025,W25,2025,Winter,20250,166,False,3,161,2,66,0,0,4.0,6.05,1.2,38,0,8,133,80.12,23,13.86,22.9,False
Spring 2025,X25,2025,Spring,20251,143,False,3,137,3,57,0,0,3.0,4.96,2.1,33,0,5,113,79.02,22,15.38,23.1,False
Summer 2025,S25,2025,Summer,20252,166,False,3,162,1,71,0,0,4.0,5.18,4.22,49,0,9,151,90.96,24,14.46,29.5,False
Fall 2025,F25,2025,Fall,20253,146,False,1,142,3,61,0,0,3.0,4.65,2.74,28,0,4,119,81.51,32,21.92,19.2,False
Winter 2026,W26,2026,Winter,20260,199,False,0,196,3,60,0,0,2.0,3.86,1.51,151,0,2,160,80.4,35,17.59,75.9,True
Spring 2026,X26,2026,Spring,20261,195,False,0,195,0,59,0,0,3.0,3.41,1.03,145,0,11,181,92.82,39,20.0,74.4,True
Summer 2026,S26,2026,Summer,20262,235,False,0,235,0,14,0,0,2.0,2.94,1.28,3,0,13,215,91.49,28,11.91,1.3,False
Fall 2026,F26,2026,Fall,20263,35,True,0,35,0,6,0,0,2.0,2.26,0.0,1,0,2,27,77.14,4,11.43,2.9,False
Winter 2027,W27,2027,Winter,20270,1,True,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,100.0,0,0.0,0.0,False
