batch,total_companies,unique_industries,unique_subindustries,unique_tags,tag_assignments,mean_tags_per_company,industry_entropy,industry_entropy_normalised,tag_entropy,tag_entropy_normalised,industry_hhi,tag_hhi,top5_industry_share_pct,top10_tag_share_pct_of_companies,top10_tag_share_pct_of_assignments,rarefied_unique_tags,batch_order,is_partial_batch
Winter 2021,336,8,52,187,954,2.839,1.5431,0.7421,4.3875,0.8387,0.2904,0.02863,94.05,118.75,41.82,134.26,20210,False
Summer 2021,391,8,51,192,1150,2.941,1.5489,0.7448,4.2785,0.8138,0.2815,0.03257,93.86,132.99,45.22,127.84,20212,False
Winter 2022,398,8,54,193,1312,3.296,1.544,0.7425,4.3402,0.8247,0.28,0.02754,94.22,141.71,42.99,131.64,20220,False
Summer 2022,234,7,46,155,836,3.573,1.4253,0.7325,4.1453,0.8219,0.3256,0.03405,95.73,168.38,47.13,130.29,20222,False
Winter 2023,274,8,43,147,952,3.474,1.1383,0.5474,4.0121,0.804,0.4783,0.03767,97.08,178.83,51.47,115.84,20230,False
Summer 2023,220,7,40,143,757,3.441,1.0942,0.5623,4.1138,0.8289,0.5022,0.03331,95.91,163.18,47.42,122.97,20232,False
Winter 2024,248,8,42,155,787,3.173,1.2377,0.5952,4.1188,0.8167,0.4293,0.03788,97.18,151.61,47.78,124.77,20240,False
Summer 2024,248,8,45,149,837,3.375,1.2333,0.5931,4.0992,0.8192,0.4437,0.03633,96.37,160.89,47.67,122.54,20242,False
Fall 2024,94,8,31,91,273,2.904,1.3417,0.6452,3.8285,0.8487,0.3995,0.04239,93.62,150.0,51.65,,20243,False
Winter 2025,166,8,39,122,475,2.861,1.3173,0.6335,4.0677,0.8467,0.4198,0.03486,93.37,133.13,46.53,116.51,20250,False
Spring 2025,143,8,33,97,376,2.629,1.168,0.5617,3.8542,0.8425,0.4825,0.04129,95.8,132.17,50.27,,20251,False
Summer 2025,166,8,36,107,405,2.44,1.1857,0.5702,3.8289,0.8194,0.4765,0.04763,95.78,128.92,52.84,102.0,20252,False
Fall 2025,146,7,34,115,433,2.966,1.3052,0.6707,4.0953,0.8631,0.4044,0.03489,95.21,130.14,43.88,,20253,False
Winter 2026,199,6,37,63,161,0.809,1.1778,0.6573,3.6519,0.8814,0.4372,0.0444,98.49,41.21,50.93,53.31,20260,False
Spring 2026,195,7,44,69,161,0.826,1.3172,0.6769,3.795,0.8963,0.3823,0.03538,97.44,40.51,49.07,58.97,20261,False
Summer 2026,235,8,40,145,820,3.489,1.3816,0.6644,4.1398,0.8318,0.3419,0.03308,96.17,157.02,45.0,122.51,20262,False
Fall 2026,35,5,16,42,92,2.629,1.2695,0.7888,3.3621,0.8995,0.3453,0.05175,100.0,151.43,57.61,,20263,True
Winter 2027,1,1,1,3,3,3.0,-0.0,0.0,1.0986,1.0,1.0,0.33333,100.0,300.0,100.0,,20270,True
