country,batch,count,batch_order,total_companies,share_pct
Argentina,Winter 2021,2,20210,336,0.6
Argentina,Summer 2021,2,20212,391,0.51
Argentina,Winter 2022,4,20220,398,1.01
Argentina,Summer 2022,2,20222,234,0.85
Argentina,Winter 2023,1,20230,274,0.36
Argentina,Summer 2024,1,20242,248,0.4
Australia,Winter 2021,1,20210,336,0.3
Australia,Summer 2021,3,20212,391,0.77
Australia,Winter 2022,6,20220,398,1.51
Australia,Summer 2022,2,20222,234,0.85
Australia,Winter 2023,2,20230,274,0.73
Australia,Winter 2025,1,20250,166,0.6
Australia,Winter 2026,2,20260,199,1.01
Australia,Summer 2026,1,20262,235,0.43
Austria,Winter 2021,2,20210,336,0.6
Austria,Summer 2022,1,20222,234,0.43
Austria,Fall 2025,1,20253,146,0.68
Bahrain,Winter 2022,1,20220,398,0.25
Belgium,Winter 2021,1,20210,336,0.3
Belgium,Winter 2025,2,20250,166,1.2
Belgium,Fall 2025,1,20253,146,0.68
Brazil,Winter 2021,8,20210,336,2.38
Brazil,Summer 2021,12,20212,391,3.07
Brazil,Winter 2022,6,20220,398,1.51
Brazil,Summer 2022,2,20222,234,0.85
Brazil,Winter 2023,1,20230,274,0.36
Brazil,Summer 2023,1,20232,220,0.45
Brazil,Winter 2024,1,20240,248,0.4
Brazil,Summer 2024,1,20242,248,0.4
Brazil,Summer 2025,1,20252,166,0.6
Bulgaria,Summer 2021,1,20212,391,0.26
Bulgaria,Summer 2023,1,20232,220,0.45
Canada,Winter 2021,12,20210,336,3.57
Canada,Summer 2021,14,20212,391,3.58
Canada,Winter 2022,13,20220,398,3.27
Canada,Summer 2022,5,20222,234,2.14
Canada,Winter 2023,5,20230,274,1.82
Canada,Summer 2023,4,20232,220,1.82
Canada,Winter 2024,4,20240,248,1.61
Canada,Summer 2024,2,20242,248,0.81
Canada,Fall 2024,1,20243,94,1.06
Canada,Winter 2025,4,20250,166,2.41
Canada,Spring 2025,1,20251,143,0.7
Canada,Summer 2025,1,20252,166,0.6
Canada,Winter 2026,3,20260,199,1.51
Canada,Summer 2026,2,20262,235,0.85
Canada,Fall 2026,1,20263,35,2.86
Cayman Islands,Summer 2026,1,20262,235,0.43
Chile,Winter 2021,4,20210,336,1.19
Chile,Summer 2021,7,20212,391,1.79
Chile,Winter 2022,1,20220,398,0.25
Chile,Summer 2022,1,20222,234,0.43
Chile,Winter 2023,2,20230,274,0.73
Colombia,Winter 2021,4,20210,336,1.19
Colombia,Summer 2021,2,20212,391,0.51
