batch,total_companies,us_companies,us_share_pct,non_us_companies,non_us_share_pct,no_country_in_regions,remote_any_companies,remote_any_share_pct,fully_remote_companies,partly_remote_companies,unique_countries,multi_country_companies,batch_order,is_partial_batch
Winter 2021,336,188,55.95,148,44.05,7,284,84.52,139,145,41,12,20210,False
Summer 2021,391,212,54.22,179,45.78,5,322,82.35,133,189,43,14,20212,False
Winter 2022,398,224,56.28,174,43.72,4,319,80.15,121,198,43,20,20220,False
Summer 2022,234,145,61.97,89,38.03,3,162,69.23,64,98,34,11,20222,False
Winter 2023,274,198,72.26,76,27.74,19,153,55.84,55,98,23,4,20230,False
Summer 2023,220,162,73.64,58,26.36,18,87,39.55,28,59,18,2,20232,False
Winter 2024,248,208,83.87,40,16.13,14,82,33.06,19,63,10,0,20240,False
Summer 2024,248,205,82.66,43,17.34,8,79,31.85,15,64,10,0,20242,False
Fall 2024,94,84,89.36,10,10.64,1,26,27.66,9,17,7,0,20243,False
Winter 2025,166,133,80.12,33,19.88,3,23,13.86,7,16,17,0,20250,False
Spring 2025,143,113,79.02,30,20.98,6,22,15.38,6,16,7,0,20251,False
Summer 2025,166,151,90.96,15,9.04,3,24,14.46,5,19,9,0,20252,False
Fall 2025,146,119,81.51,27,18.49,8,32,21.92,4,28,9,0,20253,False
Winter 2026,199,160,80.4,39,19.6,16,35,17.59,7,28,12,0,20260,False
Spring 2026,195,181,92.82,14,7.18,2,39,20.0,7,32,7,0,20261,False
Summer 2026,235,215,91.49,20,8.51,1,28,11.91,6,22,14,0,20262,False
Fall 2026,35,27,77.14,8,22.86,3,4,11.43,2,2,5,0,20263,True
Winter 2027,1,1,100.0,0,0.0,0,0,0.0,0,0,1,0,20270,True
