company_id,batch,label_type,from_snapshot,to_snapshot,added,removed
1744,W18,tag,2024-08-22,2024-09-01,Operations,
1752,W18,industry,2024-08-22,2024-09-01,B2B,Consumer
1891,S18,subindustry,2024-08-22,2024-09-01,B2B -> Finance and Accounting,B2B -> Legal
11948,W19,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
12236,W19,tag,2024-08-22,2024-09-01,Payments,
23085,W21,tag,2024-08-22,2024-09-01,,Marketplace
23264,W21,subindustry,2024-08-22,2024-09-01,Consumer -> Food and Beverage,B2B -> Productivity
23399,W21,tag,2024-08-22,2024-09-01,,Fundraising
24192,S21,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
24259,S21,tag,2024-08-22,2024-09-01,Artificial Intelligence|Retail,
24382,S21,tag,2024-08-22,2024-09-01,Consumer,
25342,W22,tag,2024-08-22,2024-09-01,AI|DevOps|Web Development,Artificial Intelligence
25712,W22,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
26670,S22,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
27045,S22,tag,2024-08-22,2024-09-01,Health Tech|Healthcare|Healthcare IT,
27162,S22,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
27814,W23,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
27855,W23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
27869,W23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
27873,W23,tag,2024-08-22,2024-09-01,,Generative AI|NLP|SaaS|Sales
27957,W23,tag,2024-08-22,2024-09-01,,B2B|Fintech|Payments
28069,W23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
28368,W23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
28809,S23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
28811,S23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
28884,S23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
28887,S23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
28932,S23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29040,S23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29134,S23,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29254,W24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29263,W24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29273,W24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29301,W24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29315,W24,tag,2024-08-22,2024-09-01,Artificial Intelligence|Workflow Automation,AI|Machine Learning|Mental Health
29334,W24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29349,S24,tag,2024-08-22,2024-09-01,AI,Artificial Intelligence
29363,W24,subindustry,2024-08-22,2024-09-01,"B2B -> Engineering, Product and Design",Consumer
29377,W24,tag,2024-08-22,2024-09-01,Artificial Intelligence,AI
29392,W24,tag,2024-08-22,2024-09-01,Cybersecurity,Consumer|Machine Learning|Recommendation System|Social Media
29402,W24,tag,2024-08-22,2024-09-01,Artificial Intelligence|Retail Tech,AI|Navigation
29402,W24,industry,2024-08-22,2024-09-01,B2B,Industrials
29422,W24,industry,2024-08-22,2024-09-01,Education,B2B
29439,W24,tag,2024-08-22,2024-09-01,AI Assistant|API|Artificial Intelligence,AI
