batch,batch_order,companies_in_batch,companies_in_both_snapshots,first_snapshot,latest_snapshot,tags_changed,tags_changed_pct,tags_changed_excluding_AI_ArtificialIntelligence_swaps,tags_changed_excluding_AI_swaps_pct,industry_changed,industry_changed_pct,subindustry_changed,subindustry_changed_pct
Winter 2021,20210,336,336,2024-08-22,2026-09-01,62,18.5,50,14.9,9,2.7,35,10.4
Summer 2021,20212,391,390,2024-08-22,2026-09-01,85,21.8,70,17.9,11,2.8,39,10.0
Winter 2022,20220,398,397,2024-08-22,2026-09-01,102,25.7,86,21.7,18,4.5,58,14.6
Summer 2022,20222,234,234,2024-08-22,2026-09-01,102,43.6,83,35.5,17,7.3,38,16.2
Winter 2023,20230,274,273,2024-08-22,2026-09-01,108,39.6,85,31.1,15,5.5,60,22.0
Summer 2023,20232,220,215,2024-08-22,2026-09-01,127,59.1,100,46.5,15,7.0,58,27.0
Winter 2024,20240,248,247,2024-08-22,2026-09-01,159,64.4,134,54.3,27,10.9,115,46.6
Summer 2024,20242,248,198,2024-08-22,2026-09-01,163,82.3,143,72.2,28,14.1,76,38.4
Fall 2024,20243,94,0,2024-08-22,2026-09-01,0,,0,,0,,0,
Winter 2025,20250,166,1,2024-08-22,2026-09-01,1,,1,,0,,1,
Spring 2025,20251,143,0,2024-08-22,2026-09-01,0,,0,,0,,0,
Summer 2025,20252,166,1,2024-08-22,2026-09-01,1,,1,,1,,1,
Fall 2025,20253,146,1,2024-08-22,2026-09-01,1,,1,,0,,0,
Winter 2026,20260,199,1,2024-08-22,2026-09-01,1,,1,,0,,0,
Spring 2026,20261,195,0,2024-08-22,2026-09-01,0,,0,,0,,0,
Summer 2026,20262,235,1,2024-08-22,2026-09-01,1,,1,,1,,1,
Fall 2026,20263,35,0,2024-08-22,2026-09-01,0,,0,,0,,0,
Winter 2027,20270,1,0,2024-08-22,2026-09-01,0,,0,,0,,0,
