label_type,label,era,edition_label,edition_order,request_title,mentions,in_title
tag,3D Printing,seasonal,Summer 2026,20262,Industrial Capabilities in Space,1,False
tag,AI,essays,RFS 10,20140,Breakthrough Technologies,1,False
tag,AI,consolidated,March 2014,20140,A.I.,1,False
tag,AI,consolidated,July 2014,20142,A.I.,1,False
tag,AI,consolidated,September 2014,20142,A.I.,1,False
tag,AI,consolidated,August 2015,20152,A.I.,1,False
tag,AI,consolidated,September 2016,20162,A.I.,1,False
tag,AI,consolidated,March 2018,20180,A.I.,2,False
tag,AI,consolidated,March 2018,20180,Future of Work:,1,False
tag,AI,consolidated,March 2018,20180,Healthcare,1,False
tag,AI,consolidated,April 2020,20201,A.I.,2,False
tag,AI,consolidated,April 2020,20201,Future of Work:,1,False
tag,AI,consolidated,April 2020,20201,Healthcare,1,False
tag,AI,consolidated,undated version first captured 2022-03-02,20220,A.I.,2,False
tag,AI,consolidated,undated version first captured 2022-03-02,20220,Future of Work:,1,False
tag,AI,consolidated,undated version first captured 2022-03-02,20220,Healthcare,1,False
tag,AI,consolidated,undated version first captured 2022-07-01,20222,A.I.,2,False
tag,AI,consolidated,undated version first captured 2022-07-01,20222,Future of Work:,1,False
tag,AI,consolidated,undated version first captured 2022-07-01,20222,Healthcare,1,False
tag,AI,seasonal,Summer 2024,20242,A way to end cancer,1,False
tag,AI,seasonal,Summer 2024,20242,AI to build enterprise software,7,True
tag,AI,seasonal,Summer 2024,20242,Eliminating middlemen in healthcare,1,False
tag,AI,seasonal,Summer 2024,20242,Explainable AI,5,True
tag,AI,seasonal,Summer 2024,20242,Using machine learning to simulate the physical world,1,False
tag,AI,seasonal,Winter 2025,20250,AI-aided engineering tools,4,True
tag,AI,seasonal,Winter 2025,20250,Fintech 2.0,1,False
tag,AI,seasonal,Winter 2025,20250,Government software,2,False
tag,AI,seasonal,Winter 2025,20250,LLMs for chip design,2,False
tag,AI,seasonal,Winter 2025,20250,One million jobs 2.0,3,False
tag,AI,seasonal,Spring 2025,20251,A Secure AI App Store,7,True
tag,AI,seasonal,Spring 2025,20251,AI Coding Agents for Hardware-Optimized Code,5,True
tag,AI,seasonal,Spring 2025,20251,AI Commercial Open Source Software (AICOSS),4,True
tag,AI,seasonal,Spring 2025,20251,AI Personal Staff for Everyone,4,True
tag,AI,seasonal,Spring 2025,20251,B2A: Software Where the Customers Will All Be Agents,1,False
tag,AI,seasonal,Spring 2025,20251,Browser & Computer Automation,3,False
tag,AI,seasonal,Spring 2025,20251,Datacenters,1,False
tag,AI,seasonal,Spring 2025,20251,Devtools for AI Agents,7,True
tag,AI,seasonal,Spring 2025,20251,DocuSign 2.0,1,False
tag,AI,seasonal,Spring 2025,20251,Inference AI Infrastructure in the World of Test-Time Compute,4,True
tag,AI,seasonal,Spring 2025,20251,Vertical AI Agents,11,True
tag,AI,seasonal,Summer 2025,20252,AI Personal Assistant,3,True
tag,AI,seasonal,Summer 2025,20252,AI Personal Tutor for Everyone,4,True
tag,AI,seasonal,Summer 2025,20252,AI Research Labs,4,True
tag,AI,seasonal,Summer 2025,20252,AI Residential Security,5,True
tag,AI,seasonal,Summer 2025,20252,AI Voice Assistants for Email,1,True
tag,AI,seasonal,Summer 2025,20252,AI for Personal Finance,1,True
tag,AI,seasonal,Summer 2025,20252,AI for Scientific Advancement,2,True
tag,AI,seasonal,Summer 2025,20252,Full-stack AI Companies,5,True
tag,AI,seasonal,Summer 2025,20252,Healthcare AI,1,True
tag,AI,seasonal,Summer 2025,20252,Internal Agent Builder,1,False
tag,AI,seasonal,Summer 2025,20252,More Design Founders,2,False
tag,AI,seasonal,Summer 2025,20252,The Future of Education,2,False
tag,AI,seasonal,Summer 2025,20252,Voice AI,3,True
tag,AI,seasonal,Fall 2025,20253,AI Native Enterprise Software,4,True
tag,AI,seasonal,Fall 2025,20253,Infrastructure for Multi-Agent Systems,1,False
tag,AI,seasonal,Fall 2025,20253,Retraining Workers for the AI Economy,13,True
tag,AI,seasonal,Fall 2025,20253,"The First 10-person, $100B Company",2,False
tag,AI,seasonal,Fall 2025,20253,Video Generation as a Primitive,1,False
tag,AI,seasonal,Spring 2026,20261,AI Guidance for Physical Work,7,True
tag,AI,seasonal,Spring 2026,20261,AI for Government,3,True
tag,AI,seasonal,Spring 2026,20261,AI-Native Agencies,5,True
tag,AI,seasonal,Spring 2026,20261,AI-Native Hedge Funds,4,True
tag,AI,seasonal,Spring 2026,20261,Cursor for Product Managers,3,False
tag,AI,seasonal,Spring 2026,20261,Modern Metal Mills,1,False
tag,AI,seasonal,Spring 2026,20261,Infra for Government Fraud Hunters,1,False
tag,AI,seasonal,Spring 2026,20261,Large Spatial Models,5,False
tag,AI,seasonal,Spring 2026,20261,Make LLMs Easy to Train,1,False
tag,AI,seasonal,Summer 2026,20262,AI Personalized Medicine,1,True
tag,AI,seasonal,Summer 2026,20262,AI for Low-Pesticide Agriculture,3,True
tag,AI,seasonal,Summer 2026,20262,AI-Native Discovery Engines,2,True
tag,AI,seasonal,Summer 2026,20262,AI-Native Service Companies,5,True
tag,AI,seasonal,Summer 2026,20262,Company Brain,6,False
tag,AI,seasonal,Summer 2026,20262,Dynamic Software Interfaces,1,False
tag,AI,seasonal,Summer 2026,20262,Inference Chips for Agent Workflows,2,False
tag,AI,seasonal,Summer 2026,20262,SaaS Challengers,4,False
tag,AI,seasonal,Summer 2026,20262,Software for Agents,1,False
tag,AI,seasonal,Summer 2026,20262,Startups That Want to Sell to Huge Companies,4,False
tag,AI,seasonal,Summer 2026,20262,Supply Chain 2.0 for Semiconductors,2,False
tag,AI,seasonal,Summer 2026,20262,The AI Operating System for Companies,3,True
tag,AI,seasonal,Fall 2026,20263,AI for the Aging Population,2,True
tag,AI,seasonal,Fall 2026,20263,AI-Native Compliance Infrastructure,4,True
tag,AI,seasonal,Fall 2026,20263,AI-Powered Consumer Products for 1 Billion People,3,True
tag,AI,seasonal,Fall 2026,20263,Data for the Real World,2,False
tag,AI,seasonal,Fall 2026,20263,Multiplayer AI,5,True
tag,AI,seasonal,Fall 2026,20263,New Operating Systems for the Physical World,2,False
tag,AI,seasonal,Fall 2026,20263,The Primer,2,False
tag,API,essays,RFS 4,20090,New Ways to Use Live Video,3,False
tag,API,essays,RFS 10,20140,Breakthrough Technologies,2,False
tag,API,consolidated,March 2014,20140,Internet Infrastructure,2,False
tag,API,consolidated,July 2014,20142,Internet Infrastructure,2,False
tag,API,consolidated,September 2014,20142,Internet Infrastructure,2,False
tag,API,consolidated,August 2015,20152,Internet Infrastructure,2,False
tag,API,seasonal,Spring 2025,20251,Browser & Computer Automation,1,False
tag,API,seasonal,Spring 2025,20251,Inference AI Infrastructure in the World of Test-Time Compute,1,False
tag,API,seasonal,Summer 2025,20252,AI for Personal Finance,1,False
tag,API,seasonal,Fall 2026,20263,Self-Maintaining APIs,5,False
tag,APIs,seasonal,Spring 2025,20251,A Secure AI App Store,1,False
tag,APIs,seasonal,Spring 2025,20251,B2A: Software Where the Customers Will All Be Agents,1,False
tag,APIs,seasonal,Spring 2025,20251,Devtools for AI Agents,1,False
tag,APIs,seasonal,Summer 2025,20252,Healthcare AI,1,False
tag,APIs,seasonal,Fall 2025,20253,Video Generation as a Primitive,1,False
tag,APIs,seasonal,Spring 2026,20261,Make LLMs Easy to Train,1,False
tag,APIs,seasonal,Summer 2026,20262,Software for Agents,1,False
tag,APIs,seasonal,Fall 2026,20263,Self-Maintaining APIs,2,True
tag,AR,consolidated,September 2014,20142,VR and AR,1,True
tag,AR,consolidated,August 2015,20152,VR and AR,1,True
tag,AR,consolidated,September 2016,20162,VR and AR,1,True
tag,AR,consolidated,March 2018,20180,VR and AR,1,True
tag,AR,consolidated,April 2020,20201,VR and AR,1,True
tag,AR,consolidated,undated version first captured 2022-03-02,20220,VR and AR,1,True
tag,AR,consolidated,undated version first captured 2022-07-01,20222,VR and AR,1,True
tag,AR,seasonal,Summer 2024,20242,Spatial computing,1,False
tag,AR,seasonal,Fall 2025,20253,Retraining Workers for the AI Economy,1,False
tag,Aerospace,seasonal,Winter 2025,20250,AI-aided engineering tools,1,False
tag,Agriculture,consolidated,September 2016,20162,Food and Farming:,1,False
tag,Agriculture,consolidated,March 2018,20180,Bio,1,False
tag,Agriculture,consolidated,March 2018,20180,Cellular Agriculture and Clean Meat,2,True
tag,Agriculture,consolidated,April 2020,20201,Bio,1,False
tag,Agriculture,consolidated,April 2020,20201,Cellular Agriculture and Clean Meat,2,True
tag,Agriculture,consolidated,undated version first captured 2022-03-02,20220,Bio,1,False
tag,Agriculture,consolidated,undated version first captured 2022-03-02,20220,Cellular Agriculture and Clean Meat,2,True
tag,Agriculture,consolidated,undated version first captured 2022-07-01,20222,Bio,1,False
tag,Agriculture,consolidated,undated version first captured 2022-07-01,20222,Cellular Agriculture and Clean Meat,2,True
tag,Agriculture,seasonal,Summer 2026,20262,AI for Low-Pesticide Agriculture,3,True
tag,Agriculture,seasonal,Fall 2026,20263,Data for the Real World,1,False
tag,Airplanes,seasonal,Summer 2024,20242,Using machine learning to simulate the physical world,1,False
tag,Anti-Aging,consolidated,March 2018,20180,Longevity and Anti-aging,1,True
tag,Anti-Aging,consolidated,April 2020,20201,Longevity and Anti-aging,1,True
tag,Anti-Aging,consolidated,undated version first captured 2022-03-02,20220,Longevity and Anti-aging,1,True
