label_type,label,era,edition_label,edition_order,requests_mentioning,mentions,in_title_any,batches_before,share_before_pct,batches_after,share_after_pct,pp_change_after_minus_before
industry,B2B,seasonal,Summer 2024,20242,2,2,False,Summer 2023|Winter 2024,65.997,Summer 2024|Fall 2024,62.577,-3.42
industry,B2B,seasonal,Spring 2025,20251,1,4,False,Fall 2024|Winter 2025,61.645,Spring 2025|Summer 2025,67.651,6.006
industry,B2B,seasonal,Summer 2025,20252,1,1,False,Winter 2025|Spring 2025,65.242,Summer 2025|Fall 2025,64.215,-1.027
industry,B2B,seasonal,Fall 2025,20253,1,1,False,Spring 2025|Summer 2025,67.651,Fall 2025|Winter 2026,62.138,-5.513
industry,Consumer,consolidated,March 2018,20180,2,3,False,,,Winter 2021|Summer 2021,10.79,
industry,Consumer,consolidated,April 2020,20201,1,1,False,,,Winter 2021|Summer 2021,10.79,
industry,Consumer,consolidated,undated version first captured 2022-03-02,20220,1,1,False,Winter 2021|Summer 2021,10.79,Winter 2022|Summer 2022,9.475,-1.315
industry,Consumer,consolidated,undated version first captured 2022-07-01,20222,1,1,False,Summer 2021|Winter 2022,9.761,Summer 2022|Winter 2023,8.533,-1.228
industry,Consumer,seasonal,Summer 2024,20242,4,4,False,Summer 2023|Winter 2024,7.691,Summer 2024|Fall 2024,9.681,1.99
industry,Consumer,seasonal,Summer 2025,20252,1,1,False,Winter 2025|Spring 2025,5.159,Summer 2025|Fall 2025,9.437,4.278
industry,Consumer,seasonal,Fall 2026,20263,2,6,True,Spring 2026|Summer 2026,5.674,,,
industry,Education,essays,RFS 6,20100,1,1,False,,,Winter 2021|Summer 2021,3.853,
industry,Education,consolidated,March 2014,20140,1,3,True,,,Winter 2021|Summer 2021,3.853,
industry,Education,essays,RFS 10,20140,1,3,False,,,Winter 2021|Summer 2021,3.853,
industry,Education,consolidated,July 2014,20142,1,3,True,,,Winter 2021|Summer 2021,3.853,
industry,Education,consolidated,September 2014,20142,1,3,True,,,Winter 2021|Summer 2021,3.853,
industry,Education,consolidated,August 2015,20152,1,3,True,,,Winter 2021|Summer 2021,3.853,
industry,Education,consolidated,September 2016,20162,1,3,True,,,Winter 2021|Summer 2021,3.853,
industry,Education,consolidated,March 2018,20180,2,6,True,,,Winter 2021|Summer 2021,3.853,
industry,Education,consolidated,April 2020,20201,2,6,True,,,Winter 2021|Summer 2021,3.853,
industry,Education,consolidated,undated version first captured 2022-03-02,20220,2,6,True,Winter 2021|Summer 2021,3.853,Winter 2022|Summer 2022,1.218,-2.635
