subindustry,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
B2B,20,43,35,28,45,40,48,46,14,35,30,34,30,46,37,41,6,0
B2B -> Analytics,5,12,11,3,9,6,8,3,0,3,3,6,1,3,2,5,0,0
"B2B -> Engineering, Product and Design",32,29,27,19,45,32,41,41,16,24,24,25,22,18,17,14,5,0
B2B -> Finance and Accounting,13,15,7,9,13,6,2,7,2,5,4,2,5,5,2,6,0,0
B2B -> Human Resources,4,14,9,4,1,1,1,3,0,1,0,1,1,0,0,0,1,0
B2B -> Infrastructure,13,8,18,15,16,11,13,11,6,8,9,14,7,23,18,25,4,0
B2B -> Legal,2,2,2,1,3,5,3,5,2,4,4,2,2,6,2,1,1,0
B2B -> Marketing,8,12,13,7,5,4,3,4,2,1,1,3,7,1,8,1,0,0
B2B -> Office Management,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
B2B -> Operations,19,3,9,6,14,6,9,9,4,3,2,3,3,6,8,6,0,1
B2B -> Productivity,12,9,11,10,5,10,7,10,3,7,4,7,2,6,8,4,1,0
B2B -> Recruiting and Talent,6,2,2,2,0,2,1,0,1,5,0,0,0,1,3,1,0,0
B2B -> Retail,9,5,5,1,3,5,1,5,1,0,2,1,1,0,1,1,0,0
B2B -> Sales,5,8,8,11,11,11,8,3,4,5,2,5,4,2,2,2,0,0
B2B -> Security,4,9,10,2,8,6,5,4,1,2,8,3,3,6,3,7,0,0
B2B -> Supply Chain and Logistics,10,9,12,3,5,7,6,8,1,1,4,6,1,3,3,8,0,0
Consumer,7,18,15,8,12,5,16,11,7,5,5,9,10,3,7,6,1,0
Consumer -> Apparel and Cosmetics,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Consumer -> Consumer Electronics,1,0,2,0,0,0,2,0,1,1,1,0,1,2,2,0,2,0
Consumer -> Content,4,3,8,1,4,1,7,3,1,1,0,2,3,0,1,2,0,0
Consumer -> Food and Beverage,9,10,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Consumer -> Gaming,1,2,1,4,1,0,0,2,0,0,1,0,2,3,2,2,0,0
Consumer -> Home and Personal,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumer -> Job and Career Services,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Consumer -> Social,2,1,3,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0
Consumer -> Transportation Services,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Consumer -> Travel, Leisure and Tourism",0,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0
Consumer -> Virtual and Augmented Reality,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Education,13,15,8,1,3,3,3,1,1,5,3,2,0,0,0,1,0,0
Fintech,5,21,38,23,14,9,6,3,4,3,1,3,2,8,3,6,0,0
Fintech -> Asset Management,4,6,7,2,3,0,2,3,0,0,0,0,0,0,5,3,0,0
Fintech -> Banking and Exchange,8,5,3,3,2,0,1,1,0,2,2,0,0,2,1,1,0,0
Fintech -> Consumer Finance,7,8,7,2,5,1,1,0,1,2,1,2,2,2,3,1,0,0
Fintech -> Credit and Lending,11,7,11,1,3,1,1,1,0,0,1,1,0,2,1,0,0,0
Fintech -> Insurance,5,2,8,3,0,2,3,2,1,3,2,2,3,2,5,5,3,0
Fintech -> Payments,11,14,16,9,5,3,4,2,0,2,0,1,1,2,3,0,0,0
Government,1,1,1,0,1,0,1,4,1,4,2,1,2,0,1,2,1,0
Healthcare,3,11,6,5,4,5,8,7,6,3,3,3,6,5,5,12,0,0
Healthcare -> Consumer Health and Wellness,8,16,8,3,1,5,3,1,1,1,2,0,2,1,2,2,0,0
Healthcare -> Diagnostics,3,7,3,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0
Healthcare -> Drug Discovery and Delivery,0,9,2,1,7,2,0,2,0,0,0,2,1,4,1,3,0,0
Healthcare -> Healthcare IT,13,3,6,7,6,9,9,7,2,4,4,5,2,4,1,1,0,0
Healthcare -> Healthcare Services,3,3,8,1,2,3,1,1,0,1,2,0,0,2,4,2,0,0
Healthcare -> Industrial Bio,2,1,2,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0
Healthcare -> Medical Devices,3,8,6,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0
Healthcare -> Therapeutics,6,6,3,5,1,0,6,2,0,2,0,1,0,0,1,1,0,0
Industrials,1,0,2,1,3,1,0,5,0,2,2,3,0,6,1,14,0,0
Industrials -> Agriculture,0,2,1,0,0,2,0,0,0,2,0,1,0,1,0,1,0,0
Industrials -> Automotive,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Industrials -> Aviation and Space,6,5,3,4,2,1,4,3,3,4,2,0,1,4,2,3,1,0
Industrials -> Climate,3,5,10,5,0,1,0,4,0,0,1,0,0,1,0,2,0,0
Industrials -> Defense,1,0,0,0,0,0,1,0,0,1,0,2,2,2,6,9,0,0
Industrials -> Drones,0,2,1,0,0,0,0,2,0,1,0,0,0,2,1,0,1,0
Industrials -> Energy,5,3,2,2,1,1,1,2,0,2,1,0,1,6,2,3,1,0
Industrials -> Manufacturing and Robotics,5,2,3,2,0,0,4,9,1,7,9,7,10,6,13,24,5,0
Real Estate and Construction,0,0,4,3,2,2,0,2,1,0,0,3,0,2,2,0,0,0
Real Estate and Construction -> Construction,2,4,4,2,1,3,2,0,3,2,1,0,2,1,2,3,0,0
Real Estate and Construction -> Housing and Real Estate,4,4,6,4,1,1,1,2,0,0,0,1,3,0,0,3,0,0
