subindustry,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
B2B,5.952,10.997,8.794,11.966,16.423,18.182,19.355,18.548,14.894,21.084,20.979,20.482,20.548,23.116,18.974,17.447,17.143,0.0
B2B -> Analytics,1.488,3.069,2.764,1.282,3.285,2.727,3.226,1.21,0.0,1.807,2.098,3.614,0.685,1.508,1.026,2.128,0.0,0.0
"B2B -> Engineering, Product and Design",9.524,7.417,6.784,8.12,16.423,14.545,16.532,16.532,17.021,14.458,16.783,15.06,15.068,9.045,8.718,5.957,14.286,0.0
B2B -> Finance and Accounting,3.869,3.836,1.759,3.846,4.745,2.727,0.806,2.823,2.128,3.012,2.797,1.205,3.425,2.513,1.026,2.553,0.0,0.0
B2B -> Human Resources,1.19,3.581,2.261,1.709,0.365,0.455,0.403,1.21,0.0,0.602,0.0,0.602,0.685,0.0,0.0,0.0,2.857,0.0
B2B -> Infrastructure,3.869,2.046,4.523,6.41,5.839,5.0,5.242,4.435,6.383,4.819,6.294,8.434,4.795,11.558,9.231,10.638,11.429,0.0
B2B -> Legal,0.595,0.512,0.503,0.427,1.095,2.273,1.21,2.016,2.128,2.41,2.797,1.205,1.37,3.015,1.026,0.426,2.857,0.0
B2B -> Marketing,2.381,3.069,3.266,2.991,1.825,1.818,1.21,1.613,2.128,0.602,0.699,1.807,4.795,0.503,4.103,0.426,0.0,0.0
B2B -> Office Management,0.0,0.256,0.0,0.0,0.365,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2B -> Operations,5.655,0.767,2.261,2.564,5.109,2.727,3.629,3.629,4.255,1.807,1.399,1.807,2.055,3.015,4.103,2.553,0.0,100.0
B2B -> Productivity,3.571,2.302,2.764,4.274,1.825,4.545,2.823,4.032,3.191,4.217,2.797,4.217,1.37,3.015,4.103,1.702,2.857,0.0
B2B -> Recruiting and Talent,1.786,0.512,0.503,0.855,0.0,0.909,0.403,0.0,1.064,3.012,0.0,0.0,0.0,0.503,1.538,0.426,0.0,0.0
B2B -> Retail,2.679,1.279,1.256,0.427,1.095,2.273,0.403,2.016,1.064,0.0,1.399,0.602,0.685,0.0,0.513,0.426,0.0,0.0
B2B -> Sales,1.488,2.046,2.01,4.701,4.015,5.0,3.226,1.21,4.255,3.012,1.399,3.012,2.74,1.005,1.026,0.851,0.0,0.0
B2B -> Security,1.19,2.302,2.513,0.855,2.92,2.727,2.016,1.613,1.064,1.205,5.594,1.807,2.055,3.015,1.538,2.979,0.0,0.0
B2B -> Supply Chain and Logistics,2.976,2.302,3.015,1.282,1.825,3.182,2.419,3.226,1.064,0.602,2.797,3.614,0.685,1.508,1.538,3.404,0.0,0.0
Consumer,2.083,4.604,3.769,3.419,4.38,2.273,6.452,4.435,7.447,3.012,3.497,5.422,6.849,1.508,3.59,2.553,2.857,0.0
Consumer -> Apparel and Cosmetics,0.893,0.256,0.251,0.855,0.365,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumer -> Consumer Electronics,0.298,0.0,0.503,0.0,0.0,0.0,0.806,0.0,1.064,0.602,0.699,0.0,0.685,1.005,1.026,0.0,5.714,0.0
Consumer -> Content,1.19,0.767,2.01,0.427,1.46,0.455,2.823,1.21,1.064,0.602,0.0,1.205,2.055,0.0,0.513,0.851,0.0,0.0
Consumer -> Food and Beverage,2.679,2.558,1.256,2.137,0.365,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857,0.0
Consumer -> Gaming,0.298,0.512,0.251,1.709,0.365,0.0,0.0,0.806,0.0,0.0,0.699,0.0,1.37,1.508,1.026,0.851,0.0,0.0
Consumer -> Home and Personal,2.083,0.767,0.251,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumer -> Job and Career Services,0.893,0.0,0.0,0.427,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.426,0.0,0.0
Consumer -> Social,0.595,0.256,0.754,0.0,0.0,0.0,0.806,0.0,1.064,0.0,0.0,0.602,0.685,0.0,0.0,0.0,0.0,0.0
Consumer -> Transportation Services,0.298,0.0,0.0,0.427,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Consumer -> Travel, Leisure and Tourism",0.0,0.256,0.251,0.0,0.0,0.909,0.403,0.403,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857,0.0
Consumer -> Virtual and Augmented Reality,0.298,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education,3.869,3.836,2.01,0.427,1.095,1.364,1.21,0.403,1.064,3.012,2.098,1.205,0.0,0.0,0.0,0.426,0.0,0.0
Fintech,1.488,5.371,9.548,9.829,5.109,4.091,2.419,1.21,4.255,1.807,0.699,1.807,1.37,4.02,1.538,2.553,0.0,0.0
Fintech -> Asset Management,1.19,1.535,1.759,0.855,1.095,0.0,0.806,1.21,0.0,0.0,0.0,0.0,0.0,0.0,2.564,1.277,0.0,0.0
Fintech -> Banking and Exchange,2.381,1.279,0.754,1.282,0.73,0.0,0.403,0.403,0.0,1.205,1.399,0.0,0.0,1.005,0.513,0.426,0.0,0.0
Fintech -> Consumer Finance,2.083,2.046,1.759,0.855,1.825,0.455,0.403,0.0,1.064,1.205,0.699,1.205,1.37,1.005,1.538,0.426,0.0,0.0
