subindustry,rank_earliest_year,rank_latest,rank_change,earliest_year_share_pct,latest_share_pct,pp_change,earliest_year_count,latest_count,latest_full_batch,major_mover
B2B,1,1,0,8.666,17.447,8.781,63,41,Summer 2026,True
B2B -> Infrastructure,10,2,8,2.889,10.638,7.749,21,25,Summer 2026,True
Industrials -> Manufacturing and Robotics,36,3,33,0.963,10.213,9.25,7,24,Summer 2026,True
"B2B -> Engineering, Product and Design",2,4,-2,8.391,5.957,-2.434,61,14,Summer 2026,False
Industrials,51,4,47,0.138,5.957,5.819,1,14,Summer 2026,True
Healthcare,20,6,14,1.926,5.106,3.18,14,12,Summer 2026,True
Industrials -> Defense,51,7,44,0.138,3.83,3.692,1,9,Summer 2026,True
B2B -> Supply Chain and Logistics,13,8,5,2.613,3.404,0.791,19,8,Summer 2026,True
B2B -> Security,22,9,13,1.788,2.979,1.191,13,7,Summer 2026,True
B2B -> Finance and Accounting,3,10,-7,3.851,2.553,-1.298,28,6,Summer 2026,True
B2B -> Operations,9,10,-1,3.026,2.553,-0.473,22,6,Summer 2026,False
Consumer,6,10,-4,3.439,2.553,-0.886,25,6,Summer 2026,False
Fintech,5,10,-5,3.576,2.553,-1.023,26,6,Summer 2026,True
Fintech -> Insurance,36,14,22,0.963,2.128,1.165,7,5,Summer 2026,True
B2B -> Analytics,17,14,3,2.338,2.128,-0.21,17,5,Summer 2026,False
B2B -> Productivity,10,16,-6,2.889,1.702,-1.187,21,4,Summer 2026,True
Fintech -> Asset Management,28,17,11,1.376,1.277,-0.099,10,3,Summer 2026,True
Healthcare -> Drug Discovery and Delivery,31,17,14,1.238,1.277,0.039,9,3,Summer 2026,True
Industrials -> Energy,32,17,15,1.1,1.277,0.177,8,3,Summer 2026,True
Real Estate and Construction -> Construction,39,17,22,0.825,1.277,0.452,6,3,Summer 2026,True
Real Estate and Construction -> Housing and Real Estate,32,17,15,1.1,1.277,0.177,8,3,Summer 2026,True
Industrials -> Aviation and Space,26,17,9,1.513,1.277,-0.236,11,3,Summer 2026,True
B2B -> Sales,22,23,-1,1.788,0.851,-0.937,13,2,Summer 2026,False
Consumer -> Content,36,23,13,0.963,0.851,-0.112,7,2,Summer 2026,True
Consumer -> Gaming,43,23,20,0.413,0.851,0.438,3,2,Summer 2026,True
Healthcare -> Healthcare Services,39,23,16,0.825,0.851,0.026,6,2,Summer 2026,True
Healthcare -> Consumer Health and Wellness,8,23,-15,3.301,0.851,-2.45,24,2,Summer 2026,True
Government,48,23,25,0.275,0.851,0.576,2,2,Summer 2026,True
Industrials -> Climate,32,23,9,1.1,0.851,-0.249,8,2,Summer 2026,True
Fintech -> Banking and Exchange,22,30,-8,1.788,0.426,-1.362,13,1,Summer 2026,True
Healthcare -> Healthcare IT,18,30,-12,2.201,0.426,-1.775,16,1,Summer 2026,True
Healthcare -> Therapeutics,25,30,-5,1.651,0.426,-1.225,12,1,Summer 2026,True
Industrials -> Agriculture,48,30,18,0.275,0.426,0.151,2,1,Summer 2026,True
Education,3,30,-27,3.851,0.426,-3.425,28,1,Summer 2026,True
B2B -> Recruiting and Talent,32,30,2,1.1,0.426,-0.674,8,1,Summer 2026,False
B2B -> Legal,41,30,11,0.55,0.426,-0.124,4,1,Summer 2026,True
B2B -> Retail,20,30,-10,1.926,0.426,-1.5,14,1,Summer 2026,True
Consumer -> Job and Career Services,43,30,13,0.413,0.426,0.013,3,1,Summer 2026,True
B2B -> Marketing,12,30,-18,2.751,0.426,-2.325,20,1,Summer 2026,True
Fintech -> Consumer Finance,19,30,-11,2.063,0.426,-1.637,15,1,Summer 2026,True
B2B -> Human Resources,15,41,-26,2.476,0.0,-2.476,18,0,Summer 2026,True
B2B -> Office Management,51,41,10,0.138,0.0,-0.138,1,0,Summer 2026,True
Consumer -> Transportation Services,51,41,10,0.138,0.0,-0.138,1,0,Summer 2026,True
Consumer -> Social,43,41,2,0.413,0.0,-0.413,3,0,Summer 2026,False
Consumer -> Home and Personal,28,41,-13,1.376,0.0,-1.376,10,0,Summer 2026,True
Consumer -> Food and Beverage,13,41,-28,2.613,0.0,-2.613,19,0,Summer 2026,True
Consumer -> Consumer Electronics,51,41,10,0.138,0.0,-0.138,1,0,Summer 2026,True
Consumer -> Apparel and Cosmetics,41,41,0,0.55,0.0,-0.55,4,0,Summer 2026,False
Consumer -> Virtual and Augmented Reality,51,41,10,0.138,0.0,-0.138,1,0,Summer 2026,True
Fintech -> Credit and Lending,15,41,-26,2.476,0.0,-2.476,18,0,Summer 2026,True
Healthcare -> Diagnostics,28,41,-13,1.376,0.0,-1.376,10,0,Summer 2026,True
Fintech -> Payments,6,41,-35,3.439,0.0,-3.439,25,0,Summer 2026,True
"Consumer -> Travel, Leisure and Tourism",51,41,10,0.138,0.0,-0.138,1,0,Summer 2026,True
Healthcare -> Industrial Bio,43,41,2,0.413,0.0,-0.413,3,0,Summer 2026,False
Industrials -> Automotive,43,41,2,0.413,0.0,-0.413,3,0,Summer 2026,False
Healthcare -> Medical Devices,26,41,-15,1.513,0.0,-1.513,11,0,Summer 2026,True
Industrials -> Drones,48,41,7,0.275,0.0,-0.275,2,0,Summer 2026,True
Real Estate and Construction,58,41,17,0.0,0.0,0.0,0,0,Summer 2026,True
