subindustry,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
B2B,578,Winter 2021,Fall 2026,17,Winter 2026,46,23.116,2021,63,8.666,5.952,Summer 2026,41,17.447,21,9.5,8.781,19.846,16.734,False,False,8.474,18.21,18.365,0.284,Emerging,1,1,0
B2B -> Infrastructure,219,Winter 2021,Fall 2026,17,Winter 2026,23,11.558,2021,21,2.889,3.869,Summer 2026,25,10.638,12,14.5,7.749,10.476,6.22,False,False,2.958,9.934,5.54,0.397,Emerging,2,10,8
Industrials -> Manufacturing and Robotics,107,Winter 2021,Fall 2026,15,Summer 2026,24,10.213,2021,7,0.963,1.488,Summer 2026,24,10.213,19,20.5,9.25,6.632,3.212,False,False,1.0,8.44,2.314,0.906,Emerging,3,36,33
"B2B -> Engineering, Product and Design",431,Winter 2021,Fall 2026,17,Fall 2024,16,17.021,2021,61,8.391,9.524,Summer 2026,14,5.957,-18,-16.5,-2.434,7.907,12.374,False,True,8.47,7.338,14.502,0.328,Persistent,4,2,-2
Industrials,41,Winter 2021,Summer 2026,12,Summer 2026,14,5.957,2021,1,0.138,0.298,Summer 2026,14,5.957,13,13.5,5.819,3.162,1.168,False,False,0.149,3.235,0.508,1.278,Emerging,4,51,47
Healthcare,92,Winter 2021,Summer 2026,16,Fall 2024,6,6.383,2021,14,1.926,0.893,Summer 2026,12,5.106,9,5.0,3.18,3.394,2.72,False,False,1.853,3.835,2.393,0.507,Low-volume / mixed,6,20,14
Industrials -> Defense,24,Winter 2021,Summer 2026,8,Summer 2026,9,3.83,2021,1,0.138,0.298,Summer 2026,9,3.83,8,8.5,3.692,2.637,0.737,False,False,0.149,3.454,0.149,1.532,Emerging,7,51,44
B2B -> Supply Chain and Logistics,87,Winter 2021,Summer 2026,16,Summer 2025,6,3.614,2021,19,2.613,2.976,Summer 2026,8,3.404,-2,-1.5,0.791,2.15,2.215,False,False,2.639,2.471,2.361,0.44,Low-volume / mixed,8,13,5
B2B -> Security,81,Winter 2021,Summer 2026,16,Spring 2025,8,5.594,2021,13,1.788,1.19,Summer 2026,7,2.979,3,0.5,1.191,2.511,2.212,False,False,1.746,2.259,2.035,0.503,Low-volume / mixed,9,22,13
B2B -> Finance and Accounting,103,Winter 2021,Summer 2026,16,Winter 2023,13,4.745,2021,28,3.851,3.869,Summer 2026,6,2.553,-7,-8.0,-1.298,2.031,2.692,False,False,3.853,1.789,2.762,0.402,Declining,10,3,-7
