subindustry,batch,count,share_pct,batch_code,year,batch_order,total_companies,is_partial_batch
B2B,Winter 2021,20,5.952,W21,2021,20210,336,False
B2B,Summer 2021,43,10.997,S21,2021,20212,391,False
B2B,Winter 2022,35,8.794,W22,2022,20220,398,False
B2B,Summer 2022,28,11.966,S22,2022,20222,234,False
B2B,Winter 2023,45,16.423,W23,2023,20230,274,False
B2B,Summer 2023,40,18.182,S23,2023,20232,220,False
B2B,Winter 2024,48,19.355,W24,2024,20240,248,False
B2B,Summer 2024,46,18.548,S24,2024,20242,248,False
B2B,Fall 2024,14,14.894,F24,2024,20243,94,False
B2B,Winter 2025,35,21.084,W25,2025,20250,166,False
B2B,Spring 2025,30,20.979,X25,2025,20251,143,False
B2B,Summer 2025,34,20.482,S25,2025,20252,166,False
B2B,Fall 2025,30,20.548,F25,2025,20253,146,False
B2B,Winter 2026,46,23.116,W26,2026,20260,199,False
B2B,Spring 2026,37,18.974,X26,2026,20261,195,False
B2B,Summer 2026,41,17.447,S26,2026,20262,235,False
B2B,Fall 2026,6,17.143,F26,2026,20263,35,True
B2B,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Analytics,Winter 2021,5,1.488,W21,2021,20210,336,False
B2B -> Analytics,Summer 2021,12,3.069,S21,2021,20212,391,False
B2B -> Analytics,Winter 2022,11,2.764,W22,2022,20220,398,False
B2B -> Analytics,Summer 2022,3,1.282,S22,2022,20222,234,False
B2B -> Analytics,Winter 2023,9,3.285,W23,2023,20230,274,False
B2B -> Analytics,Summer 2023,6,2.727,S23,2023,20232,220,False
B2B -> Analytics,Winter 2024,8,3.226,W24,2024,20240,248,False
B2B -> Analytics,Summer 2024,3,1.21,S24,2024,20242,248,False
B2B -> Analytics,Fall 2024,0,0.0,F24,2024,20243,94,False
B2B -> Analytics,Winter 2025,3,1.807,W25,2025,20250,166,False
B2B -> Analytics,Spring 2025,3,2.098,X25,2025,20251,143,False
B2B -> Analytics,Summer 2025,6,3.614,S25,2025,20252,166,False
B2B -> Analytics,Fall 2025,1,0.685,F25,2025,20253,146,False
B2B -> Analytics,Winter 2026,3,1.508,W26,2026,20260,199,False
B2B -> Analytics,Spring 2026,2,1.026,X26,2026,20261,195,False
B2B -> Analytics,Summer 2026,5,2.128,S26,2026,20262,235,False
B2B -> Analytics,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Analytics,Winter 2027,0,0.0,W27,2027,20270,1,True
"B2B -> Engineering, Product and Design",Winter 2021,32,9.524,W21,2021,20210,336,False
"B2B -> Engineering, Product and Design",Summer 2021,29,7.417,S21,2021,20212,391,False
"B2B -> Engineering, Product and Design",Winter 2022,27,6.784,W22,2022,20220,398,False
"B2B -> Engineering, Product and Design",Summer 2022,19,8.12,S22,2022,20222,234,False
"B2B -> Engineering, Product and Design",Winter 2023,45,16.423,W23,2023,20230,274,False
"B2B -> Engineering, Product and Design",Summer 2023,32,14.545,S23,2023,20232,220,False
"B2B -> Engineering, Product and Design",Winter 2024,41,16.532,W24,2024,20240,248,False
"B2B -> Engineering, Product and Design",Summer 2024,41,16.532,S24,2024,20242,248,False
"B2B -> Engineering, Product and Design",Fall 2024,16,17.021,F24,2024,20243,94,False
"B2B -> Engineering, Product and Design",Winter 2025,24,14.458,W25,2025,20250,166,False
"B2B -> Engineering, Product and Design",Spring 2025,24,16.783,X25,2025,20251,143,False
"B2B -> Engineering, Product and Design",Summer 2025,25,15.06,S25,2025,20252,166,False
"B2B -> Engineering, Product and Design",Fall 2025,22,15.068,F25,2025,20253,146,False
"B2B -> Engineering, Product and Design",Winter 2026,18,9.045,W26,2026,20260,199,False
"B2B -> Engineering, Product and Design",Spring 2026,17,8.718,X26,2026,20261,195,False
"B2B -> Engineering, Product and Design",Summer 2026,14,5.957,S26,2026,20262,235,False
"B2B -> Engineering, Product and Design",Fall 2026,5,14.286,F26,2026,20263,35,True
"B2B -> Engineering, Product and Design",Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Finance and Accounting,Winter 2021,13,3.869,W21,2021,20210,336,False
B2B -> Finance and Accounting,Summer 2021,15,3.836,S21,2021,20212,391,False
B2B -> Finance and Accounting,Winter 2022,7,1.759,W22,2022,20220,398,False
B2B -> Finance and Accounting,Summer 2022,9,3.846,S22,2022,20222,234,False
B2B -> Finance and Accounting,Winter 2023,13,4.745,W23,2023,20230,274,False
B2B -> Finance and Accounting,Summer 2023,6,2.727,S23,2023,20232,220,False
B2B -> Finance and Accounting,Winter 2024,2,0.806,W24,2024,20240,248,False
B2B -> Finance and Accounting,Summer 2024,7,2.823,S24,2024,20242,248,False
B2B -> Finance and Accounting,Fall 2024,2,2.128,F24,2024,20243,94,False
B2B -> Finance and Accounting,Winter 2025,5,3.012,W25,2025,20250,166,False
B2B -> Finance and Accounting,Spring 2025,4,2.797,X25,2025,20251,143,False
B2B -> Finance and Accounting,Summer 2025,2,1.205,S25,2025,20252,166,False
B2B -> Finance and Accounting,Fall 2025,5,3.425,F25,2025,20253,146,False
B2B -> Finance and Accounting,Winter 2026,5,2.513,W26,2026,20260,199,False
B2B -> Finance and Accounting,Spring 2026,2,1.026,X26,2026,20261,195,False
B2B -> Finance and Accounting,Summer 2026,6,2.553,S26,2026,20262,235,False
B2B -> Finance and Accounting,Fall 2026,0,0.0,F26,2026,20263,35,True
B2B -> Finance and Accounting,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Human Resources,Winter 2021,4,1.19,W21,2021,20210,336,False
B2B -> Human Resources,Summer 2021,14,3.581,S21,2021,20212,391,False
B2B -> Human Resources,Winter 2022,9,2.261,W22,2022,20220,398,False
B2B -> Human Resources,Summer 2022,4,1.709,S22,2022,20222,234,False
B2B -> Human Resources,Winter 2023,1,0.365,W23,2023,20230,274,False
B2B -> Human Resources,Summer 2023,1,0.455,S23,2023,20232,220,False
B2B -> Human Resources,Winter 2024,1,0.403,W24,2024,20240,248,False
B2B -> Human Resources,Summer 2024,3,1.21,S24,2024,20242,248,False
B2B -> Human Resources,Fall 2024,0,0.0,F24,2024,20243,94,False
B2B -> Human Resources,Winter 2025,1,0.602,W25,2025,20250,166,False
B2B -> Human Resources,Spring 2025,0,0.0,X25,2025,20251,143,False
B2B -> Human Resources,Summer 2025,1,0.602,S25,2025,20252,166,False
B2B -> Human Resources,Fall 2025,1,0.685,F25,2025,20253,146,False
B2B -> Human Resources,Winter 2026,0,0.0,W26,2026,20260,199,False
B2B -> Human Resources,Spring 2026,0,0.0,X26,2026,20261,195,False
B2B -> Human Resources,Summer 2026,0,0.0,S26,2026,20262,235,False
B2B -> Human Resources,Fall 2026,1,2.857,F26,2026,20263,35,True
B2B -> Human Resources,Winter 2027,0,0.0,W27,2027,20270,1,True
B2B -> Infrastructure,Winter 2021,13,3.869,W21,2021,20210,336,False
B2B -> Infrastructure,Summer 2021,8,2.046,S21,2021,20212,391,False
B2B -> Infrastructure,Winter 2022,18,4.523,W22,2022,20220,398,False
B2B -> Infrastructure,Summer 2022,15,6.41,S22,2022,20222,234,False
B2B -> Infrastructure,Winter 2023,16,5.839,W23,2023,20230,274,False
B2B -> Infrastructure,Summer 2023,11,5.0,S23,2023,20232,220,False
B2B -> Infrastructure,Winter 2024,13,5.242,W24,2024,20240,248,False
