tag,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
3D Printing,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AI,28,38,54,48,63,61,78,86,34,42,45,43,47,15,13,74,9,0
AI Assistant,5,9,11,9,17,13,20,16,5,6,5,7,9,1,4,5,1,0
AI-Enhanced Learning,2,5,4,1,6,3,2,3,1,4,1,1,2,0,0,2,1,0
AI-powered Drug Discovery,1,7,1,1,2,1,1,2,0,0,0,2,0,0,0,2,0,0
AIOps,2,3,5,2,5,6,1,10,1,3,4,3,1,2,0,6,3,0
API,8,7,17,14,14,10,6,4,3,5,1,2,2,2,1,3,0,0
APIs,2,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0
AR,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Advanced Materials,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
Advertising,0,2,4,1,3,2,1,0,1,0,1,0,5,1,2,0,0,0
Aerospace,2,3,1,3,1,2,3,5,3,1,3,0,4,0,2,5,1,0
Agriculture,1,1,2,1,0,1,1,2,0,0,0,2,0,1,0,2,0,0
Airlines,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Airplanes,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternative Fuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Analytics,9,12,17,11,15,10,8,10,1,5,4,2,5,1,0,3,0,0
Anti-Aging,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
Art Trading Platforms,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artificial Intelligence,40,47,56,42,59,75,93,83,25,51,39,56,40,22,16,87,13,0
Assistive Tech,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augmented Reality,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Auto Commerce,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Automation,4,1,1,3,8,7,11,8,4,4,5,3,4,3,2,11,1,0
Automotive,0,0,1,2,1,1,4,2,2,0,0,0,1,1,0,1,0,0
Autonomous Delivery,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Shipping,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Autonomous Trucking,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2B,78,102,102,89,97,52,57,65,18,33,26,33,36,11,11,53,4,1
Banking as a Service,2,1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Beauty,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Big Data,0,3,0,1,0,2,1,2,2,1,1,2,2,0,1,3,0,0
Billing,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Biometrics,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
