tag,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
3D Printing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699,0.602,0.0,0.0,0.0,0.0,2.857,0.0
AI,8.333,9.719,13.568,20.513,22.993,27.727,31.452,34.677,36.17,25.301,31.469,25.904,32.192,7.538,6.667,31.489,25.714,0.0
AI Assistant,1.488,2.302,2.764,3.846,6.204,5.909,8.065,6.452,5.319,3.614,3.497,4.217,6.164,0.503,2.051,2.128,2.857,0.0
AI-Enhanced Learning,0.595,1.279,1.005,0.427,2.19,1.364,0.806,1.21,1.064,2.41,0.699,0.602,1.37,0.0,0.0,0.851,2.857,0.0
AI-powered Drug Discovery,0.298,1.79,0.251,0.427,0.73,0.455,0.403,0.806,0.0,0.0,0.0,1.205,0.0,0.0,0.0,0.851,0.0,0.0
AIOps,0.595,0.767,1.256,0.855,1.825,2.727,0.403,4.032,1.064,1.807,2.797,1.807,0.685,1.005,0.0,2.553,8.571,0.0
API,2.381,1.79,4.271,5.983,5.109,4.545,2.419,1.613,3.191,3.012,0.699,1.205,1.37,1.005,0.513,1.277,0.0,0.0
APIs,0.595,0.256,0.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.699,0.0,0.685,0.0,0.513,0.426,0.0,0.0
AR,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Advanced Materials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.851,2.857,0.0
Advertising,0.0,0.512,1.005,0.427,1.095,0.909,0.403,0.0,1.064,0.0,0.699,0.0,3.425,0.503,1.026,0.0,0.0,0.0
Aerospace,0.595,0.767,0.251,1.282,0.365,0.909,1.21,2.016,3.191,0.602,2.098,0.0,2.74,0.0,1.026,2.128,2.857,0.0
Agriculture,0.298,0.256,0.503,0.427,0.0,0.455,0.403,0.806,0.0,0.0,0.0,1.205,0.0,0.503,0.0,0.851,0.0,0.0
Airlines,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Airplanes,0.298,0.256,0.251,0.855,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Fuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Analytics,2.679,3.069,4.271,4.701,5.474,4.545,3.226,4.032,1.064,3.012,2.797,1.205,3.425,0.503,0.0,1.277,0.0,0.0
Anti-Aging,0.595,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Architecture,0.0,0.0,0.251,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.426,0.0,0.0
Art Trading Platforms,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artificial Intelligence,11.905,12.02,14.07,17.949,21.533,34.091,37.5,33.468,26.596,30.723,27.273,33.735,27.397,11.055,8.205,37.021,37.143,0.0
Assistive Tech,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Reality,0.298,0.256,0.0,0.427,0.0,0.0,0.0,0.403,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auto Commerce,0.0,0.256,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automation,1.19,0.256,0.251,1.282,2.92,3.182,4.435,3.226,4.255,2.41,3.497,1.807,2.74,1.508,1.026,4.681,2.857,0.0
Automotive,0.0,0.0,0.251,0.855,0.365,0.455,1.613,0.806,2.128,0.0,0.0,0.0,0.685,0.503,0.0,0.426,0.0,0.0
Autonomous Delivery,0.298,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Trucking,0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2B,23.214,26.087,25.628,38.034,35.401,23.636,22.984,26.21,19.149,19.88,18.182,19.88,24.658,5.528,5.641,22.553,11.429,100.0
Banking as a Service,0.595,0.256,1.508,0.855,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,0.595,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
