tag,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
3D Printing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.855,0.0,0.0,0.0,0.0,2.941,0.0
AI,8.537,9.948,13.882,21.429,26.36,32.62,38.049,42.574,45.946,32.812,40.909,36.752,39.831,31.25,26.0,31.897,26.471,0.0
AI Assistant,1.524,2.356,2.828,4.018,7.113,6.952,9.756,7.921,6.757,4.688,4.545,5.983,7.627,2.083,8.0,2.155,2.941,0.0
AI-Enhanced Learning,0.61,1.309,1.028,0.446,2.51,1.604,0.976,1.485,1.351,3.125,0.909,0.855,1.695,0.0,0.0,0.862,2.941,0.0
AI-powered Drug Discovery,0.305,1.832,0.257,0.446,0.837,0.535,0.488,0.99,0.0,0.0,0.0,1.709,0.0,0.0,0.0,0.862,0.0,0.0
AIOps,0.61,0.785,1.285,0.893,2.092,3.209,0.488,4.95,1.351,2.344,3.636,2.564,0.847,4.167,0.0,2.586,8.824,0.0
API,2.439,1.832,4.37,6.25,5.858,5.348,2.927,1.98,4.054,3.906,0.909,1.709,1.695,4.167,2.0,1.293,0.0,0.0
APIs,0.61,0.262,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.909,0.0,0.847,0.0,2.0,0.431,0.0,0.0
AR,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Advanced Materials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.862,2.941,0.0
Advertising,0.0,0.524,1.028,0.446,1.255,1.07,0.488,0.0,1.351,0.0,0.909,0.0,4.237,2.083,4.0,0.0,0.0,0.0
Aerospace,0.61,0.785,0.257,1.339,0.418,1.07,1.463,2.475,4.054,0.781,2.727,0.0,3.39,0.0,4.0,2.155,2.941,0.0
Agriculture,0.305,0.262,0.514,0.446,0.0,0.535,0.488,0.99,0.0,0.0,0.0,1.709,0.0,2.083,0.0,0.862,0.0,0.0
Airlines,0.0,0.0,0.0,0.0,0.0,0.535,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Airplanes,0.305,0.262,0.257,0.893,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Fuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Analytics,2.744,3.141,4.37,4.911,6.276,5.348,3.902,4.95,1.351,3.906,3.636,1.709,4.237,2.083,0.0,1.293,0.0,0.0
Anti-Aging,0.61,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Architecture,0.0,0.0,0.257,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,1.695,0.0,0.0,0.431,0.0,0.0
Art Trading Platforms,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artificial Intelligence,12.195,12.304,14.396,18.75,24.686,40.107,45.366,41.089,33.784,39.844,35.455,47.863,33.898,45.833,32.0,37.5,38.235,0.0
Assistive Tech,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Reality,0.305,0.262,0.0,0.446,0.0,0.0,0.0,0.495,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auto Commerce,0.0,0.262,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automation,1.22,0.262,0.257,1.339,3.347,3.743,5.366,3.96,5.405,3.125,4.545,2.564,3.39,6.25,4.0,4.741,2.941,0.0
Automotive,0.0,0.0,0.257,0.893,0.418,0.535,1.951,0.99,2.703,0.0,0.0,0.0,0.847,2.083,0.0,0.431,0.0,0.0
Autonomous Delivery,0.305,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Trucking,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2B,23.78,26.702,26.221,39.732,40.586,27.807,27.805,32.178,24.324,25.781,23.636,28.205,30.508,22.917,22.0,22.845,11.765,100.0
Banking as a Service,0.61,0.262,1.542,0.893,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beauty,0.61,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Big Data,0.0,0.785,0.0,0.446,0.0,1.07,0.488,0.99,2.703,0.781,0.909,1.709,1.695,0.0,2.0,1.293,0.0,0.0
Billing,0.0,0.262,0.257,0.0,0.0,1.07,0.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biometrics,0.0,0.262,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Bioplastic,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biotech,1.524,3.927,2.571,3.571,2.929,3.209,2.927,5.446,2.703,1.562,2.727,2.564,2.542,2.083,4.0,3.879,0.0,0.0
Biotechnology,0.0,0.524,0.257,0.446,0.0,0.0,0.0,0.495,0.0,0.781,0.0,0.855,0.847,2.083,0.0,0.862,0.0,0.0
Booking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COVID-19,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRISPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRM,0.0,0.262,0.257,0.446,0.418,1.07,0.488,0.495,0.0,1.562,0.0,0.0,0.847,0.0,0.0,0.0,0.0,0.0
Calendar,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Call Center,0.0,0.0,0.257,0.893,0.0,0.0,0.488,1.485,1.351,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Capture and Removal,0.305,1.047,0.514,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Careers,0.0,0.0,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
Cashierless Checkout,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cell Therapy,0.0,0.0,0.257,0.446,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cellular Agriculture,0.0,0.0,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chat,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.855,0.0,0.0,2.0,0.0,0.0,0.0
Chatbot,0.305,0.262,0.257,0.0,0.418,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chatbots,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Civic Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clean Meat,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Climate,3.963,4.974,5.141,3.125,3.347,2.674,0.976,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.0,0.0
ClimateTech,0.61,0.785,1.028,0.893,1.674,0.535,0.0,0.99,0.0,1.562,0.0,0.855,0.0,0.0,0.0,0.862,0.0,0.0
Cloud Computing,0.61,0.262,1.285,0.893,1.674,0.535,0.976,2.97,0.0,1.562,2.727,2.564,0.0,0.0,2.0,1.724,5.882,0.0
Cloud Workload Protection,0.305,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collaboration,0.61,0.785,1.028,0.893,2.092,0.0,0.488,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial Space Launch,0.0,0.262,0.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Community,2.134,3.141,0.771,0.893,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Compliance,1.22,0.524,1.799,3.571,2.51,3.209,2.927,1.98,2.703,3.906,2.727,0.855,4.237,4.167,2.0,0.431,0.0,0.0
Computer Vision,1.22,1.309,0.257,1.339,1.255,1.604,1.951,2.475,0.0,2.344,1.818,1.709,2.542,6.25,0.0,1.724,0.0,0.0
Construction,1.524,1.047,2.571,1.339,0.837,2.139,1.951,0.495,2.703,0.781,0.0,0.855,2.542,6.25,0.0,3.448,0.0,0.0
Consumer,4.268,3.141,10.026,8.482,5.021,4.278,8.293,8.911,10.811,7.031,9.091,5.983,6.78,2.083,14.0,2.586,5.882,0.0
Consumer Finance,0.61,0.785,0.514,0.446,0.418,1.604,0.488,1.98,1.351,0.781,0.909,1.709,2.542,0.0,4.0,0.862,0.0,0.0
Consumer Health Services,3.963,5.497,2.828,0.893,1.255,2.674,2.439,0.495,1.351,0.0,0.0,0.0,2.542,0.0,0.0,0.862,0.0,0.0
Consumer Products,0.0,0.524,0.257,0.0,0.418,0.0,0.0,0.0,0.0,0.781,0.909,0.0,0.847,0.0,0.0,0.431,0.0,0.0
Conversational AI,0.61,0.262,0.514,0.893,1.255,1.604,3.415,1.98,0.0,4.688,0.909,3.419,3.39,0.0,0.0,0.862,0.0,0.0
Conversational Banking,0.0,0.0,0.0,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creator Economy,0.305,1.047,1.028,1.786,1.255,0.0,0.488,0.495,0.0,0.781,0.909,0.855,1.695,0.0,0.0,0.862,0.0,0.0
Crowdsourcing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855,0.0,0.0,2.0,0.0,0.0,0.0
Crypto / Web3,2.134,2.356,4.113,5.804,2.092,0.535,0.976,0.495,1.351,1.562,0.0,0.855,0.847,0.0,2.0,1.293,0.0,0.0
Cryptocurrency,0.305,0.0,0.771,0.893,0.837,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0
Cryptography,0.0,0.0,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Culture,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0
Cultured Meat,0.305,0.262,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Customer Service,0.61,0.0,0.514,0.0,0.837,0.535,0.976,0.495,1.351,0.781,0.0,0.855,0.0,0.0,0.0,0.431,0.0,0.0
Customer Success,0.61,0.524,0.771,0.446,2.929,0.0,0.488,0.99,1.351,0.781,0.0,0.0,2.542,0.0,0.0,0.431,0.0,0.0
Customer Support,0.61,0.0,0.771,0.893,2.929,1.07,1.951,0.99,1.351,0.0,0.909,0.0,1.695,0.0,0.0,0.431,0.0,0.0
Cybersecurity,0.305,0.785,0.0,0.446,1.255,1.604,0.976,0.99,1.351,1.562,2.727,1.709,3.39,2.083,0.0,2.586,0.0,0.0
DAO,0.0,0.0,0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Engineering,1.829,2.356,3.085,3.125,2.51,2.674,2.439,1.98,2.703,1.562,1.818,0.855,1.695,8.333,0.0,3.448,0.0,0.0
Data Labeling,0.0,0.262,0.771,0.0,0.0,0.535,0.0,0.99,0.0,0.781,2.727,0.855,0.847,2.083,0.0,1.724,0.0,0.0
Data Science,0.0,0.262,0.257,0.0,0.418,2.674,1.951,1.98,0.0,0.781,1.818,1.709,0.0,0.0,0.0,1.293,0.0,0.0
Data Visualization,0.305,0.524,0.0,0.0,1.674,2.139,2.439,0.495,0.0,0.0,0.909,1.709,0.0,0.0,0.0,0.0,0.0,0.0
Databases,0.305,0.262,0.257,0.446,0.0,2.674,1.463,0.0,0.0,1.562,1.818,0.0,0.847,0.0,0.0,0.431,0.0,0.0
Dating,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeFi,0.61,0.262,1.028,1.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Learning,1.524,0.0,0.0,0.446,0.418,1.07,0.488,0.99,1.351,0.0,0.0,0.855,0.0,4.167,2.0,2.155,5.882,0.0
Deepfake Detection,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Defense,0.305,0.785,0.257,0.0,0.0,0.0,0.488,0.99,2.703,0.0,0.0,0.855,2.542,2.083,4.0,3.448,0.0,0.0
Delivery,1.22,2.094,1.285,0.893,0.418,0.535,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dental,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.495,0.0,0.781,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0
