tag,2021,2022,2023,2024,2025,2026,2027
3D Printing,0,0,0,0,2,1,0
AI,66,102,124,198,177,111,0
AI Assistant,14,20,30,41,27,11,0
AI-Enhanced Learning,7,5,9,6,8,3,0
AI-powered Drug Discovery,8,2,3,3,2,2,0
AIOps,5,7,11,12,11,11,0
API,15,31,24,13,10,6,0
APIs,3,0,0,1,2,2,0
AR,1,0,0,0,1,1,0
Advanced Materials,0,0,0,0,1,3,0
Advertising,2,5,5,2,6,3,0
Aerospace,5,4,3,11,8,8,0
Agriculture,2,3,1,3,2,3,0
Airlines,0,0,1,1,0,1,0
Airplanes,2,3,1,0,0,0,0
Alternative Fuels,0,0,0,0,0,1,0
Analytics,21,28,25,19,16,4,0
Anti-Aging,3,0,0,0,0,0,0
Architecture,0,1,0,1,2,1,0
Art Trading Platforms,1,0,0,0,0,0,0
Artificial Intelligence,87,98,134,201,186,138,0
Assistive Tech,1,0,0,0,0,0,0
Augmented Reality,2,1,0,1,1,0,0
Auto Commerce,1,1,0,0,0,0,0
Automation,5,4,15,23,16,17,0
Automotive,0,3,2,8,1,2,0
Autonomous Delivery,2,0,0,0,0,0,0
Autonomous Shipping,0,0,0,0,1,0,0
Autonomous Trucking,2,0,0,0,0,0,0
B2B,180,191,149,140,128,79,1
Banking as a Service,3,8,1,0,0,0,0
Beauty,3,0,0,0,1,0,0
Big Data,3,1,2,5,6,4,0
Billing,1,1,2,1,0,0,0
Biometrics,1,1,0,0,1,0,0
Bioplastic,0,1,0,0,0,0,0
Biotech,20,18,13,19,11,12,0
Biotechnology,2,2,0,1,3,3,0
Booking,0,0,0,0,1,0,0
COVID-19,0,1,0,0,0,0,0
CRISPR,0,0,0,0,1,0,0
CRM,1,2,3,2,3,0,0
Calendar,1,0,0,0,0,0,0
Call Center,0,3,0,5,1,0,0
Carbon Capture and Removal,5,3,0,0,0,0,0
Careers,0,1,0,0,0,1,0
Cashierless Checkout,0,1,0,0,0,0,0
Cell Therapy,0,2,1,0,0,0,0
Cellular Agriculture,0,2,0,0,0,0,0
Chat,1,0,0,0,2,1,0
Chatbot,2,1,2,0,0,0,0
Chatbots,0,0,0,1,0,0,0
Civic Tech,0,0,0,2,0,0,0
Clean Meat,0,1,0,0,0,0,0
Climate,32,27,13,8,0,1,0
ClimateTech,5,6,5,2,3,2,0
Cloud Computing,3,7,5,8,8,7,0
Cloud Workload Protection,2,0,0,0,0,0,0
Collaboration,5,6,5,2,0,0,0
Commercial Space Launch,1,1,0,0,0,0,0
Community,19,5,0,0,1,0,0
Compliance,6,15,12,12,14,4,0
Computer Vision,9,4,6,9,10,7,0
Construction,9,13,6,7,5,11,0
Consumer,26,58,20,43,34,16,0
Consumer Finance,5,3,4,6,7,4,0
Consumer Health Services,34,13,8,7,3,2,0
Consumer Products,2,1,1,0,3,1,0
Conversational AI,3,4,6,11,15,2,0
Conversational Banking,0,0,1,0,0,0,0
Creator Economy,5,8,3,2,5,2,0
Crowdsourcing,0,0,0,0,1,1,0
Crypto / Web3,16,29,6,4,4,4,0
Cryptocurrency,1,5,2,0,1,1,0
Cryptography,0,2,0,0,0,0,0
Culture,1,0,0,0,0,1,0
Cultured Meat,2,1,0,0,0,0,0
Customer Service,2,2,3,4,2,1,0
Customer Success,4,4,7,4,4,1,0
Customer Support,2,5,9,7,3,1,0
Cybersecurity,4,1,6,5,11,7,0
DAO,0,2,0,0,0,0,0
Data Engineering,15,19,11,11,7,12,0
Data Labeling,1,3,1,2,6,5,0
Data Science,1,1,6,8,5,3,0
Data Visualization,3,0,8,6,3,0,0
Databases,2,2,5,3,5,1,0
Dating,1,0,0,0,0,0,0
DeFi,3,7,0,0,0,0,0
Deep Learning,5,1,3,4,1,10,0
Deepfake Detection,0,1,0,0,0,0,0
Defense,4,1,0,5,4,11,0
Delivery,12,7,2,1,0,0,0
Dental,0,0,0,2,2,0,0
Design,2,1,3,3,10,2,0
Design Tools,9,3,6,6,5,1,0
DevOps,3,2,8,7,6,4,0
DevSecOps,3,5,3,0,2,1,0
Developer Tools,67,58,81,81,73,42,0
Diagnostics,5,4,2,2,0,0,0
Digital Freight Brokerage,0,0,0,0,0,1,0
Digital Health,21,20,10,13,9,4,0
Documents,4,4,5,4,4,1,0
Drones,2,2,1,2,2,9,0
Drug Delivery,0,1,1,0,1,0,0
Drug discovery,5,5,3,6,1,1,0
E-Commerce,2,1,0,0,0,0,0
E-commerce,44,32,10,11,7,4,0
Edge Computing Semiconductors,0,0,0,1,1,1,0
Edtech,4,1,3,3,3,0,0
Education,32,11,6,7,13,2,0
Electric Vehicles,5,4,2,0,1,0,0
Electronics,0,1,0,2,5,2,0
Email,3,2,0,4,3,0,0
Emerging Markets,1,0,1,2,1,1,0
Energy,7,8,5,5,4,11,0
Energy Storage,2,2,1,2,1,0,0
Enterprise,8,20,22,14,10,9,0
Enterprise Software,8,15,20,23,22,24,0
Entertainment,3,8,4,6,3,2,0
