tag,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
3D Printing,0.0,0.0,0.0,0.0,0.322,0.151,0.0
AI,9.078,16.139,25.101,33.559,28.502,16.717,0.0
AI Assistant,1.926,3.165,6.073,6.949,4.348,1.657,0.0
AI-Enhanced Learning,0.963,0.791,1.822,1.017,1.288,0.452,0.0
AI-powered Drug Discovery,1.1,0.316,0.607,0.508,0.322,0.301,0.0
AIOps,0.688,1.108,2.227,2.034,1.771,1.657,0.0
API,2.063,4.905,4.858,2.203,1.61,0.904,0.0
APIs,0.413,0.0,0.0,0.169,0.322,0.301,0.0
AR,0.138,0.0,0.0,0.0,0.161,0.151,0.0
Advanced Materials,0.0,0.0,0.0,0.0,0.161,0.452,0.0
Advertising,0.275,0.791,1.012,0.339,0.966,0.452,0.0
Aerospace,0.688,0.633,0.607,1.864,1.288,1.205,0.0
Agriculture,0.275,0.475,0.202,0.508,0.322,0.452,0.0
Airlines,0.0,0.0,0.202,0.169,0.0,0.151,0.0
Airplanes,0.275,0.475,0.202,0.0,0.0,0.0,0.0
Alternative Fuels,0.0,0.0,0.0,0.0,0.0,0.151,0.0
Analytics,2.889,4.43,5.061,3.22,2.576,0.602,0.0
Anti-Aging,0.413,0.0,0.0,0.0,0.0,0.0,0.0
Architecture,0.0,0.158,0.0,0.169,0.322,0.151,0.0
Art Trading Platforms,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Artificial Intelligence,11.967,15.506,27.126,34.068,29.952,20.783,0.0
Assistive Tech,0.138,0.0,0.0,0.0,0.0,0.0,0.0
Augmented Reality,0.275,0.158,0.0,0.169,0.161,0.0,0.0
Auto Commerce,0.138,0.158,0.0,0.0,0.0,0.0,0.0
Automation,0.688,0.633,3.036,3.898,2.576,2.56,0.0
Automotive,0.0,0.475,0.405,1.356,0.161,0.301,0.0
Autonomous Delivery,0.275,0.0,0.0,0.0,0.0,0.0,0.0
Autonomous Shipping,0.0,0.0,0.0,0.0,0.161,0.0,0.0
Autonomous Trucking,0.275,0.0,0.0,0.0,0.0,0.0,0.0
B2B,24.759,30.222,30.162,23.729,20.612,11.898,100.0
Banking as a Service,0.413,1.266,0.202,0.0,0.0,0.0,0.0
Beauty,0.413,0.0,0.0,0.0,0.161,0.0,0.0
Big Data,0.413,0.158,0.405,0.847,0.966,0.602,0.0
Billing,0.138,0.158,0.405,0.169,0.0,0.0,0.0
Biometrics,0.138,0.158,0.0,0.0,0.161,0.0,0.0
Bioplastic,0.0,0.158,0.0,0.0,0.0,0.0,0.0
