period,tag_a,tag_b,count_a,count_b,cooccurrence,period_companies,jaccard,lift,expected
2021-2022,B2B,SaaS,371,388,206,1359,0.3725,1.945,105.92
2021-2022,B2B,Fintech,371,284,84,1359,0.1471,1.083,77.53
2021-2022,Fintech,SaaS,284,388,71,1359,0.1181,0.876,81.08
2021-2022,AI,B2B,168,371,61,1359,0.1276,1.33,45.86
2021-2022,Artificial Intelligence,B2B,185,371,55,1359,0.1098,1.089,50.5
2021-2022,Artificial Intelligence,SaaS,185,388,52,1359,0.0998,0.985,52.82
2021-2022,Developer Tools,SaaS,125,388,51,1359,0.1104,1.429,35.69
2021-2022,AI,SaaS,168,388,50,1359,0.0988,1.042,47.96
2021-2022,Fintech,Payments,284,56,46,1359,0.1565,3.931,11.7
2021-2022,B2B,Developer Tools,371,125,41,1359,0.0901,1.201,34.12
2021-2022,AI,Artificial Intelligence,168,185,32,1359,0.0997,1.399,22.87
2021-2022,Developer Tools,Open Source,125,45,31,1359,0.223,7.49,4.14
2021-2022,B2B,Sales,371,38,27,1359,0.0707,2.603,10.37
2021-2022,Consumer,Fintech,84,284,27,1359,0.0792,1.538,17.55
2021-2022,Fintech,Neobank,284,29,26,1359,0.0906,4.29,6.06
2021-2022,AI,Generative AI,168,54,25,1359,0.1269,3.745,6.68
2021-2022,Artificial Intelligence,Developer Tools,185,125,23,1359,0.0801,1.352,17.02
2021-2022,B2B,E-commerce,371,76,22,1359,0.0518,1.06,20.75
2021-2022,B2B,Generative AI,371,54,22,1359,0.0546,1.492,14.74
2021-2022,SaaS,Sales,388,38,22,1359,0.0545,2.028,10.85
2021-2022,E-commerce,SaaS,76,388,21,1359,0.0474,0.968,21.7
2021-2022,Productivity,SaaS,46,388,21,1359,0.0508,1.599,13.13
2021-2022,Analytics,SaaS,49,388,20,1359,0.048,1.43,13.99
2021-2022,AI,Developer Tools,168,125,19,1359,0.0693,1.23,15.45
2021-2022,Artificial Intelligence,Fintech,185,284,19,1359,0.0422,0.491,38.66
2021-2022,API,B2B,46,371,18,1359,0.0451,1.433,12.56
