tag,rank_earliest_year,rank_latest,rank_change,earliest_year_share_pct,latest_share_pct,pp_change,earliest_year_count,latest_count,latest_full_batch,major_mover
Artificial Intelligence,4,1,3,11.967,37.021,25.054,87,87,Summer 2026,True
AI,6,2,4,9.078,31.489,22.411,66,74,Summer 2026,True
B2B,2,3,-1,24.759,22.553,-2.206,180,53,Summer 2026,False
Robotics,35,4,31,1.651,11.915,10.264,12,28,Summer 2026,True
Hard Tech,19,5,14,2.751,10.638,7.887,20,25,Summer 2026,True
SaaS,1,6,-5,29.436,10.213,-19.223,214,24,Summer 2026,True
Developer Tools,5,7,-2,9.216,9.787,0.571,67,23,Summer 2026,False
Hardware,35,8,27,1.651,8.511,6.86,12,20,Summer 2026,True
Infrastructure,42,9,33,1.376,8.085,6.709,10,19,Summer 2026,True
Manufacturing,65,10,55,0.825,6.809,5.984,6,16,Summer 2026,True
Enterprise Software,51,11,40,1.1,5.957,4.857,8,14,Summer 2026,True
Fintech,3,11,-8,19.12,5.957,-13.163,139,14,Summer 2026,True
Reinforcement Learning,231,11,220,0.0,5.957,5.957,0,14,Summer 2026,True
Machine Learning,12,14,-2,4.127,5.106,0.979,30,12,Summer 2026,False
Workflow Automation,75,15,60,0.688,4.681,3.993,5,11,Summer 2026,True
Finance,51,15,36,1.1,4.681,3.581,8,11,Summer 2026,True
Automation,75,15,60,0.688,4.681,3.993,5,11,Summer 2026,True
Healthcare,14,15,-1,3.439,4.681,1.242,25,11,Summer 2026,False
Generative AI,23,19,4,2.613,4.255,1.642,19,10,Summer 2026,False
Biotech,19,20,-1,2.751,3.83,1.079,20,9,Summer 2026,False
Industrial,185,20,165,0.138,3.83,3.692,1,9,Summer 2026,True
Energy,58,20,38,0.963,3.83,2.867,7,9,Summer 2026,True
Data Engineering,27,23,4,2.063,3.404,1.341,15,8,Summer 2026,False
Supply Chain,42,23,19,1.376,3.404,2.028,10,8,Summer 2026,True
Investing,65,23,42,0.825,3.404,2.579,6,8,Summer 2026,True
