batch,rank,tag,share_pct,count
Winter 2021,1,SaaS,27.976,94
Winter 2021,2,B2B,23.214,78
Winter 2021,3,Fintech,17.262,58
Winter 2021,4,Artificial Intelligence,11.905,40
Winter 2021,5,Developer Tools,10.119,34
Winter 2021,6,AI,8.333,28
Winter 2021,7,Marketplace,5.952,20
Winter 2021,8,E-commerce,5.655,19
Winter 2021,9,Education,4.167,14
Winter 2021,10,Consumer,4.167,14
Winter 2021,11,Open Source,3.869,13
Winter 2021,12,Consumer Health Services,3.869,13
Winter 2021,13,Climate,3.869,13
Winter 2021,14,eLearning,3.571,12
Winter 2021,15,Healthcare,3.274,11
Winter 2021,16,Hard Tech,3.274,11
Winter 2021,17,Machine Learning,2.976,10
Winter 2021,18,Digital Health,2.976,10
Winter 2021,19,Logistics,2.976,10
Winter 2021,20,Robotics,2.679,9
Summer 2021,1,SaaS,30.691,120
Summer 2021,2,B2B,26.087,102
Summer 2021,3,Fintech,20.716,81
Summer 2021,4,Artificial Intelligence,12.02,47
Summer 2021,5,AI,9.719,38
Summer 2021,6,Marketplace,8.44,33
Summer 2021,7,Developer Tools,8.44,33
Summer 2021,8,E-commerce,6.394,25
Summer 2021,9,Consumer Health Services,5.371,21
Summer 2021,10,Machine Learning,5.115,20
Summer 2021,11,Climate,4.859,19
Summer 2021,12,Education,4.604,18
Summer 2021,13,Biotech,3.836,15
Summer 2021,14,Generative AI,3.581,14
Summer 2021,15,Healthcare,3.581,14
Summer 2021,16,Payments,3.581,14
Summer 2021,17,Medical Devices,3.069,12
Summer 2021,18,Productivity,3.069,12
Summer 2021,19,Analytics,3.069,12
Summer 2021,20,Consumer,3.069,12
Winter 2022,1,SaaS,26.633,106
Winter 2022,2,B2B,25.628,102
Winter 2022,3,Fintech,23.116,92
Winter 2022,4,Artificial Intelligence,14.07,56
Winter 2022,5,AI,13.568,54
Winter 2022,6,Consumer,9.799,39
Winter 2022,7,Developer Tools,8.543,34
Winter 2022,8,Marketplace,8.04,32
Winter 2022,9,E-commerce,6.281,25
Winter 2022,10,Machine Learning,6.03,24
Winter 2022,11,Climate,5.025,20
Winter 2022,12,Healthcare,4.774,19
Winter 2022,13,Payments,4.523,18
Winter 2022,14,API,4.271,17
Winter 2022,15,Analytics,4.271,17
Winter 2022,16,Crypto / Web3,4.02,16
Winter 2022,17,Neobank,3.769,15
Winter 2022,18,Digital Health,3.518,14
Winter 2022,19,Proptech,3.518,14
Winter 2022,20,Generative AI,3.266,13
Summer 2022,1,B2B,38.034,89
Summer 2022,2,SaaS,29.06,68
Summer 2022,3,Fintech,22.65,53
Summer 2022,4,AI,20.513,48
Summer 2022,5,Artificial Intelligence,17.949,42
Summer 2022,6,Developer Tools,10.256,24
Summer 2022,7,Generative AI,9.402,22
Summer 2022,8,Consumer,8.12,19
Summer 2022,9,Payments,6.41,15
Summer 2022,10,API,5.983,14
Summer 2022,11,Productivity,5.983,14
Summer 2022,12,Open Source,5.556,13
Summer 2022,13,Crypto / Web3,5.556,13
Summer 2022,14,Sales,5.556,13
Summer 2022,15,Machine Learning,4.701,11
Summer 2022,16,Analytics,4.701,11
Summer 2022,17,Enterprise,4.701,11
Summer 2022,18,AI Assistant,3.846,9
Summer 2022,19,Compliance,3.419,8
Summer 2022,20,Biotech,3.419,8
Winter 2023,1,B2B,35.401,97
Winter 2023,2,SaaS,31.387,86
Winter 2023,3,AI,22.993,63
Winter 2023,4,Artificial Intelligence,21.533,59
Winter 2023,5,Generative AI,17.883,49
Winter 2023,6,Developer Tools,17.883,49
Winter 2023,7,Fintech,12.409,34
Winter 2023,8,Open Source,7.664,21
Winter 2023,9,AI Assistant,6.204,17
Winter 2023,10,Enterprise,5.474,15
Winter 2023,11,Analytics,5.474,15
Winter 2023,12,API,5.109,14
Winter 2023,13,Productivity,4.745,13
Winter 2023,14,Payments,4.745,13
Winter 2023,15,Healthcare,4.745,13
Winter 2023,16,Consumer,4.38,12
Winter 2023,17,Finance,4.38,12
Winter 2023,18,Machine Learning,4.38,12
Winter 2023,19,Health Tech,3.65,10
Winter 2023,20,Marketplace,3.65,10
Summer 2023,1,Artificial Intelligence,34.091,75
Summer 2023,2,AI,27.727,61
Summer 2023,3,B2B,23.636,52
Summer 2023,4,SaaS,19.545,43
Summer 2023,5,Developer Tools,14.545,32
Summer 2023,6,Generative AI,13.182,29
Summer 2023,7,Fintech,10.0,22
Summer 2023,8,Healthcare,9.091,20
Summer 2023,9,AI Assistant,5.909,13
Summer 2023,10,Enterprise Software,5.455,12
Summer 2023,11,Infrastructure,5.455,12
Summer 2023,12,Health Tech,5.455,12
Summer 2023,13,Open Source,5.0,11
Summer 2023,14,Machine Learning,5.0,11
Summer 2023,15,API,4.545,10
Summer 2023,16,Marketing,4.545,10
Summer 2023,17,Analytics,4.545,10
Summer 2023,18,Sales,4.545,10
Summer 2023,19,Healthcare IT,4.091,9
Summer 2023,20,Consumer,3.636,8
Winter 2024,1,Artificial Intelligence,37.5,93
Winter 2024,2,AI,31.452,78
Winter 2024,3,B2B,22.984,57
Winter 2024,4,SaaS,12.5,31
Winter 2024,5,Developer Tools,12.5,31
Winter 2024,6,AI Assistant,8.065,20
Winter 2024,7,Generative AI,7.661,19
Winter 2024,8,Consumer,6.855,17
Winter 2024,9,Fintech,6.855,17
Winter 2024,10,Healthcare,5.242,13
Winter 2024,11,Sales,4.839,12
Winter 2024,12,Open Source,4.839,12
Winter 2024,13,Automation,4.435,11
Winter 2024,14,Productivity,4.032,10
Winter 2024,15,Workflow Automation,4.032,10
Winter 2024,16,Marketing,3.226,8
Winter 2024,17,Analytics,3.226,8
Winter 2024,18,Digital Health,3.226,8
Winter 2024,19,Enterprise Software,3.226,8
Winter 2024,20,Video,2.823,7
Summer 2024,1,AI,34.677,86
Summer 2024,2,Artificial Intelligence,33.468,83
Summer 2024,3,B2B,26.21,65
Summer 2024,4,SaaS,16.129,40
Summer 2024,5,Developer Tools,12.903,32
Summer 2024,6,Generative AI,10.081,25
Summer 2024,7,Fintech,9.274,23
Summer 2024,8,Consumer,7.258,18
Summer 2024,9,AI Assistant,6.452,16
Summer 2024,10,Hard Tech,4.435,11
Summer 2024,11,Finance,4.435,11
Summer 2024,12,Biotech,4.435,11
Summer 2024,13,Productivity,4.435,11
Summer 2024,14,Infrastructure,4.435,11
Summer 2024,15,Analytics,4.032,10
Summer 2024,16,Enterprise Software,4.032,10
Summer 2024,17,AIOps,4.032,10
Summer 2024,18,Machine Learning,4.032,10
Summer 2024,19,Manufacturing,4.032,10
Summer 2024,20,Supply Chain,4.032,10
Fall 2024,1,AI,36.17,34
Fall 2024,2,Artificial Intelligence,26.596,25
Fall 2024,3,Developer Tools,19.149,18
Fall 2024,4,B2B,19.149,18
Fall 2024,5,SaaS,17.021,16
Fall 2024,6,Consumer,8.511,8
Fall 2024,7,Machine Learning,6.383,6
Fall 2024,8,Generative AI,6.383,6
Fall 2024,9,AI Assistant,5.319,5
Fall 2024,10,Healthcare,5.319,5
Fall 2024,11,Enterprise Software,5.319,5
Fall 2024,12,Infrastructure,5.319,5
Fall 2024,13,Health Tech,4.255,4
Fall 2024,14,Automation,4.255,4
Fall 2024,15,Finance,3.191,3
Fall 2024,16,DevOps,3.191,3
Fall 2024,17,Video,3.191,3
Fall 2024,18,Social Media,3.191,3
Fall 2024,19,Aerospace,3.191,3
Fall 2024,20,API,3.191,3
Winter 2025,1,Artificial Intelligence,30.723,51
Winter 2025,2,AI,25.301,42
Winter 2025,3,B2B,19.88,33
