tag,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Artificial Intelligence,844,Winter 2021,Fall 2026,17,Winter 2024,93,37.5,2021,87,11.967,11.905,Summer 2026,87,37.021,47,43.5,25.054,18.76,24.034,False,False,11.962,22.613,26.934,0.411,Low-volume / mixed,1,4,3
AI,778,Winter 2021,Fall 2026,17,Fall 2024,34,36.17,2021,66,9.078,8.333,Summer 2026,74,31.489,46,41.0,22.411,15.231,22.857,False,False,9.026,19.078,25.602,0.443,Emerging,2,6,4
B2B,868,Winter 2021,Winter 2027,18,Summer 2022,89,38.034,2021,180,24.759,23.214,Summer 2026,53,22.553,-25,-37.0,-2.206,11.241,22.292,False,False,24.651,14.097,23.099,0.366,Low-volume / mixed,3,2,-1
Robotics,104,Winter 2021,Fall 2026,16,Summer 2026,28,11.915,2021,12,1.651,2.679,Summer 2026,28,11.915,19,22.0,10.264,5.329,2.996,False,False,1.723,7.239,2.492,0.967,Emerging,4,35,31
Hard Tech,104,Winter 2021,Fall 2026,17,Summer 2026,25,10.638,2021,20,2.751,3.274,Summer 2026,25,10.638,14,15.0,7.887,4.732,2.656,False,False,2.788,6.345,2.176,0.891,Emerging,5,19,14
SaaS,709,Winter 2021,Fall 2026,17,Winter 2023,86,31.387,2021,214,29.436,27.976,Summer 2026,24,10.213,-70,-83.0,-19.223,5.268,16.873,False,True,29.334,6.645,15.896,0.558,Declining,6,1,-5
Developer Tools,402,Winter 2021,Fall 2026,17,Fall 2024,18,19.149,2021,67,9.216,10.119,Summer 2026,23,9.787,-11,-10.5,0.571,5.468,11.113,False,False,9.279,6.945,10.188,0.382,Low-volume / mixed,7,5,-2
Hardware,90,Winter 2021,Fall 2026,16,Summer 2026,20,8.511,2021,12,1.651,1.786,Summer 2026,20,8.511,14,14.0,6.86,3.852,2.45,False,False,1.66,5.024,1.662,0.858,Emerging,8,35,27
Infrastructure,127,Winter 2021,Fall 2026,17,Summer 2026,19,8.085,2021,10,1.376,2.083,Summer 2026,19,8.085,12,14.0,6.709,4.38,3.733,False,False,1.425,4.812,3.566,0.554,Emerging,9,42,33
Manufacturing,79,Winter 2021,Fall 2026,16,Summer 2026,16,6.809,2021,6,0.825,0.595,Summer 2026,16,6.809,14,13.0,5.984,2.441,2.288,False,False,0.809,3.661,1.914,0.833,Emerging,10,65,55
Enterprise Software,112,Winter 2021,Summer 2026,16,Summer 2026,14,5.957,2021,8,1.1,1.19,Summer 2026,14,5.957,10,10.0,4.857,3.678,3.314,False,False,1.107,4.261,2.742,0.477,Emerging,11,51,40
Fintech,432,Winter 2021,Fall 2026,17,Winter 2022,92,23.116,2021,139,19.12,17.262,Summer 2026,14,5.957,-44,-55.5,-13.163,3.339,9.432,False,True,18.989,4.004,6.741,0.779,Declining,11,3,-8
Reinforcement Learning,41,Winter 2023,Summer 2026,10,Summer 2026,14,5.957,2021,0,0.0,0.0,Summer 2026,14,5.957,14,14.0,5.957,2.656,1.359,True,False,0.0,2.978,0.897,1.183,Emerging,11,231,220
Machine Learning,147,Winter 2021,Summer 2026,15,Fall 2024,6,6.383,2021,30,4.127,2.976,Summer 2026,12,5.106,2,-3.0,0.979,2.205,3.881,False,False,4.046,2.553,4.206,0.436,Low-volume / mixed,14,12,-2
Workflow Automation,68,Winter 2021,Winter 2027,15,Summer 2026,11,4.681,2021,5,0.688,0.893,Summer 2026,11,4.681,8,8.5,3.993,1.56,1.924,False,False,0.703,2.341,2.091,0.719,Low-volume / mixed,15,75,60
Finance,79,Winter 2021,Fall 2026,17,Summer 2026,11,4.681,2021,8,1.1,0.893,Summer 2026,11,4.681,8,7.0,3.581,2.066,2.184,False,False,1.086,2.597,1.649,0.63,Low-volume / mixed,15,51,36
Automation,80,Winter 2021,Fall 2026,17,Summer 2026,11,4.681,2021,5,0.688,1.19,Summer 2026,11,4.681,7,8.5,3.993,2.405,2.417,False,False,0.723,2.853,2.575,0.573,Emerging,15,75,60
Healthcare,143,Winter 2021,Summer 2026,16,Summer 2023,20,9.091,2021,25,3.439,3.274,Summer 2026,11,4.681,0,-1.5,1.242,1.899,3.788,False,False,3.428,2.597,3.622,0.543,Low-volume / mixed,15,14,-1
Generative AI,227,Winter 2021,Summer 2026,15,Winter 2023,49,17.883,2021,19,2.613,1.488,Summer 2026,10,4.255,5,0.5,1.642,1.753,6.2,False,True,2.534,2.127,5.21,0.762,Spiky,19,23,4
Biotech,93,Winter 2021,Summer 2026,16,Summer 2024,11,4.435,2021,20,2.751,1.488,Summer 2026,9,3.83,4,-1.0,1.079,1.786,2.378,False,False,2.662,2.428,2.274,0.444,Low-volume / mixed,20,19,-1
Industrial,31,Summer 2021,Summer 2026,9,Summer 2026,9,3.83,2021,1,0.138,0.0,Summer 2026,9,3.83,9,8.5,3.692,1.277,0.977,True,False,0.128,1.915,0.254,1.223,Spiky,20,185,165
Energy,40,Winter 2021,Fall 2026,14,Summer 2026,9,3.83,2021,7,0.963,1.488,Summer 2026,9,3.83,4,5.5,2.867,1.444,1.026,False,False,1.0,1.915,0.852,0.926,Spiky,20,58,38
Data Engineering,75,Winter 2021,Summer 2026,15,Summer 2026,8,3.404,2021,15,2.063,1.786,Summer 2026,8,3.404,2,0.5,1.341,1.805,1.894,False,False,2.044,1.702,2.013,0.449,Low-volume / mixed,23,27,4
Supply Chain,62,Winter 2021,Summer 2026,14,Summer 2025,7,4.217,2021,10,1.376,1.786,Summer 2026,8,3.404,2,3.0,2.028,1.302,1.643,False,False,1.405,1.702,1.454,0.768,Low-volume / mixed,23,42,19
Investing,41,Winter 2021,Summer 2026,15,Summer 2026,8,3.404,2021,6,0.825,0.298,Summer 2026,8,3.404,7,5.0,2.579,1.306,1.051,False,False,0.788,1.958,0.96,0.725,Spiky,23,65,42
Construction,51,Winter 2021,Summer 2026,14,Summer 2026,8,3.404,2021,9,1.238,1.488,Summer 2026,8,3.404,3,3.5,2.166,1.637,1.323,False,False,1.256,1.702,1.385,0.685,Low-volume / mixed,23,46,23
Defense,25,Winter 2021,Summer 2026,11,Summer 2026,8,3.404,2021,4,0.55,0.298,Summer 2026,8,3.404,7,6.0,2.854,1.644,0.765,False,False,0.532,2.215,0.453,1.231,Spiky,23,97,74
Open Source,127,Winter 2021,Summer 2026,14,Winter 2023,21,7.664,2021,21,2.889,3.869,Summer 2026,8,3.404,-5,-2.5,0.515,1.477,3.273,False,True,2.958,2.215,3.45,0.598,Low-volume / mixed,23,16,-7
Logistics,77,Winter 2021,Summer 2026,15,Summer 2022,8,3.419,2021,13,1.788,2.976,Summer 2026,7,2.979,-3,0.5,1.191,1.496,1.991,False,False,1.871,1.49,1.962,0.479,Low-volume / mixed,29,32,3
Semiconductors,19,Summer 2023,Fall 2026,9,Summer 2026,7,2.979,2021,0,0.0,0.0,Summer 2026,7,2.979,7,7.0,2.979,1.332,0.514,True,False,0.0,1.746,0.202,1.508,Spiky,29,231,202
