tag,batch,count,share_pct,batch_code,year,batch_order,total_companies,is_partial_batch
3D Printing,Winter 2021,0,0.0,W21,2021,20210,336,False
3D Printing,Summer 2021,0,0.0,S21,2021,20212,391,False
3D Printing,Winter 2022,0,0.0,W22,2022,20220,398,False
3D Printing,Summer 2022,0,0.0,S22,2022,20222,234,False
3D Printing,Winter 2023,0,0.0,W23,2023,20230,274,False
3D Printing,Summer 2023,0,0.0,S23,2023,20232,220,False
3D Printing,Winter 2024,0,0.0,W24,2024,20240,248,False
3D Printing,Summer 2024,0,0.0,S24,2024,20242,248,False
3D Printing,Fall 2024,0,0.0,F24,2024,20243,94,False
3D Printing,Winter 2025,0,0.0,W25,2025,20250,166,False
3D Printing,Spring 2025,1,0.699,X25,2025,20251,143,False
3D Printing,Summer 2025,1,0.602,S25,2025,20252,166,False
3D Printing,Fall 2025,0,0.0,F25,2025,20253,146,False
3D Printing,Winter 2026,0,0.0,W26,2026,20260,199,False
3D Printing,Spring 2026,0,0.0,X26,2026,20261,195,False
3D Printing,Summer 2026,0,0.0,S26,2026,20262,235,False
3D Printing,Fall 2026,1,2.857,F26,2026,20263,35,True
3D Printing,Winter 2027,0,0.0,W27,2027,20270,1,True
AI,Winter 2021,28,8.333,W21,2021,20210,336,False
AI,Summer 2021,38,9.719,S21,2021,20212,391,False
AI,Winter 2022,54,13.568,W22,2022,20220,398,False
AI,Summer 2022,48,20.513,S22,2022,20222,234,False
AI,Winter 2023,63,22.993,W23,2023,20230,274,False
AI,Summer 2023,61,27.727,S23,2023,20232,220,False
AI,Winter 2024,78,31.452,W24,2024,20240,248,False
AI,Summer 2024,86,34.677,S24,2024,20242,248,False
AI,Fall 2024,34,36.17,F24,2024,20243,94,False
AI,Winter 2025,42,25.301,W25,2025,20250,166,False
AI,Spring 2025,45,31.469,X25,2025,20251,143,False
AI,Summer 2025,43,25.904,S25,2025,20252,166,False
AI,Fall 2025,47,32.192,F25,2025,20253,146,False
AI,Winter 2026,15,7.538,W26,2026,20260,199,False
AI,Spring 2026,13,6.667,X26,2026,20261,195,False
AI,Summer 2026,74,31.489,S26,2026,20262,235,False
AI,Fall 2026,9,25.714,F26,2026,20263,35,True
AI,Winter 2027,0,0.0,W27,2027,20270,1,True
AI Assistant,Winter 2021,5,1.488,W21,2021,20210,336,False
AI Assistant,Summer 2021,9,2.302,S21,2021,20212,391,False
AI Assistant,Winter 2022,11,2.764,W22,2022,20220,398,False
AI Assistant,Summer 2022,9,3.846,S22,2022,20222,234,False
AI Assistant,Winter 2023,17,6.204,W23,2023,20230,274,False
AI Assistant,Summer 2023,13,5.909,S23,2023,20232,220,False
AI Assistant,Winter 2024,20,8.065,W24,2024,20240,248,False
AI Assistant,Summer 2024,16,6.452,S24,2024,20242,248,False
AI Assistant,Fall 2024,5,5.319,F24,2024,20243,94,False
AI Assistant,Winter 2025,6,3.614,W25,2025,20250,166,False
AI Assistant,Spring 2025,5,3.497,X25,2025,20251,143,False
AI Assistant,Summer 2025,7,4.217,S25,2025,20252,166,False
AI Assistant,Fall 2025,9,6.164,F25,2025,20253,146,False
AI Assistant,Winter 2026,1,0.503,W26,2026,20260,199,False
AI Assistant,Spring 2026,4,2.051,X26,2026,20261,195,False
AI Assistant,Summer 2026,5,2.128,S26,2026,20262,235,False
AI Assistant,Fall 2026,1,2.857,F26,2026,20263,35,True
AI Assistant,Winter 2027,0,0.0,W27,2027,20270,1,True
AI-Enhanced Learning,Winter 2021,2,0.595,W21,2021,20210,336,False
AI-Enhanced Learning,Summer 2021,5,1.279,S21,2021,20212,391,False
AI-Enhanced Learning,Winter 2022,4,1.005,W22,2022,20220,398,False
AI-Enhanced Learning,Summer 2022,1,0.427,S22,2022,20222,234,False
AI-Enhanced Learning,Winter 2023,6,2.19,W23,2023,20230,274,False
AI-Enhanced Learning,Summer 2023,3,1.364,S23,2023,20232,220,False
