tag,companies,share_pct,share_of_tagged_pct
B2B,868,23.28,28.29
Artificial Intelligence,844,22.63,27.51
AI,778,20.86,25.36
SaaS,709,19.01,23.11
Fintech,432,11.58,14.08
Developer Tools,402,10.78,13.1
Generative AI,227,6.09,7.4
Consumer,197,5.28,6.42
Machine Learning,147,3.94,4.79
Healthcare,143,3.83,4.66
AI Assistant,143,3.83,4.66
Infrastructure,127,3.41,4.14
Open Source,127,3.41,4.14
Marketplace,125,3.35,4.07
Productivity,115,3.08,3.75
Analytics,113,3.03,3.68
Enterprise Software,112,3.0,3.65
E-commerce,108,2.9,3.52
Robotics,104,2.79,3.39
Hard Tech,104,2.79,3.39
API,99,2.65,3.23
Sales,99,2.65,3.23
Health Tech,97,2.6,3.16
Biotech,93,2.49,3.03
Payments,91,2.44,2.97
Hardware,90,2.41,2.93
Enterprise,83,2.23,2.71
Climate,81,2.17,2.64
Automation,80,2.15,2.61
Manufacturing,79,2.12,2.57
Finance,79,2.12,2.57
Logistics,77,2.06,2.51
Digital Health,77,2.06,2.51
Marketing,76,2.04,2.48
Data Engineering,75,2.01,2.44
Education,71,1.9,2.31
Workflow Automation,68,1.82,2.22
Consumer Health Services,67,1.8,2.18
Compliance,63,1.69,2.05
Crypto / Web3,63,1.69,2.05
Supply Chain,62,1.66,2.02
Security,59,1.58,1.92
Proptech,58,1.56,1.89
Insurance,58,1.56,1.89
AIOps,57,1.53,1.86
Construction,51,1.37,1.66
Real Estate,48,1.29,1.56
Computer Vision,45,1.21,1.47
Neobank,44,1.18,1.43
HR Tech,44,1.18,1.43
Video,44,1.18,1.43
Reinforcement Learning,41,1.1,1.34
Investing,41,1.1,1.34
Conversational AI,41,1.1,1.34
Energy,40,1.07,1.3
LegalTech,39,1.05,1.27
Aerospace,39,1.05,1.27
AI-Enhanced Learning,38,1.02,1.24
Gaming,38,1.02,1.24
Cloud Computing,38,1.02,1.24
Operations,36,0.97,1.17
Cybersecurity,34,0.91,1.11
GovTech,33,0.88,1.08
Healthcare IT,33,0.88,1.08
Sales Enablement,33,0.88,1.08
Recruiting,32,0.86,1.04
eLearning,32,0.86,1.04
Industrial,31,0.83,1.01
Health & Wellness,31,0.83,1.01
Legal,31,0.83,1.01
Therapeutics,31,0.83,1.01
Design Tools,30,0.8,0.98
DevOps,30,0.8,0.98
Medical Devices,30,0.8,0.98
Consumer Finance,29,0.78,0.95
Robotic Process Automation,27,0.72,0.88
No-code,27,0.72,0.88
Customer Support,27,0.72,0.88
FinOps,26,0.7,0.85
Entertainment,26,0.7,0.85
Defense,25,0.67,0.81
Creator Economy,25,0.67,0.81
Community,25,0.67,0.81
Data Science,24,0.64,0.78
Customer Success,24,0.64,0.78
Deep Learning,24,0.64,0.78
ClimateTech,23,0.62,0.75
Advertising,23,0.62,0.75
Synthetic Biology,23,0.62,0.75
Subscriptions,23,0.62,0.75
Delivery,22,0.59,0.72
Food Tech,22,0.59,0.72
Social,22,0.59,0.72
Documents,22,0.59,0.72
Design,21,0.56,0.68
Big Data,21,0.56,0.68
Retail,21,0.56,0.68
Travel,21,0.56,0.68
Drug discovery,21,0.56,0.68
AI-powered Drug Discovery,20,0.54,0.65
Data Visualization,20,0.54,0.65
Semiconductors,19,0.51,0.62
Telehealth,19,0.51,0.62
Mental Health Tech,19,0.51,0.62
Satellites,19,0.51,0.62
Drones,18,0.48,0.59
Data Labeling,18,0.48,0.59
Health Insurance,18,0.48,0.59
ML,18,0.48,0.59
Databases,18,0.48,0.59
Social Media,18,0.48,0.59
Web Development,18,0.48,0.59
Search,18,0.48,0.59
Collaboration,18,0.48,0.59
Regtech,17,0.46,0.55
Telemedicine,17,0.46,0.55
Media,17,0.46,0.55
Market Research,16,0.43,0.52
Automotive,16,0.43,0.52
Telecommunications,16,0.43,0.52
Trading,16,0.43,0.52
Transportation,15,0.4,0.49
Grocery,15,0.4,0.49
Oncology,15,0.4,0.49
Lending,15,0.4,0.49
Home Services,14,0.38,0.46
Customer Service,14,0.38,0.46
Edtech,14,0.38,0.46
Agriculture,14,0.38,0.46
DevSecOps,14,0.38,0.46
Renewable Energy,13,0.35,0.42
Diagnostics,13,0.35,0.42
Space Exploration,13,0.35,0.42
Solar Power,13,0.35,0.42
Identity,12,0.32,0.39
Electric Vehicles,12,0.32,0.39
Email,12,0.32,0.39
Banking as a Service,12,0.32,0.39
Privacy,12,0.32,0.39
Human Resources,12,0.32,0.39
Monitoring,11,0.29,0.36
Payroll,11,0.29,0.36
Biotechnology,11,0.29,0.36
CRM,11,0.29,0.36
NLP,10,0.27,0.33
Procurement,10,0.27,0.33
Cryptocurrency,10,0.27,0.33
Food & Beverage,10,0.27,0.33
Fitness,10,0.27,0.33
Electronics,10,0.27,0.33
DeFi,10,0.27,0.33
Call Center,9,0.24,0.29
Neurotechnology,9,0.24,0.29
Messaging,9,0.24,0.29
Restaurant Tech,9,0.24,0.29
Virtual Reality,9,0.24,0.29
SMB,9,0.24,0.29
Remote Work,9,0.24,0.29
Warehouse Management Tech,9,0.24,0.29
APIs,8,0.21,0.26
Gene Therapy,8,0.21,0.26
Energy Storage,8,0.21,0.26
Sports Tech,8,0.21,0.26
India,8,0.21,0.26
Carbon Capture and Removal,8,0.21,0.26
Consumer Products,8,0.21,0.26
Latin America,8,0.21,0.26
Women's Health,8,0.21,0.26
Genomics,7,0.19,0.23
Kubernetes,7,0.19,0.23
Investments,7,0.19,0.23
Social Network,7,0.19,0.23
Fraud Detection,7,0.19,0.23
Housing,7,0.19,0.23
IoT,7,0.19,0.23
Ghost Kitchens,7,0.19,0.23
Emerging Markets,6,0.16,0.2
Team Collaboration,6,0.16,0.2
Music,6,0.16,0.2
Airplanes,6,0.16,0.2
Sustainability,6,0.16,0.2
Speech Recognition,5,0.13,0.16
Billing,5,0.13,0.16
Augmented Reality,5,0.13,0.16
Feedback,5,0.13,0.16
Food,5,0.13,0.16
Stocks,5,0.13,0.16
Geographic Information System,5,0.13,0.16
Retail Tech,5,0.13,0.16
Chatbot,5,0.13,0.16
Architecture,5,0.13,0.16
Personalization,5,0.13,0.16
SEO,4,0.11,0.13
SMS,4,0.11,0.13
Primary Care,4,0.11,0.13
International,4,0.11,0.13
Hydrogen Energy,4,0.11,0.13
Nonprofit,4,0.11,0.13
Scheduling,4,0.11,0.13
Mental Health,4,0.11,0.13
Mobility,4,0.11,0.13
Dental,4,0.11,0.13
Advanced Materials,4,0.11,0.13
Beauty,4,0.11,0.13
