batch,companies,in_secondary,coverage_pct
Summer 2005,9,9,100.0
Winter 2006,7,7,100.0
Summer 2006,10,10,100.0
Winter 2007,13,13,100.0
Summer 2007,19,19,100.0
Winter 2008,21,21,100.0
Summer 2008,22,22,100.0
Winter 2009,16,16,100.0
Summer 2009,26,26,100.0
Winter 2010,27,27,100.0
Summer 2010,36,36,100.0
Winter 2011,45,44,97.8
Summer 2011,60,60,100.0
Winter 2012,66,66,100.0
Summer 2012,83,83,100.0
Winter 2013,46,46,100.0
Summer 2013,52,52,100.0
Winter 2014,74,74,100.0
Summer 2014,78,78,100.0
Winter 2015,110,110,100.0
Summer 2015,104,104,100.0
Winter 2016,122,122,100.0
Summer 2016,102,102,100.0
Winter 2017,116,116,100.0
Summer 2017,125,125,100.0
Winter 2018,146,146,100.0
Summer 2018,131,131,100.0
Winter 2019,194,194,100.0
Summer 2019,176,176,100.0
Winter 2020,228,228,100.0
Summer 2020,209,208,99.5
Winter 2021,336,336,100.0
Summer 2021,391,391,100.0
Winter 2022,398,398,100.0
Summer 2022,234,234,100.0
Winter 2023,274,274,100.0
Summer 2023,220,219,99.5
Winter 2024,248,248,100.0
Summer 2024,248,248,100.0
Fall 2024,94,93,98.9
Winter 2025,166,166,100.0
Spring 2025,143,142,99.3
Summer 2025,166,165,99.4
Fall 2025,146,143,97.9
Winter 2026,199,195,98.0
Spring 2026,195,13,6.7
Summer 2026,235,5,2.1
Fall 2026,35,0,0.0
Winter 2027,1,0,0.0
