company_id,slug,field,raw_value,exported_value,match
24251,pideaky,name,Pideaky,Pideaky,True
24251,pideaky,slug,pideaky,pideaky,True
24251,pideaky,batch,Summer 2021,Summer 2021,True
24251,pideaky,website,https://pideaky.com/en/,https://pideaky.com/en/,True
24251,pideaky,one_liner,We help offline LatAm SMBs manage and accelerate their cash-flow ,We help offline LatAm SMBs manage and accelerate their cash-flow ,True
24251,pideaky,long_description,Pideaky helps offline LatAm SMBs manage and accelerate their cash flow through A,Pideaky helps offline LatAm SMBs manage and accelerate their cash flow through A,True
24251,pideaky,team_size,3,3.0,True
24251,pideaky,all_locations,"Monterrey, N.L., Mexico","Monterrey, N.L., Mexico",True
24251,pideaky,industry,Fintech,Fintech,True
24251,pideaky,subindustry,Fintech -> Payments,Fintech -> Payments,True
24251,pideaky,industries,"['Fintech', 'Payments']","['Fintech', 'Payments']",True
24251,pideaky,tags,['Fintech'],['Fintech'],True
24251,pideaky,regions,"['Mexico', 'Latin America', 'Remote', 'Partly Remote']","['Mexico', 'Latin America', 'Remote', 'Partly Remote']",True
24251,pideaky,stage,Early,Early,True
24251,pideaky,status,Active,Active,True
24251,pideaky,isHiring,False,False,True
24251,pideaky,nonprofit,False,False,True
24251,pideaky,top_company,False,False,True
24251,pideaky,launched_at,1624598152,1624598152,True
24251,pideaky,former_names,['ORCA Wireless S.A.P.I'],['ORCA Wireless S.A.P.I'],True
24251,pideaky,url,https://www.ycombinator.com/companies/pideaky,https://www.ycombinator.com/companies/pideaky,True
24251,pideaky,n_year(derived),2021,2021,True
24251,pideaky,n_subindustry_child(derived),Payments,Payments,True
24251,pideaky,n_is_us(derived),False,False,True
23434,broad,name,Broad,Broad,True
23434,broad,slug,broad,broad,True
23434,broad,batch,Winter 2021,Winter 2021,True
23434,broad,website,http://www.broad.app,http://www.broad.app,True
23434,broad,one_liner,The multicurrency account and card for Brazilians,The multicurrency account and card for Brazilians,True
23434,broad,long_description,Broad is building global financial products that enable life without borders.,Broad is building global financial products that enable life without borders.,True
23434,broad,team_size,5,5.0,True
23434,broad,all_locations,"London, England, United Kingdom; Remote","London, England, United Kingdom; Remote",True
23434,broad,industry,Fintech,Fintech,True
23434,broad,subindustry,Fintech -> Banking and Exchange,Fintech -> Banking and Exchange,True
23434,broad,industries,"['Fintech', 'Banking and Exchange']","['Fintech', 'Banking and Exchange']",True
23434,broad,tags,['Fintech'],['Fintech'],True
23434,broad,regions,"['United Kingdom', 'Europe', 'Remote', 'Fully Remote']","['United Kingdom', 'Europe', 'Remote', 'Fully Remote']",True
23434,broad,stage,Early,Early,True
