Category: All categories

Month,ai: (United States)
2004-01,1
2004-02,2
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,2
2004-10,1
2004-11,2
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,2
2009-05,1
2009-06,2
2009-07,1
2009-08,2
2009-09,2
2009-10,1
2009-11,1
2009-12,1
2010-01,2
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,1
2011-02,1
2011-03,1
2011-04,2
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,2
2011-11,1
2011-12,1
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,1
2012-10,2
2012-11,1
2012-12,1
2013-01,2
2013-02,2
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,2
2014-03,1
2014-04,1
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,1
2015-09,1
2015-10,1
2015-11,2
2015-12,2
2016-01,2
2016-02,1
2016-03,2
2016-04,1
2016-05,1
2016-06,2
2016-07,1
2016-08,1
2016-09,1
2016-10,2
2016-11,2
2016-12,2
2017-01,2
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,2
2017-07,2
2017-08,2
2017-09,2
2017-10,2
2017-11,2
2017-12,2
2018-01,2
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,2
2018-09,2
2018-10,2
2018-11,2
2018-12,2
2019-01,2
2019-02,2
2019-03,2
2019-04,2
2019-05,2
2019-06,2
2019-07,2
2019-08,2
2019-09,2
2019-10,2
2019-11,2
2019-12,2
2020-01,2
2020-02,3
2020-03,2
2020-04,3
2020-05,3
2020-06,3
2020-07,3
2020-08,3
2020-09,3
2020-10,2
2020-11,2
2020-12,3
2021-01,2
2021-02,3
2021-03,3
2021-04,3
2021-05,3
2021-06,3
2021-07,3
2021-08,3
2021-09,3
2021-10,3
2021-11,3
2021-12,3
2022-01,3
2022-02,3
2022-03,3
2022-04,3
2022-05,4
2022-06,5
2022-07,4
2022-08,5
2022-09,5
2022-10,5
2022-11,6
2022-12,12
2023-01,10
2023-02,14
2023-03,15
2023-04,24
2023-05,24
2023-06,22
2023-07,22
2023-08,20
2023-09,21
2023-10,25
2023-11,26
2023-12,25
2024-01,27
2024-02,30
2024-03,30
2024-04,30
2024-05,32
2024-06,31
2024-07,28
2024-08,31
2024-09,36
2024-10,39
2024-11,41
2024-12,41
2025-01,43
2025-02,49
2025-03,50
2025-04,51
2025-05,51
2025-06,57
2025-07,74
2025-08,62
2025-09,69
2025-10,74
2025-11,77
2025-12,72
2026-01,76
2026-02,90
2026-03,100
2026-04,100
2026-05,100
2026-06,94
2026-07,79
2026-08,68
2026-09,69
