Category: All categories

Week,ai: (United States)
2021-09-05,3
2021-09-12,2
2021-09-19,3
2021-09-26,2
2021-10-03,3
2021-10-10,3
2021-10-17,3
2021-10-24,3
2021-10-31,3
2021-11-07,3
2021-11-14,3
2021-11-21,3
2021-11-28,3
2021-12-05,3
2021-12-12,3
2021-12-19,3
2021-12-26,3
2022-01-02,3
2022-01-09,3
2022-01-16,3
2022-01-23,3
2022-01-30,3
2022-02-06,3
2022-02-13,3
2022-02-20,3
2022-02-27,3
2022-03-06,3
2022-03-13,3
2022-03-20,3
2022-03-27,3
2022-04-03,3
2022-04-10,3
2022-04-17,3
2022-04-24,3
2022-05-01,3
2022-05-08,3
2022-05-15,3
2022-05-22,3
2022-05-29,3
2022-06-05,4
2022-06-12,6
2022-06-19,5
2022-06-26,4
2022-07-03,4
2022-07-10,4
2022-07-17,4
2022-07-24,4
2022-07-31,4
2022-08-07,5
2022-08-14,5
2022-08-21,5
2022-08-28,4
2022-09-04,5
2022-09-11,5
2022-09-18,5
2022-09-25,5
2022-10-02,5
2022-10-09,5
2022-10-16,5
2022-10-23,5
2022-10-30,5
2022-11-06,5
2022-11-13,5
2022-11-20,6
2022-11-27,8
2022-12-04,16
2022-12-11,11
2022-12-18,8
2022-12-25,7
2023-01-01,8
2023-01-08,9
2023-01-15,9
2023-01-22,11
2023-01-29,13
2023-02-05,14
2023-02-12,13
2023-02-19,12
2023-02-26,12
2023-03-05,12
2023-03-12,14
2023-03-19,15
2023-03-26,17
2023-04-02,16
2023-04-09,18
2023-04-16,31
2023-04-23,24
2023-04-30,24
2023-05-07,23
2023-05-14,24
2023-05-21,22
2023-05-28,22
2023-06-04,19
2023-06-11,22
2023-06-18,20
2023-06-25,20
2023-07-02,19
2023-07-09,22
2023-07-16,22
2023-07-23,21
2023-07-30,18
2023-08-06,18
2023-08-13,20
2023-08-20,18
2023-08-27,19
2023-09-03,19
2023-09-10,21
2023-09-17,20
2023-09-24,22
2023-10-01,24
2023-10-08,24
2023-10-15,23
2023-10-22,22
2023-10-29,23
2023-11-05,25
2023-11-12,25
2023-11-19,23
2023-11-26,24
2023-12-03,26
2023-12-10,24
2023-12-17,23
2023-12-24,19
2023-12-31,22
2024-01-07,23
2024-01-14,23
2024-01-21,29
2024-01-28,28
2024-02-04,26
2024-02-11,28
2024-02-18,30
2024-02-25,29
2024-03-03,27
2024-03-10,27
2024-03-17,29
2024-03-24,29
2024-03-31,26
2024-04-07,28
2024-04-14,30
2024-04-21,30
2024-04-28,28
2024-05-05,28
2024-05-12,32
2024-05-19,30
2024-05-26,31
2024-06-02,31
2024-06-09,31
2024-06-16,27
2024-06-23,26
2024-06-30,25
2024-07-07,28
2024-07-14,25
2024-07-21,26
2024-07-28,25
2024-08-04,27
2024-08-11,28
2024-08-18,30
2024-08-25,30
2024-09-01,30
2024-09-08,33
2024-09-15,34
2024-09-22,36
2024-09-29,35
2024-10-06,35
2024-10-13,35
2024-10-20,42
2024-10-27,37
2024-11-03,36
2024-11-10,39
2024-11-17,42
2024-11-24,34
2024-12-01,39
2024-12-08,45
2024-12-15,39
2024-12-22,30
2024-12-29,32
2025-01-05,37
2025-01-12,38
2025-01-19,42
2025-01-26,48
2025-02-02,47
2025-02-09,45
2025-02-16,47
2025-02-23,51
2025-03-02,48
2025-03-09,48
2025-03-16,45
2025-03-23,46
2025-03-30,50
2025-04-06,48
2025-04-13,44
2025-04-20,49
2025-04-27,50
2025-05-04,48
2025-05-11,48
2025-05-18,49
2025-05-25,47
2025-06-01,51
2025-06-08,55
2025-06-15,54
2025-06-22,54
2025-06-29,82
2025-07-06,56
2025-07-13,59
2025-07-20,63
2025-07-27,71
2025-08-03,60
2025-08-10,59
2025-08-17,56
2025-08-24,58
2025-08-31,56
2025-09-07,59
2025-09-14,67
2025-09-21,73
2025-09-28,72
2025-10-05,70
2025-10-12,63
2025-10-19,67
2025-10-26,68
2025-11-02,73
2025-11-09,69
2025-11-16,76
2025-11-23,61
2025-11-30,77
2025-12-07,75
2025-12-14,66
2025-12-21,59
2025-12-28,59
2026-01-04,68
2026-01-11,71
2026-01-18,72
2026-01-25,73
2026-02-01,78
2026-02-08,80
2026-02-15,82
2026-02-22,84
2026-03-01,97
2026-03-08,88
2026-03-15,90
2026-03-22,93
2026-03-29,91
2026-04-05,89
2026-04-12,100
2026-04-19,92
2026-04-26,93
2026-05-03,90
2026-05-10,90
2026-05-17,93
2026-05-24,91
2026-05-31,98
2026-06-07,95
2026-06-14,86
2026-06-21,86
2026-06-28,85
2026-07-05,83
2026-07-12,70
2026-07-19,70
2026-07-26,64
2026-08-02,62
2026-08-09,63
2026-08-16,63
2026-08-23,62
2026-08-30,62
2026-09-06,64
