Category: All categories

Month,gpt-3: (Worldwide)
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,1
2020-06,5
2020-07,100
2020-08,58
2020-09,37
2020-10,25
2020-11,25
2020-12,18
2021-01,23
2021-02,22
2021-03,18
2021-04,16
2021-05,16
2021-06,15
2021-07,17
2021-08,15
2021-09,14
2021-10,12
2021-11,16
2021-12,16
2022-01,17
2022-02,17
2022-03,16
2022-04,28
2022-05,26
2022-06,43
2022-07,35
2022-08,28
2022-09,35
2022-10,35
