"Time","gpt"
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",1
"2022-07-01",0
"2022-08-01",0
"2022-09-01",0
"2022-10-01",0
"2022-11-01",0
"2022-12-01",14
"2023-01-01",22
"2023-02-01",31
"2023-03-01",42
"2023-04-01",49
"2023-05-01",39
"2023-06-01",27
"2023-07-01",21
"2023-08-01",23
"2023-09-01",31
"2023-10-01",35
"2023-11-01",34
"2023-12-01",28
"2024-01-01",33
"2024-02-01",41
"2024-03-01",40
"2024-04-01",46
"2024-05-01",41
"2024-06-01",31
"2024-07-01",30
"2024-08-01",38
"2024-09-01",57
"2024-10-01",65
"2024-11-01",60
"2024-12-01",58
"2025-01-01",60
"2025-02-01",80
"2025-03-01",76
"2025-04-01",92
"2025-05-01",83
"2025-06-01",78
"2025-07-01",74
"2025-08-01",83
"2025-09-01",97
"2025-10-01",100
"2025-11-01",87
"2025-12-01",71
"2026-01-01",72
"2026-02-01",75
"2026-03-01",76
"2026-04-01",74
"2026-05-01",66
"2026-06-01",61
"2026-07-01",66
"2026-08-01",70
"2026-09-01",81
