"Time","gpt"
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",0
"2022-07-01",0
"2022-08-01",0
"2022-09-01",0
"2022-10-01",0
"2022-11-01",0
"2022-12-01",6
"2023-01-01",16
"2023-02-01",26
"2023-03-01",32
"2023-04-01",33
"2023-05-01",32
"2023-06-01",26
"2023-07-01",19
"2023-08-01",18
"2023-09-01",25
"2023-10-01",25
"2023-11-01",28
"2023-12-01",24
"2024-01-01",25
"2024-02-01",29
"2024-03-01",32
"2024-04-01",35
"2024-05-01",42
"2024-06-01",42
"2024-07-01",32
"2024-08-01",38
"2024-09-01",46
"2024-10-01",53
"2024-11-01",57
"2024-12-01",54
"2025-01-01",56
"2025-02-01",63
"2025-03-01",70
"2025-04-01",85
"2025-05-01",83
"2025-06-01",83
"2025-07-01",79
"2025-08-01",83
"2025-09-01",91
"2025-10-01",96
"2025-11-01",94
"2025-12-01",82
"2026-01-01",79
"2026-02-01",80
"2026-03-01",91
"2026-04-01",92
"2026-05-01",90
"2026-06-01",91
"2026-07-01",85
"2026-08-01",87
"2026-09-01",100
