Category: All categories

Month,gpt: (Worldwide)
2017-01,85
2017-02,89
2017-03,89
2017-04,82
2017-05,83
2017-06,81
2017-07,85
2017-08,85
2017-09,84
2017-10,82
2017-11,85
2017-12,87
2018-01,88
2018-02,91
2018-03,89
2018-04,77
2018-05,78
2018-06,80
2018-07,81
2018-08,78
2018-09,85
2018-10,83
2018-11,83
2018-12,81
2019-01,85
2019-02,84
2019-03,83
2019-04,77
2019-05,74
2019-06,77
2019-07,79
2019-08,78
2019-09,81
2019-10,82
2019-11,81
2019-12,81
2020-01,85
2020-02,77
2020-03,76
2020-04,74
2020-05,81
2020-06,82
2020-07,98
2020-08,90
2020-09,89
2020-10,83
2020-11,80
2020-12,80
2021-01,80
2021-02,86
2021-03,79
2021-04,76
2021-05,75
2021-06,81
2021-07,81
2021-08,77
2021-09,73
2021-10,86
2021-11,77
2021-12,79
2022-01,95
2022-02,100
2022-03,97
2022-04,92
2022-05,89
2022-06,90
2022-07,87
2022-08,84
2022-09,88
2022-10,90
