Category: All categories

Month,llm: (Worldwide)
2004-01,3
2004-02,3
2004-03,3
2004-04,3
2004-05,3
2004-06,3
2004-07,3
2004-08,3
2004-09,3
2004-10,3
2004-11,3
2004-12,3
2005-01,3
2005-02,3
2005-03,3
2005-04,3
2005-05,3
2005-06,3
2005-07,3
2005-08,3
2005-09,3
2005-10,3
2005-11,3
2005-12,3
2006-01,3
2006-02,3
2006-03,3
2006-04,3
2006-05,3
2006-06,3
2006-07,3
2006-08,3
2006-09,3
2006-10,3
2006-11,3
2006-12,2
2007-01,3
2007-02,2
2007-03,3
2007-04,3
2007-05,3
2007-06,3
2007-07,3
2007-08,3
2007-09,3
2007-10,3
2007-11,3
2007-12,2
2008-01,3
2008-02,3
2008-03,3
2008-04,3
2008-05,3
2008-06,3
2008-07,3
2008-08,3
2008-09,3
2008-10,3
2008-11,3
2008-12,2
2009-01,3
2009-02,3
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,3
2009-10,3
2009-11,3
2009-12,2
2010-01,3
2010-02,3
2010-03,3
2010-04,3
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,3
2010-12,2
2011-01,2
2011-02,2
2011-03,3
2011-04,2
2011-05,2
2011-06,2
2011-07,2
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,3
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,3
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,2
2013-11,2
2013-12,2
2014-01,2
2014-02,2
2014-03,3
2014-04,2
2014-05,2
2014-06,2
2014-07,3
2014-08,2
2014-09,3
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,3
2015-04,2
2015-05,3
2015-06,2
2015-07,3
2015-08,2
2015-09,2
2015-10,2
2015-11,2
2015-12,2
2016-01,2
2016-02,2
2016-03,2
2016-04,2
2016-05,3
2016-06,3
2016-07,3
2016-08,2
2016-09,2
2016-10,2
2016-11,2
2016-12,2
2017-01,2
2017-02,2
2017-03,3
2017-04,2
2017-05,3
2017-06,3
2017-07,3
2017-08,2
2017-09,2
2017-10,2
2017-11,2
2017-12,2
2018-01,2
2018-02,2
2018-03,3
2018-04,2
2018-05,3
2018-06,3
2018-07,3
2018-08,2
2018-09,2
2018-10,2
2018-11,2
2018-12,2
2019-01,2
2019-02,2
2019-03,3
2019-04,2
2019-05,3
2019-06,3
2019-07,3
2019-08,3
2019-09,3
2019-10,2
2019-11,2
2019-12,2
2020-01,3
2020-02,2
2020-03,2
2020-04,2
2020-05,2
2020-06,2
2020-07,3
2020-08,2
2020-09,3
2020-10,3
2020-11,2
2020-12,2
2021-01,2
2021-02,2
2021-03,2
2021-04,2
2021-05,2
2021-06,2
2021-07,3
2021-08,3
2021-09,3
2021-10,3
2021-11,2
2021-12,2
2022-01,3
2022-02,3
2022-03,3
2022-04,3
2022-05,3
2022-06,3
2022-07,3
2022-08,3
2022-09,3
2022-10,3
2022-11,3
2022-12,3
2023-01,3
2023-02,4
2023-03,5
2023-04,6
2023-05,7
2023-06,8
2023-07,9
2023-08,9
2023-09,10
2023-10,9
2023-11,10
2023-12,10
2024-01,12
2024-02,14
2024-03,15
2024-04,16
2024-05,16
2024-06,17
2024-07,15
2024-08,15
2024-09,16
2024-10,17
2024-11,17
2024-12,17
2025-01,23
2025-02,25
2025-03,24
2025-04,23
2025-05,24
2025-06,31
2025-07,30
2025-08,54
2025-09,46
2025-10,47
2025-11,49
2025-12,45
2026-01,48
2026-02,58
2026-03,73
2026-04,83
2026-05,94
2026-06,100
2026-07,81
2026-08,45
2026-09,42
