Category: All categories

Week,llm: (Worldwide)
2021-09-05,3
2021-09-12,3
2021-09-19,3
2021-09-26,3
2021-10-03,3
2021-10-10,3
2021-10-17,2
2021-10-24,2
2021-10-31,2
2021-11-07,2
2021-11-14,3
2021-11-21,2
2021-11-28,2
2021-12-05,2
2021-12-12,2
2021-12-19,2
2021-12-26,2
2022-01-02,3
2022-01-09,3
2022-01-16,3
2022-01-23,3
2022-01-30,3
2022-02-06,3
2022-02-13,3
2022-02-20,3
2022-02-27,3
2022-03-06,3
2022-03-13,3
2022-03-20,3
2022-03-27,3
2022-04-03,3
2022-04-10,3
2022-04-17,2
2022-04-24,3
2022-05-01,3
2022-05-08,3
2022-05-15,3
2022-05-22,3
2022-05-29,3
2022-06-05,3
2022-06-12,3
2022-06-19,3
2022-06-26,3
2022-07-03,3
2022-07-10,3
2022-07-17,3
2022-07-24,3
2022-07-31,3
2022-08-07,3
2022-08-14,3
2022-08-21,3
2022-08-28,3
2022-09-04,3
2022-09-11,3
2022-09-18,3
2022-09-25,3
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,3
2022-10-30,3
2022-11-06,3
2022-11-13,3
2022-11-20,2
2022-11-27,3
2022-12-04,2
2022-12-11,3
2022-12-18,3
2022-12-25,2
2023-01-01,2
2023-01-08,3
2023-01-15,3
2023-01-22,3
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,3
2023-02-26,4
2023-03-05,3
2023-03-12,4
2023-03-19,5
2023-03-26,5
2023-04-02,5
2023-04-09,5
2023-04-16,6
2023-04-23,6
2023-04-30,6
2023-05-07,7
2023-05-14,7
2023-05-21,7
2023-05-28,8
2023-06-04,8
2023-06-11,8
2023-06-18,8
2023-06-25,8
2023-07-02,8
2023-07-09,9
2023-07-16,9
2023-07-23,9
2023-07-30,9
2023-08-06,9
2023-08-13,9
2023-08-20,9
2023-08-27,8
2023-09-03,8
2023-09-10,10
2023-09-17,9
2023-09-24,9
2023-10-01,9
2023-10-08,9
2023-10-15,9
2023-10-22,9
2023-10-29,9
2023-11-05,10
2023-11-12,9
2023-11-19,9
2023-11-26,10
2023-12-03,11
2023-12-10,11
2023-12-17,11
2023-12-24,8
2023-12-31,10
2024-01-07,11
2024-01-14,12
2024-01-21,12
2024-01-28,13
2024-02-04,12
2024-02-11,13
2024-02-18,14
2024-02-25,14
2024-03-03,14
2024-03-10,15
2024-03-17,16
2024-03-24,15
2024-03-31,15
2024-04-07,16
2024-04-14,14
2024-04-21,16
2024-04-28,15
2024-05-05,15
2024-05-12,16
2024-05-19,16
2024-05-26,15
2024-06-02,16
2024-06-09,17
2024-06-16,16
2024-06-23,16
2024-06-30,15
2024-07-07,16
2024-07-14,16
2024-07-21,16
2024-07-28,15
2024-08-04,14
2024-08-11,15
2024-08-18,15
2024-08-25,15
2024-09-01,15
2024-09-08,16
2024-09-15,15
2024-09-22,16
2024-09-29,15
2024-10-06,16
2024-10-13,16
2024-10-20,17
2024-10-27,16
2024-11-03,16
2024-11-10,18
2024-11-17,18
2024-11-24,18
2024-12-01,18
2024-12-08,18
2024-12-15,17
2024-12-22,15
2024-12-29,14
2025-01-05,19
2025-01-12,20
2025-01-19,21
2025-01-26,28
2025-02-02,25
2025-02-09,23
2025-02-16,23
2025-02-23,24
2025-03-02,23
2025-03-09,23
2025-03-16,24
2025-03-23,23
2025-03-30,22
2025-04-06,23
2025-04-13,22
2025-04-20,22
2025-04-27,22
2025-05-04,22
2025-05-11,23
2025-05-18,25
2025-05-25,24
2025-06-01,27
2025-06-08,32
2025-06-15,29
2025-06-22,29
2025-06-29,28
2025-07-06,29
2025-07-13,30
2025-07-20,29
2025-07-27,31
2025-08-03,50
2025-08-10,66
2025-08-17,59
2025-08-24,48
2025-08-31,50
2025-09-07,44
2025-09-14,44
2025-09-21,49
2025-09-28,48
2025-10-05,46
2025-10-12,49
2025-10-19,45
2025-10-26,43
2025-11-02,45
2025-11-09,47
2025-11-16,47
2025-11-23,48
2025-11-30,50
2025-12-07,47
2025-12-14,47
2025-12-21,40
2025-12-28,37
2026-01-04,46
2026-01-11,50
2026-01-18,50
2026-01-25,52
2026-02-01,53
2026-02-08,56
2026-02-15,60
2026-02-22,63
2026-03-01,78
2026-03-08,73
2026-03-15,70
2026-03-22,71
2026-03-29,73
2026-04-05,82
2026-04-12,82
2026-04-19,79
2026-04-26,81
2026-05-03,89
2026-05-10,89
2026-05-17,97
2026-05-24,89
2026-05-31,97
2026-06-07,98
2026-06-14,99
2026-06-21,100
2026-06-28,99
2026-07-05,94
2026-07-12,60
2026-07-19,65
2026-07-26,61
2026-08-02,49
2026-08-09,49
2026-08-16,44
2026-08-23,37
2026-08-30,39
2026-09-06,40
