batch_order,batch_code,batch,is_partial_batch,total_companies,n_full_stack_ai,n_sells_ai_to_industry,n_ai_infra,n_ai_other,n_full_stack_non_ai,n_not_ai,n_unclear,n_ai_any,full_stack_ai_share_pct,full_stack_non_ai_share_pct,sells_ai_to_industry_share_pct,ai_any_share_pct,full_stack_ai_share_of_ai_pct,n_full_stack_ai_high_conf,start_month
20190,W19,Winter 2019,False,194,5,32,4,13,29,103,8,54,2.58,14.95,16.49,27.84,9.26,3,2019-01
20192,S19,Summer 2019,False,176,6,21,3,12,39,88,7,42,3.41,22.16,11.93,23.86,14.29,2,2019-06
20200,W20,Winter 2020,False,228,3,36,13,17,35,115,9,69,1.32,15.35,15.79,30.26,4.35,1,2020-01
20202,S20,Summer 2020,False,209,1,36,4,9,19,133,7,50,0.48,9.09,17.22,23.92,2.0,0,2020-06
20210,W21,Winter 2021,False,336,7,60,9,11,47,198,4,87,2.08,13.99,17.86,25.89,8.05,3,2021-01
20212,S21,Summer 2021,False,391,9,71,12,24,86,189,0,116,2.3,21.99,18.16,29.67,7.76,2,2021-06
20220,W22,Winter 2022,False,398,11,96,17,19,46,207,2,143,2.76,11.56,24.12,35.93,7.69,5,2022-01
20222,S22,Summer 2022,False,234,9,79,18,16,19,91,2,122,3.85,8.12,33.76,52.14,7.38,7,2022-06
20230,W23,Winter 2023,False,274,8,121,24,21,2,90,8,174,2.92,0.73,44.16,63.5,4.6,1,2023-01
20232,S23,Summer 2023,False,220,5,115,23,12,13,46,6,155,2.27,5.91,52.27,70.45,3.23,4,2023-06
20240,W24,Winter 2024,False,248,3,131,29,30,2,45,8,193,1.21,0.81,52.82,77.82,1.55,1,2024-01
20242,S24,Summer 2024,False,248,8,140,30,28,5,33,4,206,3.23,2.02,56.45,83.06,3.88,3,2024-06
20243,F24,Fall 2024,False,94,3,45,18,9,4,7,8,75,3.19,4.26,47.87,79.79,4.0,0,2024-09
20250,W25,Winter 2025,False,166,10,87,19,19,3,20,8,135,6.02,1.81,52.41,81.33,7.41,3,2025-01
20251,X25,Spring 2025,False,143,10,67,35,13,2,11,5,125,6.99,1.4,46.85,87.41,8.0,4,2025-04
20252,S25,Summer 2025,False,166,9,76,40,16,3,13,9,141,5.42,1.81,45.78,84.94,6.38,4,2025-06
20253,F25,Fall 2025,False,146,12,67,27,23,1,8,8,129,8.22,0.68,45.89,88.36,9.3,5,2025-09
20260,W26,Winter 2026,False,199,13,95,38,24,2,24,3,170,6.53,1.01,47.74,85.43,7.65,9,2026-01
20261,X26,Spring 2026,False,195,16,94,35,20,4,19,7,165,8.21,2.05,48.21,84.62,9.7,7,2026-04
20262,S26,Summer 2026,False,235,28,83,68,19,10,20,7,198,11.91,4.26,35.32,84.26,14.14,14,2026-06
20263,F26,Fall 2026,True,35,3,14,9,5,0,2,2,31,8.57,0.0,40.0,88.57,9.68,2,2026-09
20270,W27,Winter 2027,True,1,0,1,0,0,0,0,0,1,0.0,0.0,100.0,100.0,0.0,0,2027-01
